# event_ticker=KXATPCHALLENGERMATCH-26APR01MENZAH
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Facundo Mena
# fav_player=Patrick Zahraj
# dog_player=Facundo Mena
# kalshi_date=2026-04-01
timestamp,Patrick Zahraj,Facundo Mena
2026-04-01T08:46:00Z,,71.00
2026-04-01T09:01:00Z,,71.00
2026-04-01T11:54:00Z,,71.00
2026-04-01T12:44:00Z,,72.00
2026-04-01T12:51:00Z,,72.00
2026-04-01T13:08:00Z,,72.00
2026-04-01T13:35:00Z,,72.00
2026-04-01T14:07:00Z,,72.00
2026-04-01T15:13:00Z,,73.00
2026-04-01T15:14:00Z,,73.00
2026-04-01T15:15:00Z,,73.00
2026-04-01T15:44:00Z,28.00,73.00
2026-04-01T15:50:00Z,28.00,73.00
2026-04-01T16:24:00Z,28.00,73.77
2026-04-01T17:05:00Z,28.00,73.00
2026-04-01T17:55:00Z,28.00,73.00
2026-04-01T18:16:00Z,28.00,73.00
2026-04-01T18:37:00Z,28.00,73.00
2026-04-01T19:20:00Z,28.00,73.00
2026-04-01T19:30:00Z,28.00,73.00
2026-04-01T19:31:00Z,27.00,73.00
2026-04-01T19:36:00Z,27.00,73.00
2026-04-01T19:59:00Z,27.61,73.00
2026-04-01T20:01:00Z,27.61,75.67
2026-04-01T20:02:00Z,26.00,75.00
2026-04-01T20:04:00Z,29.00,75.00
2026-04-01T20:05:00Z,27.00,75.00
2026-04-01T20:09:00Z,30.10,73.61
2026-04-01T20:10:00Z,29.00,73.61
2026-04-01T20:11:00Z,26.00,73.00
2026-04-01T20:12:00Z,26.00,76.04
2026-04-01T20:13:00Z,20.56,81.93
2026-04-01T20:14:00Z,16.04,83.14
2026-04-01T20:15:00Z,18.71,83.00
2026-04-01T20:16:00Z,14.01,86.90
2026-04-01T20:17:00Z,16.10,82.00
2026-04-01T20:18:00Z,15.88,83.51
2026-04-01T20:19:00Z,14.38,86.00
2026-04-01T20:20:00Z,14.24,85.92
2026-04-01T20:21:00Z,12.00,88.04
2026-04-01T20:22:00Z,13.96,87.96
2026-04-01T20:23:00Z,13.16,88.49
2026-04-01T20:24:00Z,13.44,88.20
2026-04-01T20:25:00Z,10.00,89.71
2026-04-01T20:26:00Z,10.00,91.00
2026-04-01T20:27:00Z,12.56,89.28
2026-04-01T20:28:00Z,14.51,85.63
2026-04-01T20:29:00Z,12.24,87.00
2026-04-01T20:30:00Z,12.18,88.00
2026-04-01T20:31:00Z,10.00,90.86
2026-04-01T20:32:00Z,12.31,89.40
2026-04-01T20:33:00Z,9.92,90.43
2026-04-01T20:34:00Z,9.82,91.02
2026-04-01T20:35:00Z,9.18,91.62
2026-04-01T20:36:00Z,9.59,91.00
2026-04-01T20:37:00Z,10.00,91.00
2026-04-01T20:38:00Z,10.06,90.00
2026-04-01T20:39:00Z,10.83,90.00
2026-04-01T20:40:00Z,12.84,90.00
2026-04-01T20:41:00Z,11.00,90.22
2026-04-01T20:42:00Z,11.03,90.00
2026-04-01T20:43:00Z,11.01,88.44
2026-04-01T20:44:00Z,11.81,89.53
2026-04-01T20:45:00Z,11.88,88.01
2026-04-01T20:46:00Z,11.28,87.08
2026-04-01T20:47:00Z,15.74,84.22
2026-04-01T20:48:00Z,15.69,83.85
2026-04-01T20:49:00Z,16.90,83.35
2026-04-01T20:50:00Z,15.89,86.12
2026-04-01T20:51:00Z,11.52,87.87
2026-04-01T20:52:00Z,9.50,90.27
2026-04-01T20:53:00Z,10.29,90.58
2026-04-01T20:54:00Z,9.95,90.00
2026-04-01T20:55:00Z,9.93,91.00
2026-04-01T20:56:00Z,10.00,91.36
2026-04-01T20:57:00Z,10.00,91.35
2026-04-01T20:58:00Z,9.97,91.31
2026-04-01T20:59:00Z,10.00,92.66
2026-04-01T21:00:00Z,7.12,92.78
2026-04-01T21:01:00Z,5.00,96.00
2026-04-01T21:02:00Z,6.00,95.54
2026-04-01T21:03:00Z,5.65,95.03
2026-04-01T21:04:00Z,5.92,95.93
2026-04-01T21:05:00Z,6.04,93.98
2026-04-01T21:06:00Z,9.47,91.00
2026-04-01T21:07:00Z,6.01,94.18
2026-04-01T21:08:00Z,4.15,97.00
2026-04-01T21:09:00Z,3.75,96.84
2026-04-01T21:10:00Z,4.00,96.86
2026-04-01T21:11:00Z,4.00,96.22
2026-04-01T21:12:00Z,2.59,98.00
2026-04-01T21:13:00Z,2.12,98.35
2026-04-01T21:14:00Z,1.46,98.78
2026-04-01T21:15:00Z,1.22,99.00
2026-04-01T21:16:00Z,1.22,99.00
2026-04-01T21:17:00Z,1.22,99.00
2026-04-01T21:18:00Z,1.22,99.00
2026-04-01T21:19:00Z,1.00,99.00
2026-04-01T21:20:00Z,1.00,99.00
2026-04-01T21:23:00Z,1.00,99.00
2026-04-01T21:28:00Z,1.00,99.00
2026-04-01T21:31:00Z,1.00,99.00
2026-04-01T21:32:00Z,1.00,99.00
