# event_ticker=KXATPMATCH-25OCT21MEDMUS
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Lorenzo Musetti
# fav_player=Hamad Medjedovic
# dog_player=Lorenzo Musetti
# kalshi_date=2025-10-21
timestamp,Hamad Medjedovic,Lorenzo Musetti
2025-10-21T14:47:00Z,98.00,11.00
2025-10-21T15:05:00Z,98.00,78.00
2025-10-21T15:14:00Z,98.00,64.00
2025-10-21T15:15:00Z,98.00,64.00
2025-10-21T15:16:00Z,98.00,64.06
2025-10-21T15:17:00Z,98.00,65.00
2025-10-21T15:18:00Z,98.00,66.21
2025-10-21T15:21:00Z,98.00,71.85
2025-10-21T15:22:00Z,32.00,69.00
2025-10-21T15:23:00Z,32.00,71.54
2025-10-21T15:24:00Z,34.00,71.94
2025-10-21T15:25:00Z,32.57,71.94
2025-10-21T15:30:00Z,32.57,67.00
2025-10-21T15:31:00Z,32.57,70.00
2025-10-21T15:32:00Z,33.00,70.00
2025-10-21T15:33:00Z,33.00,70.00
2025-10-21T15:35:00Z,33.00,68.53
2025-10-21T15:36:00Z,33.00,69.00
2025-10-21T15:37:00Z,33.00,69.00
2025-10-21T15:38:00Z,33.00,69.09
2025-10-21T15:39:00Z,33.00,68.00
2025-10-21T15:40:00Z,34.00,68.00
2025-10-21T15:41:00Z,34.00,68.00
2025-10-21T15:42:00Z,34.00,68.00
2025-10-21T15:44:00Z,34.00,67.00
2025-10-21T15:45:00Z,35.00,68.00
2025-10-21T15:46:00Z,35.00,68.00
2025-10-21T15:47:00Z,35.00,68.00
2025-10-21T15:48:00Z,35.00,68.00
2025-10-21T15:49:00Z,35.00,68.00
2025-10-21T15:50:00Z,35.00,69.14
2025-10-21T15:52:00Z,34.47,69.14
2025-10-21T15:53:00Z,33.00,68.00
2025-10-21T15:54:00Z,33.00,68.10
2025-10-21T15:55:00Z,33.00,68.00
2025-10-21T15:56:00Z,33.00,68.00
2025-10-21T15:57:00Z,33.00,68.00
2025-10-21T15:59:00Z,33.00,71.00
2025-10-21T16:00:00Z,33.00,71.00
2025-10-21T16:01:00Z,32.00,71.14
2025-10-21T16:03:00Z,31.35,73.12
2025-10-21T16:04:00Z,30.00,73.90
2025-10-21T16:05:00Z,30.00,76.15
2025-10-21T16:10:00Z,31.00,76.15
2025-10-21T16:12:00Z,31.00,74.00
2025-10-21T16:13:00Z,31.91,74.00
2025-10-21T16:14:00Z,31.00,75.64
2025-10-21T16:16:00Z,31.00,74.00
2025-10-21T16:17:00Z,31.00,74.00
2025-10-21T16:18:00Z,31.00,74.00
2025-10-21T16:20:00Z,31.00,74.27
2025-10-21T16:21:00Z,31.00,75.00
2025-10-21T16:22:00Z,31.00,75.80
2025-10-21T16:25:00Z,31.00,72.00
2025-10-21T16:26:00Z,31.00,72.00
2025-10-21T16:27:00Z,31.93,72.00
2025-10-21T16:28:00Z,31.93,71.00
2025-10-21T16:29:00Z,31.93,71.00
2025-10-21T16:31:00Z,31.00,71.00
2025-10-21T16:32:00Z,31.17,71.00
2025-10-21T16:33:00Z,31.00,71.00
2025-10-21T16:34:00Z,31.00,71.00
2025-10-21T16:35:00Z,31.00,71.19
