# event_ticker=KXATPCHALLENGERMATCH-26JUN03OLIMID
# final_score=6-1 6-2
# match_winner=Lautaro Midon
# fav_player=Lautaro Midon
# dog_player=Genaro Alberto Olivieri
# kalshi_date=2026-06-03
timestamp,Genaro Alberto Olivieri,Lautaro Midon
2026-06-03T02:40:00Z,,61.00
2026-06-03T03:09:00Z,,61.00
2026-06-03T03:36:00Z,,62.00
2026-06-03T04:09:00Z,,61.00
2026-06-03T04:11:00Z,,62.00
2026-06-03T04:23:00Z,,62.00
2026-06-03T04:40:00Z,,62.00
2026-06-03T04:42:00Z,,62.00
2026-06-03T04:47:00Z,,62.00
2026-06-03T04:48:00Z,,61.00
2026-06-03T04:56:00Z,,62.73
2026-06-03T04:57:00Z,,63.00
2026-06-03T05:05:00Z,39.00,63.00
2026-06-03T05:06:00Z,38.00,63.00
2026-06-03T05:14:00Z,38.00,63.00
2026-06-03T05:29:00Z,38.00,63.00
2026-06-03T05:56:00Z,38.00,63.00
2026-06-03T06:21:00Z,38.00,63.00
2026-06-03T06:42:00Z,38.00,63.00
2026-06-03T07:08:00Z,38.00,63.00
2026-06-03T07:26:00Z,38.00,63.00
2026-06-03T07:49:00Z,38.00,62.00
2026-06-03T07:52:00Z,38.00,62.00
2026-06-03T07:53:00Z,38.00,62.00
2026-06-03T07:55:00Z,38.00,63.00
2026-06-03T07:56:00Z,38.00,62.00
2026-06-03T08:55:00Z,38.00,63.00
2026-06-03T09:18:00Z,38.00,63.00
2026-06-03T10:10:00Z,38.00,63.00
2026-06-03T10:29:00Z,38.00,63.00
2026-06-03T10:36:00Z,38.00,63.00
2026-06-03T11:10:00Z,38.00,63.00
2026-06-03T11:15:00Z,38.00,63.00
2026-06-03T11:23:00Z,38.00,63.00
2026-06-03T11:28:00Z,38.00,63.00
2026-06-03T11:42:00Z,38.00,63.00
2026-06-03T11:58:00Z,38.00,63.00
2026-06-03T12:05:00Z,38.00,63.00
2026-06-03T12:36:00Z,38.00,63.00
2026-06-03T12:56:00Z,38.00,63.00
2026-06-03T13:00:00Z,38.00,63.00
2026-06-03T13:06:00Z,39.00,63.00
2026-06-03T13:14:00Z,39.00,62.00
2026-06-03T13:20:00Z,39.00,63.00
2026-06-03T13:23:00Z,39.00,62.00
2026-06-03T13:24:00Z,39.00,61.00
2026-06-03T13:25:00Z,39.00,62.00
2026-06-03T13:26:00Z,39.95,62.00
2026-06-03T13:32:00Z,39.95,62.00
2026-06-03T13:40:00Z,39.95,62.00
2026-06-03T13:41:00Z,39.95,62.00
2026-06-03T13:57:00Z,40.00,62.00
2026-06-03T13:58:00Z,40.00,62.00
2026-06-03T14:01:00Z,40.00,62.00
2026-06-03T14:05:00Z,38.00,62.00
2026-06-03T14:09:00Z,38.00,62.00
2026-06-03T14:11:00Z,38.00,59.11
2026-06-03T14:24:00Z,38.00,61.00
2026-06-03T14:28:00Z,38.00,61.00
2026-06-03T14:31:00Z,41.00,61.96
2026-06-03T14:32:00Z,41.00,61.96
2026-06-03T14:34:00Z,40.00,61.96
2026-06-03T14:35:00Z,40.60,56.50
2026-06-03T14:36:00Z,43.30,56.04
2026-06-03T14:37:00Z,37.00,62.45
2026-06-03T14:38:00Z,36.85,64.95
2026-06-03T14:39:00Z,38.95,61.00
2026-06-03T14:40:00Z,41.00,59.25
2026-06-03T14:41:00Z,44.94,56.60
2026-06-03T14:42:00Z,40.61,60.00
