# event_ticker=KXATPCHALLENGERMATCH-26MAY07PDAABO
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Matheus Pucinelli De Almeida
# fav_player=Valerio Aboian
# dog_player=Matheus Pucinelli de Almeida
# kalshi_date=2026-05-07
timestamp,Matheus Pucinelli de Almeida,Valerio Aboian
2026-05-07T09:42:00Z,63.18,
2026-05-07T11:08:00Z,63.18,28.00
2026-05-07T11:42:00Z,63.18,28.00
2026-05-07T13:09:00Z,71.00,28.00
2026-05-07T13:11:00Z,73.00,28.00
2026-05-07T13:12:00Z,74.00,28.00
2026-05-07T13:18:00Z,74.00,28.00
2026-05-07T13:19:00Z,73.00,28.00
2026-05-07T13:45:00Z,74.00,28.00
2026-05-07T14:17:00Z,74.00,28.00
2026-05-07T14:39:00Z,74.00,28.00
2026-05-07T14:44:00Z,74.00,28.00
2026-05-07T14:59:00Z,74.00,28.00
2026-05-07T15:05:00Z,74.00,28.00
2026-05-07T15:07:00Z,74.00,28.00
2026-05-07T15:26:00Z,74.00,28.00
2026-05-07T15:32:00Z,74.00,28.00
2026-05-07T15:40:00Z,74.00,28.00
2026-05-07T16:10:00Z,74.00,28.00
2026-05-07T16:29:00Z,74.00,28.00
2026-05-07T16:58:00Z,74.00,28.00
2026-05-07T17:04:00Z,74.00,27.00
2026-05-07T17:05:00Z,74.00,27.00
2026-05-07T17:33:00Z,74.00,27.00
2026-05-07T17:44:00Z,74.00,27.00
2026-05-07T17:54:00Z,74.00,27.00
2026-05-07T17:55:00Z,74.00,27.00
2026-05-07T18:00:00Z,74.00,27.00
2026-05-07T18:07:00Z,77.62,27.00
2026-05-07T18:08:00Z,76.60,25.55
2026-05-07T18:11:00Z,73.89,28.05
2026-05-07T18:12:00Z,74.00,29.97
2026-05-07T18:13:00Z,69.00,33.63
2026-05-07T18:14:00Z,69.00,34.12
2026-05-07T18:15:00Z,69.00,32.23
2026-05-07T18:16:00Z,69.00,27.27
2026-05-07T18:17:00Z,73.97,27.00
2026-05-07T18:18:00Z,73.97,28.31
2026-05-07T18:19:00Z,74.00,27.12
2026-05-07T18:20:00Z,73.00,28.23
2026-05-07T18:21:00Z,73.00,28.48
2026-05-07T18:22:00Z,75.00,26.00
2026-05-07T18:23:00Z,74.00,29.28
2026-05-07T18:25:00Z,76.72,22.00
2026-05-07T18:26:00Z,74.00,26.00
2026-05-07T18:27:00Z,74.00,26.00
2026-05-07T18:31:00Z,82.99,18.17
2026-05-07T18:32:00Z,83.09,19.63
2026-05-07T18:33:00Z,82.00,15.88
2026-05-07T18:34:00Z,82.00,15.88
2026-05-07T18:35:00Z,77.44,23.67
2026-05-07T18:36:00Z,77.44,25.94
2026-05-07T18:37:00Z,76.00,25.64
2026-05-07T18:38:00Z,79.50,25.14
2026-05-07T18:39:00Z,81.08,18.00
2026-05-07T18:41:00Z,84.00,18.99
2026-05-07T18:42:00Z,83.00,18.99
2026-05-07T18:43:00Z,82.00,17.97
