# event_ticker=KXATPCHALLENGERMATCH-26JUN02BUELAJ
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Dusan Lajovic
# fav_player=Gonzalo Bueno
# dog_player=Dusan Lajovic
# kalshi_date=2026-06-02
timestamp,Gonzalo Bueno,Dusan Lajovic
2026-06-02T03:09:00Z,,69.00
2026-06-02T03:10:00Z,34.00,69.00
2026-06-02T03:18:00Z,34.00,69.00
2026-06-02T05:35:00Z,33.00,69.00
2026-06-02T06:26:00Z,33.00,68.00
2026-06-02T06:45:00Z,33.00,68.00
2026-06-02T06:49:00Z,33.00,68.00
2026-06-02T07:03:00Z,33.00,69.00
2026-06-02T08:37:00Z,33.00,69.36
2026-06-02T09:39:00Z,33.00,69.36
2026-06-02T10:12:00Z,33.00,68.00
2026-06-02T10:20:00Z,33.00,68.00
2026-06-02T12:10:00Z,33.00,69.00
2026-06-02T12:11:00Z,33.00,69.00
2026-06-02T12:12:00Z,33.00,69.00
2026-06-02T12:25:00Z,33.00,69.00
2026-06-02T13:32:00Z,33.00,69.00
2026-06-02T13:53:00Z,33.00,68.00
2026-06-02T13:54:00Z,33.00,68.30
2026-06-02T14:03:00Z,34.00,68.30
2026-06-02T14:06:00Z,34.00,68.00
2026-06-02T14:09:00Z,34.00,68.00
2026-06-02T14:12:00Z,34.00,66.35
2026-06-02T14:20:00Z,34.00,66.35
2026-06-02T14:21:00Z,34.00,66.35
2026-06-02T14:22:00Z,34.00,68.75
2026-06-02T14:31:00Z,34.00,68.75
2026-06-02T14:37:00Z,34.00,68.00
2026-06-02T14:40:00Z,34.00,68.00
2026-06-02T14:41:00Z,34.00,68.00
2026-06-02T14:43:00Z,34.00,68.00
2026-06-02T14:45:00Z,32.00,68.00
2026-06-02T14:46:00Z,28.00,68.00
2026-06-02T14:47:00Z,25.69,75.88
2026-06-02T14:48:00Z,26.50,73.19
2026-06-02T14:49:00Z,23.34,75.07
2026-06-02T14:50:00Z,24.45,75.85
2026-06-02T14:51:00Z,21.99,80.00
2026-06-02T14:52:00Z,20.87,78.39
2026-06-02T14:53:00Z,21.76,79.00
2026-06-02T14:54:00Z,21.00,79.66
2026-06-02T14:55:00Z,23.00,78.03
2026-06-02T14:56:00Z,22.00,78.00
2026-06-02T14:57:00Z,24.32,77.03
2026-06-02T14:58:00Z,27.47,72.74
2026-06-02T14:59:00Z,32.78,69.77
2026-06-02T15:00:00Z,31.10,68.06
2026-06-02T15:01:00Z,34.92,65.87
2026-06-02T15:02:00Z,34.19,66.88
2026-06-02T15:03:00Z,31.03,68.34
2026-06-02T15:04:00Z,28.09,71.49
2026-06-02T15:05:00Z,25.00,76.00
2026-06-02T15:06:00Z,25.86,73.24
2026-06-02T15:07:00Z,26.14,73.84
2026-06-02T15:08:00Z,27.36,72.00
2026-06-02T15:09:00Z,25.55,76.15
2026-06-02T15:10:00Z,27.00,73.11
2026-06-02T15:11:00Z,29.10,70.13
2026-06-02T15:12:00Z,35.19,65.17
2026-06-02T15:13:00Z,41.15,59.08
2026-06-02T15:14:00Z,45.41,57.00
2026-06-02T15:15:00Z,45.77,55.19
2026-06-02T15:16:00Z,43.64,57.83
2026-06-02T15:17:00Z,45.77,55.00
2026-06-02T15:18:00Z,45.85,55.09
2026-06-02T15:19:00Z,46.61,57.00
2026-06-02T15:20:00Z,46.15,53.91
2026-06-02T15:21:00Z,44.46,57.05
2026-06-02T15:22:00Z,39.75,61.20
2026-06-02T15:23:00Z,37.46,61.41
2026-06-02T15:24:00Z,36.65,64.78
2026-06-02T15:25:00Z,29.83,69.72
2026-06-02T15:26:00Z,29.02,71.15
2026-06-02T15:27:00Z,23.75,76.25
2026-06-02T15:28:00Z,22.08,77.01
2026-06-02T15:29:00Z,19.25,81.75
2026-06-02T15:30:00Z,18.00,82.97
2026-06-02T15:31:00Z,18.00,82.81
2026-06-02T15:32:00Z,18.00,83.00
2026-06-02T15:33:00Z,17.34,83.21
2026-06-02T15:34:00Z,13.09,87.83
2026-06-02T15:35:00Z,11.83,89.22
2026-06-02T15:36:00Z,9.00,91.68
2026-06-02T15:37:00Z,8.37,92.00
2026-06-02T15:38:00Z,8.86,92.30
2026-06-02T15:39:00Z,7.00,93.91
2026-06-02T15:40:00Z,5.08,95.00
2026-06-02T15:41:00Z,4.07,96.18
2026-06-02T15:42:00Z,2.32,97.97
2026-06-02T15:43:00Z,2.02,97.07
2026-06-02T15:44:00Z,2.93,96.66
2026-06-02T15:45:00Z,2.99,96.94
2026-06-02T15:46:00Z,3.94,95.85
2026-06-02T15:47:00Z,4.04,96.27
2026-06-02T15:48:00Z,1.99,98.00
2026-06-02T15:49:00Z,2.00,98.22
2026-06-02T15:50:00Z,1.15,98.22
2026-06-02T15:51:00Z,1.97,98.22
2026-06-02T15:52:00Z,2.00,98.70
2026-06-02T15:53:00Z,2.00,98.00
2026-06-02T15:54:00Z,1.05,98.97
2026-06-02T15:55:00Z,1.00,98.83
2026-06-02T15:56:00Z,2.00,99.00
2026-06-02T15:57:00Z,1.89,98.97
2026-06-02T15:58:00Z,1.00,98.94
2026-06-02T15:59:00Z,1.00,99.00
2026-06-02T16:00:00Z,1.00,99.00
2026-06-02T16:01:00Z,1.00,99.00
