# event_ticker=KXATPMATCH-26MAY06BAUMAE
# final_score=6-3 7-6(2)
# score_resolution=3-6 6-7
# match_winner=Roberto Bautista Agut
# fav_player=Francesco Maestrelli
# dog_player=Roberto Bautista Agut
# kalshi_date=2026-05-06
timestamp,Roberto Bautista Agut,Francesco Maestrelli
2026-05-07T02:10:00Z,64.00,
2026-05-07T02:12:00Z,64.00,37.00
2026-05-07T02:19:00Z,64.00,37.00
2026-05-07T02:27:00Z,64.00,37.00
2026-05-07T02:36:00Z,64.00,37.00
2026-05-07T02:46:00Z,64.00,37.00
2026-05-07T02:53:00Z,64.00,37.00
2026-05-07T03:06:00Z,64.00,37.00
2026-05-07T03:13:00Z,64.00,37.00
2026-05-07T03:14:00Z,64.00,37.00
2026-05-07T03:36:00Z,64.00,37.00
2026-05-07T03:38:00Z,64.00,37.00
2026-05-07T03:46:00Z,64.00,37.00
2026-05-07T03:58:00Z,64.00,37.00
2026-05-07T03:59:00Z,64.00,37.00
2026-05-07T04:08:00Z,64.00,37.00
2026-05-07T04:12:00Z,64.00,37.00
2026-05-07T04:18:00Z,64.00,37.00
2026-05-07T04:19:00Z,64.00,37.00
2026-05-07T04:20:00Z,64.00,37.00
2026-05-07T04:21:00Z,64.00,37.00
2026-05-07T04:23:00Z,64.00,37.00
2026-05-07T04:29:00Z,64.00,37.00
2026-05-07T04:38:00Z,64.00,37.00
2026-05-07T04:45:00Z,64.00,37.00
2026-05-07T04:46:00Z,64.00,37.00
2026-05-07T04:48:00Z,64.00,36.00
2026-05-07T04:49:00Z,64.00,36.00
2026-05-07T04:50:00Z,64.00,36.00
2026-05-07T05:10:00Z,64.00,36.00
2026-05-07T05:12:00Z,64.00,36.00
2026-05-07T05:25:00Z,64.00,36.00
2026-05-07T05:27:00Z,64.00,36.00
2026-05-07T05:29:00Z,64.00,37.00
2026-05-07T05:49:00Z,64.00,37.00
2026-05-07T05:54:00Z,64.00,37.00
2026-05-07T06:01:00Z,64.00,37.00
2026-05-07T06:04:00Z,64.00,37.00
2026-05-07T06:06:00Z,64.00,37.00
2026-05-07T06:16:00Z,64.00,37.00
2026-05-07T06:20:00Z,64.00,37.00
2026-05-07T06:23:00Z,64.00,37.00
2026-05-07T06:32:00Z,64.00,37.00
2026-05-07T06:37:00Z,64.00,37.00
2026-05-07T06:38:00Z,64.00,37.00
2026-05-07T06:42:00Z,64.00,37.00
2026-05-07T06:43:00Z,64.00,37.00
2026-05-07T06:44:00Z,64.00,37.00
2026-05-07T06:48:00Z,64.00,37.00
2026-05-07T06:50:00Z,64.00,37.00
2026-05-07T06:57:00Z,64.00,37.00
2026-05-07T09:14:00Z,64.00,37.00
2026-05-07T09:22:00Z,64.00,37.19
2026-05-07T09:24:00Z,64.00,38.00
2026-05-07T09:25:00Z,64.00,38.00
2026-05-07T09:28:00Z,64.00,38.00
2026-05-07T09:44:00Z,64.00,38.00
2026-05-07T09:55:00Z,64.00,38.00
2026-05-07T10:01:00Z,64.00,38.00
2026-05-07T10:12:00Z,64.00,38.00
2026-05-07T10:18:00Z,64.00,38.00
2026-05-07T10:19:00Z,64.00,38.00
2026-05-07T10:37:00Z,64.00,38.00
2026-05-07T10:40:00Z,64.00,38.00
2026-05-07T10:43:00Z,64.00,38.00
2026-05-07T10:51:00Z,64.00,38.00
2026-05-07T10:57:00Z,64.00,38.00
2026-05-07T11:12:00Z,64.00,38.00
2026-05-07T11:13:00Z,64.00,37.00
2026-05-07T11:14:00Z,64.00,37.00
2026-05-07T11:16:00Z,63.07,37.00
2026-05-07T11:17:00Z,64.00,37.00
2026-05-07T11:19:00Z,64.00,37.00
2026-05-07T11:21:00Z,64.00,37.00
2026-05-07T11:22:00Z,64.00,37.96
2026-05-07T11:29:00Z,63.00,37.96
2026-05-07T11:32:00Z,63.00,37.96
2026-05-07T11:34:00Z,63.00,37.96
2026-05-07T11:39:00Z,63.00,37.96
2026-05-07T11:47:00Z,63.00,37.96
2026-05-07T11:52:00Z,63.00,37.96
2026-05-07T11:55:00Z,63.00,38.00
2026-05-07T11:57:00Z,63.00,38.00
2026-05-07T12:06:00Z,63.00,38.00
2026-05-07T12:07:00Z,63.00,38.00
2026-05-07T12:09:00Z,63.00,38.00
2026-05-07T12:10:00Z,63.00,38.00
2026-05-07T12:12:00Z,63.00,38.00
2026-05-07T12:14:00Z,63.00,38.00
2026-05-07T12:22:00Z,63.00,38.00
2026-05-07T12:27:00Z,63.00,38.00
