# event_ticker=KXATPMATCH-26FEB15HANREI
# final_score=7-6(3) 6-4
# score_resolution=6-7 4-6
# match_winner=Yannick Hanfmann
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Yannick Hanfmann
# kalshi_date=2026-02-15
timestamp,Joao Lucas Reis Da Silva,Yannick Hanfmann
2026-02-16T12:59:00Z,,76.00
2026-02-16T14:50:00Z,,76.00
2026-02-16T16:16:00Z,,76.00
2026-02-16T16:44:00Z,,76.00
2026-02-16T17:14:00Z,26.00,76.00
2026-02-16T17:17:00Z,26.00,76.00
2026-02-16T18:10:00Z,26.00,75.00
2026-02-16T18:12:00Z,26.00,75.00
2026-02-16T18:18:00Z,26.00,75.00
2026-02-16T18:29:00Z,26.00,75.00
2026-02-16T18:34:00Z,26.00,75.00
2026-02-16T18:39:00Z,26.00,75.00
2026-02-16T18:48:00Z,26.00,75.00
2026-02-16T18:49:00Z,26.00,75.00
2026-02-16T19:01:00Z,26.00,74.00
2026-02-16T19:22:00Z,26.00,75.00
2026-02-16T19:25:00Z,25.00,75.00
2026-02-16T19:29:00Z,25.00,75.00
2026-02-16T19:36:00Z,25.00,76.00
2026-02-16T19:49:00Z,25.00,76.00
2026-02-16T19:52:00Z,25.00,76.00
2026-02-16T20:18:00Z,25.00,77.00
2026-02-16T20:22:00Z,25.00,76.00
2026-02-16T20:32:00Z,25.00,77.00
2026-02-16T20:53:00Z,25.00,76.00
2026-02-16T21:09:00Z,25.00,76.00
2026-02-16T21:21:00Z,25.00,76.00
2026-02-16T21:23:00Z,25.00,76.00
2026-02-16T21:26:00Z,25.00,76.00
2026-02-16T21:27:00Z,25.00,76.00
2026-02-16T21:44:00Z,25.00,76.00
2026-02-16T21:52:00Z,25.00,76.00
2026-02-16T21:54:00Z,25.00,76.00
2026-02-16T21:57:00Z,25.00,76.00
2026-02-16T22:07:00Z,25.00,77.00
2026-02-16T22:08:00Z,25.00,77.00
2026-02-16T22:18:00Z,25.00,77.00
2026-02-16T22:19:00Z,25.00,77.00
2026-02-16T22:21:00Z,25.00,77.00
2026-02-16T22:22:00Z,25.00,77.00
2026-02-16T22:24:00Z,25.00,77.00
2026-02-16T22:32:00Z,25.00,77.00
2026-02-16T22:35:00Z,25.00,77.00
2026-02-16T22:36:00Z,25.00,77.00
2026-02-16T22:38:00Z,25.00,77.00
2026-02-16T22:40:00Z,25.00,77.00
2026-02-16T22:42:00Z,25.00,77.00
2026-02-16T22:45:00Z,25.00,77.00
2026-02-16T22:48:00Z,25.00,77.00
2026-02-16T22:52:00Z,25.00,77.00
2026-02-16T22:53:00Z,25.00,77.00
2026-02-16T22:54:00Z,25.00,77.00
2026-02-16T22:57:00Z,25.00,77.00
2026-02-16T22:59:00Z,25.00,77.00
2026-02-16T23:00:00Z,25.00,77.00
2026-02-16T23:03:00Z,25.00,77.00
2026-02-16T23:06:00Z,25.00,77.00
2026-02-16T23:07:00Z,25.00,77.00
2026-02-16T23:09:00Z,24.00,77.00
2026-02-16T23:11:00Z,24.07,77.00
2026-02-16T23:13:00Z,25.00,77.00
2026-02-16T23:14:00Z,25.00,77.00
2026-02-16T23:15:00Z,24.89,77.00
2026-02-16T23:16:00Z,23.00,77.00
2026-02-16T23:18:00Z,23.00,74.90
2026-02-16T23:19:00Z,25.00,77.00
2026-02-16T23:21:00Z,24.00,77.00
2026-02-16T23:22:00Z,25.00,77.00
2026-02-16T23:23:00Z,25.00,77.00
2026-02-16T23:24:00Z,25.00,77.00
2026-02-16T23:26:00Z,25.00,77.00
2026-02-16T23:28:00Z,25.00,77.00
2026-02-16T23:30:00Z,25.00,77.00
2026-02-16T23:32:00Z,25.00,77.00
2026-02-16T23:33:00Z,25.00,77.00
2026-02-16T23:35:00Z,25.00,76.00
2026-02-16T23:36:00Z,25.00,76.00
2026-02-16T23:38:00Z,25.00,76.11
2026-02-16T23:40:00Z,25.00,77.00
2026-02-16T23:41:00Z,25.00,77.00
