# event_ticker=KXATPCHALLENGERMATCH-26FEB13BONBOU
# final_score=6-7(9) 6-4 6-4
# score_resolution=6-7 6-4 6-4
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Arthur Bouquier
# kalshi_date=2026-02-13
timestamp,Benjamin Bonzi,Arthur Bouquier
2026-02-13T06:37:00Z,73.00,
2026-02-13T06:52:00Z,72.00,
2026-02-13T08:31:00Z,72.00,27.00
2026-02-13T08:46:00Z,75.00,27.00
2026-02-13T10:10:00Z,75.00,27.00
2026-02-13T10:16:00Z,75.00,27.00
2026-02-13T10:34:00Z,75.00,27.00
2026-02-13T11:13:00Z,75.00,25.00
2026-02-13T11:14:00Z,76.00,25.00
2026-02-13T13:03:00Z,76.00,25.00
2026-02-13T13:08:00Z,76.00,25.00
2026-02-13T13:36:00Z,76.00,25.00
2026-02-13T13:47:00Z,76.00,25.00
2026-02-13T13:52:00Z,76.00,25.00
2026-02-13T14:14:00Z,76.00,25.00
2026-02-13T14:19:00Z,76.00,25.00
2026-02-13T14:22:00Z,75.00,25.00
2026-02-13T14:23:00Z,76.00,25.00
2026-02-13T14:34:00Z,76.00,27.00
2026-02-13T14:40:00Z,76.00,27.00
2026-02-13T15:12:00Z,76.00,27.00
2026-02-13T15:31:00Z,76.00,27.00
2026-02-13T15:32:00Z,76.00,27.00
2026-02-13T15:46:00Z,76.00,27.00
2026-02-13T15:49:00Z,76.00,27.00
2026-02-13T15:50:00Z,76.00,27.00
2026-02-13T15:52:00Z,76.00,27.00
2026-02-13T15:57:00Z,76.00,27.00
2026-02-13T15:58:00Z,76.00,27.00
2026-02-13T16:02:00Z,76.00,27.00
2026-02-13T16:05:00Z,76.00,27.00
2026-02-13T16:09:00Z,76.00,27.00
2026-02-13T16:33:00Z,76.00,27.00
2026-02-13T16:34:00Z,76.00,27.00
2026-02-13T16:36:00Z,76.00,27.00
2026-02-13T16:37:00Z,76.00,27.00
2026-02-13T16:41:00Z,75.00,27.00
2026-02-13T16:42:00Z,75.00,25.00
2026-02-13T16:44:00Z,75.00,27.00
2026-02-13T16:45:00Z,75.00,27.00
2026-02-13T16:46:00Z,75.00,27.00
2026-02-13T16:47:00Z,75.00,27.00
2026-02-13T16:49:00Z,75.00,27.00
2026-02-13T16:52:00Z,75.00,27.00
2026-02-13T16:53:00Z,75.00,27.00
