# event_ticker=KXATPCHALLENGERMATCH-26APR29DHABRO
# final_score=6-1 6-1
# match_winner=Manas Dhamne
# fav_player=Manas Dhamne
# dog_player=Gijs Brouwer
# kalshi_date=2026-04-29
timestamp,Manas Dhamne,Gijs Brouwer
2026-04-28T17:23:00Z,,45.00
2026-04-28T20:36:00Z,62.00,45.00
2026-04-29T00:13:00Z,65.00,45.00
2026-04-29T00:14:00Z,63.00,45.00
2026-04-29T02:16:00Z,64.98,34.59
2026-04-29T02:25:00Z,66.00,34.59
2026-04-29T02:33:00Z,66.00,34.59
2026-04-29T03:03:00Z,66.00,34.59
2026-04-29T03:13:00Z,66.00,35.00
2026-04-29T03:49:00Z,66.00,35.00
2026-04-29T03:54:00Z,66.00,35.00
2026-04-29T03:58:00Z,66.00,35.00
2026-04-29T04:03:00Z,66.00,35.00
2026-04-29T04:08:00Z,66.00,35.00
2026-04-29T04:10:00Z,66.00,35.00
2026-04-29T04:27:00Z,66.00,35.00
2026-04-29T04:40:00Z,66.00,35.00
2026-04-29T04:41:00Z,66.00,35.00
2026-04-29T04:46:00Z,66.00,35.00
2026-04-29T04:48:00Z,66.00,35.00
2026-04-29T04:49:00Z,66.00,35.00
2026-04-29T04:50:00Z,66.00,34.00
2026-04-29T04:54:00Z,66.00,34.00
2026-04-29T04:57:00Z,66.00,34.00
2026-04-29T04:58:00Z,66.00,34.00
2026-04-29T05:00:00Z,66.00,34.00
2026-04-29T05:01:00Z,66.00,35.00
2026-04-29T05:03:00Z,66.00,35.00
2026-04-29T05:04:00Z,66.00,35.00
2026-04-29T05:05:00Z,66.00,35.66
2026-04-29T05:06:00Z,68.46,35.00
2026-04-29T05:07:00Z,68.46,35.00
2026-04-29T05:08:00Z,65.28,34.82
2026-04-29T05:09:00Z,72.12,32.20
2026-04-29T05:10:00Z,70.98,34.42
2026-04-29T05:11:00Z,77.73,21.02
2026-04-29T05:12:00Z,77.83,25.11
2026-04-29T05:13:00Z,76.90,23.98
2026-04-29T05:14:00Z,82.92,19.60
2026-04-29T05:15:00Z,83.76,19.60
2026-04-29T05:16:00Z,83.76,16.00
2026-04-29T05:17:00Z,85.77,13.91
2026-04-29T05:18:00Z,87.11,15.25
2026-04-29T05:19:00Z,86.36,17.15
2026-04-29T05:20:00Z,84.07,17.00
2026-04-29T05:21:00Z,84.23,16.99
2026-04-29T05:22:00Z,85.81,14.00
2026-04-29T05:23:00Z,87.03,13.00
2026-04-29T05:24:00Z,89.00,11.00
2026-04-29T05:25:00Z,89.00,11.00
2026-04-29T05:26:00Z,89.18,11.00
2026-04-29T05:27:00Z,89.18,11.00
2026-04-29T05:28:00Z,87.08,13.00
2026-04-29T05:29:00Z,86.38,12.84
2026-04-29T05:30:00Z,86.00,15.09
2026-04-29T05:32:00Z,86.00,16.00
2026-04-29T05:33:00Z,86.00,14.41
2026-04-29T05:34:00Z,85.86,15.99
2026-04-29T05:35:00Z,89.00,15.99
2026-04-29T05:36:00Z,88.00,15.99
2026-04-29T05:37:00Z,88.00,11.00
2026-04-29T05:38:00Z,88.00,13.95
2026-04-29T05:39:00Z,88.00,13.00
2026-04-29T05:40:00Z,85.12,16.31
2026-04-29T05:41:00Z,84.34,19.46
2026-04-29T05:42:00Z,79.97,22.63
2026-04-29T05:43:00Z,80.28,18.19
2026-04-29T05:44:00Z,84.15,14.04
2026-04-29T05:45:00Z,87.80,13.05
2026-04-29T05:46:00Z,87.71,13.11
2026-04-29T05:47:00Z,87.32,13.00
2026-04-29T05:48:00Z,89.88,11.47
2026-04-29T05:49:00Z,90.83,6.64
2026-04-29T05:50:00Z,96.09,4.62
2026-04-29T05:51:00Z,97.00,3.93
2026-04-29T05:52:00Z,95.22,4.67
2026-04-29T05:53:00Z,95.00,5.00
2026-04-29T05:54:00Z,97.65,4.00
2026-04-29T05:55:00Z,97.72,2.31
2026-04-29T05:56:00Z,98.01,1.04
2026-04-29T05:57:00Z,98.95,3.00
2026-04-29T05:58:00Z,98.95,2.40
2026-04-29T05:59:00Z,99.00,1.01
2026-04-29T06:00:00Z,99.00,1.01
2026-04-29T06:01:00Z,99.00,1.00
2026-04-29T06:02:00Z,99.00,1.00
2026-04-29T06:03:00Z,99.00,1.00
2026-04-29T06:04:00Z,99.00,1.00
2026-04-29T06:06:00Z,99.00,1.00
