# event_ticker=KXATPMATCH-26MAR17MARFON
# final_score=6-4 3-6 6-2
# score_resolution=4-6 6-3 2-6
# match_winner=Joao Fonseca
# fav_player=Fabian Marozsan
# dog_player=Joao Fonseca
# kalshi_date=2026-03-17
timestamp,Fabian Marozsan,Joao Fonseca
2026-03-19T09:02:00Z,,72.00
2026-03-19T09:31:00Z,30.00,72.00
2026-03-19T09:32:00Z,30.00,72.00
2026-03-19T10:09:00Z,30.00,71.00
2026-03-19T10:11:00Z,30.00,71.00
2026-03-19T10:15:00Z,30.00,71.00
2026-03-19T10:17:00Z,30.00,71.00
2026-03-19T10:25:00Z,30.00,71.00
2026-03-19T10:30:00Z,30.00,71.00
2026-03-19T10:37:00Z,30.00,72.00
2026-03-19T10:51:00Z,30.00,72.00
2026-03-19T11:00:00Z,30.00,72.00
2026-03-19T11:05:00Z,30.00,72.00
2026-03-19T11:16:00Z,30.00,72.00
2026-03-19T11:45:00Z,30.00,72.00
2026-03-19T12:03:00Z,30.00,72.00
2026-03-19T12:37:00Z,30.00,72.00
2026-03-19T13:16:00Z,30.00,72.00
2026-03-19T13:19:00Z,30.00,72.00
2026-03-19T13:23:00Z,30.00,72.00
2026-03-19T13:25:00Z,30.00,72.00
2026-03-19T13:32:00Z,30.00,72.00
2026-03-19T13:35:00Z,30.00,72.00
2026-03-19T13:38:00Z,30.00,72.00
2026-03-19T13:41:00Z,30.00,72.00
2026-03-19T13:46:00Z,30.00,72.00
2026-03-19T13:49:00Z,30.00,72.00
2026-03-19T14:04:00Z,30.00,72.00
2026-03-19T14:06:00Z,30.00,72.00
2026-03-19T14:24:00Z,30.00,72.00
2026-03-19T14:32:00Z,30.00,72.00
2026-03-19T14:36:00Z,30.00,72.00
2026-03-19T14:40:00Z,30.00,72.00
2026-03-19T14:41:00Z,30.00,72.00
2026-03-19T14:42:00Z,30.00,72.00
2026-03-19T14:43:00Z,30.00,72.00
2026-03-19T15:03:00Z,30.00,72.00
2026-03-19T15:04:00Z,30.00,72.00
2026-03-19T15:08:00Z,30.00,72.00
2026-03-19T15:11:00Z,30.00,72.00
2026-03-19T15:14:00Z,30.00,72.00
2026-03-19T15:17:00Z,29.00,72.00
2026-03-19T15:21:00Z,29.00,72.00
2026-03-19T15:26:00Z,29.00,72.00
2026-03-19T15:27:00Z,28.00,72.00
2026-03-19T15:36:00Z,28.00,71.00
2026-03-19T15:38:00Z,28.00,72.00
2026-03-19T15:41:00Z,29.00,72.00
2026-03-19T15:43:00Z,29.00,72.00
2026-03-19T15:50:00Z,29.00,72.00
2026-03-19T15:52:00Z,29.00,72.00
2026-03-19T15:54:00Z,29.00,72.00
2026-03-19T15:56:00Z,29.00,72.00
2026-03-19T15:58:00Z,29.00,72.00
2026-03-19T15:59:00Z,29.00,72.00
2026-03-19T16:05:00Z,29.00,72.00
2026-03-19T16:06:00Z,29.00,72.00
2026-03-19T16:07:00Z,29.00,71.00
2026-03-19T16:10:00Z,29.00,72.00
2026-03-19T16:12:00Z,29.00,72.00
2026-03-19T16:13:00Z,29.00,72.00
2026-03-19T16:14:00Z,29.00,72.00
2026-03-19T16:16:00Z,29.00,72.00
2026-03-19T16:24:00Z,29.00,72.00
2026-03-19T16:26:00Z,29.00,72.00
2026-03-19T16:30:00Z,29.00,72.00
2026-03-19T16:31:00Z,29.00,72.00
2026-03-19T16:32:00Z,29.00,72.00
2026-03-19T16:34:00Z,29.00,72.00
2026-03-19T16:35:00Z,29.00,73.00
2026-03-19T16:37:00Z,29.00,73.00
2026-03-19T16:38:00Z,29.00,72.07
2026-03-19T16:40:00Z,29.00,73.00
2026-03-19T16:42:00Z,29.00,73.00
2026-03-19T16:43:00Z,28.00,72.00
2026-03-19T16:46:00Z,28.00,72.00
2026-03-19T16:50:00Z,28.00,72.00
2026-03-19T16:52:00Z,28.00,72.00
2026-03-19T16:53:00Z,28.00,72.00
2026-03-19T16:55:00Z,29.00,72.00
2026-03-19T16:56:00Z,29.00,72.00
2026-03-19T16:57:00Z,29.00,72.00
2026-03-19T16:58:00Z,29.00,72.00
2026-03-19T16:59:00Z,29.00,72.00
2026-03-19T17:07:00Z,28.00,72.00
2026-03-19T17:08:00Z,29.00,72.00
2026-03-19T17:09:00Z,29.00,72.00
2026-03-19T17:10:00Z,29.00,72.00
2026-03-19T17:12:00Z,29.00,72.00
2026-03-19T17:13:00Z,29.00,72.00
2026-03-19T17:15:00Z,29.00,72.00
2026-03-19T17:16:00Z,29.00,72.00
