# event_ticker=KXATPCHALLENGERMATCH-26MAY01HEMMMO
# final_score=3-6 7-5 6-3
# match_winner=Michael Mmoh
# fav_player=Michael Mmoh
# dog_player=Calvin Hemery
# kalshi_date=2026-05-01
timestamp,Calvin Hemery,Michael Mmoh
2026-05-01T07:48:00Z,,73.00
2026-05-01T07:51:00Z,,73.00
2026-05-01T08:49:00Z,28.00,73.00
2026-05-01T09:24:00Z,28.00,73.00
2026-05-01T10:24:00Z,28.00,73.00
2026-05-01T10:29:00Z,28.00,73.00
2026-05-01T10:59:00Z,28.00,73.00
2026-05-01T11:38:00Z,28.00,73.00
2026-05-01T13:16:00Z,28.00,73.00
2026-05-01T13:17:00Z,27.00,73.00
2026-05-01T13:25:00Z,27.00,73.00
2026-05-01T13:26:00Z,27.00,73.00
2026-05-01T13:47:00Z,28.00,73.00
2026-05-01T13:50:00Z,28.00,73.00
2026-05-01T15:23:00Z,27.00,73.00
2026-05-01T15:28:00Z,27.00,73.00
2026-05-01T15:29:00Z,28.00,73.00
2026-05-01T15:32:00Z,28.00,73.00
2026-05-01T15:35:00Z,28.00,73.00
2026-05-01T15:45:00Z,28.00,72.00
2026-05-01T15:55:00Z,28.00,72.00
2026-05-01T15:58:00Z,28.00,72.00
2026-05-01T16:09:00Z,28.00,72.00
2026-05-01T16:17:00Z,28.00,72.00
2026-05-01T16:28:00Z,28.00,73.00
2026-05-01T16:30:00Z,28.00,73.00
2026-05-01T16:31:00Z,28.00,73.00
2026-05-01T16:37:00Z,28.00,73.00
2026-05-01T16:43:00Z,28.00,73.00
2026-05-01T16:57:00Z,28.00,73.00
2026-05-01T17:05:00Z,28.00,73.00
2026-05-01T17:09:00Z,28.00,72.00
2026-05-01T17:10:00Z,28.00,73.00
2026-05-01T17:12:00Z,28.00,73.00
2026-05-01T17:21:00Z,28.00,73.00
2026-05-01T17:30:00Z,28.00,73.00
2026-05-01T17:33:00Z,28.00,73.00
2026-05-01T17:34:00Z,28.00,73.00
2026-05-01T17:37:00Z,28.00,73.00
2026-05-01T17:39:00Z,28.00,73.00
2026-05-01T17:41:00Z,28.00,73.00
2026-05-01T17:45:00Z,28.00,73.00
2026-05-01T17:46:00Z,28.00,73.00
2026-05-01T17:53:00Z,28.00,73.00
2026-05-01T17:55:00Z,28.00,73.00
2026-05-01T17:56:00Z,28.00,72.66
2026-05-01T17:57:00Z,27.86,72.66
2026-05-01T17:59:00Z,27.86,73.00
2026-05-01T18:00:00Z,27.86,73.00
2026-05-01T18:02:00Z,27.86,73.00
2026-05-01T18:03:00Z,28.00,73.00
2026-05-01T18:04:00Z,28.00,73.00
2026-05-01T18:05:00Z,28.00,73.00
2026-05-01T18:10:00Z,28.00,73.00
2026-05-01T18:11:00Z,28.00,73.00
2026-05-01T18:12:00Z,28.00,73.00
2026-05-01T18:13:00Z,28.00,73.00
2026-05-01T18:17:00Z,28.00,73.00
2026-05-01T18:20:00Z,28.00,73.00
2026-05-01T18:21:00Z,28.00,73.00
2026-05-01T18:23:00Z,28.00,73.00
2026-05-01T18:25:00Z,28.00,73.00
2026-05-01T18:28:00Z,28.00,73.00
2026-05-01T18:29:00Z,28.00,73.61
2026-05-01T18:32:00Z,28.00,73.61
