# event_ticker=KXATPCHALLENGERMATCH-26FEB17AGUMAR
# final_score=6-2 6-3
# match_winner=Andres Martin
# fav_player=Andres Martin
# dog_player=Juan Carlos Aguilar
# kalshi_date=2026-02-17
timestamp,Andres Martin,Juan Carlos Aguilar
2026-02-17T05:30:00Z,,88.00
2026-02-17T05:51:00Z,,87.00
2026-02-17T07:54:00Z,80.00,87.00
2026-02-17T10:51:00Z,80.00,13.00
2026-02-17T10:55:00Z,80.00,17.00
2026-02-17T11:04:00Z,80.00,17.00
2026-02-17T11:09:00Z,80.00,17.00
2026-02-17T11:14:00Z,80.00,17.00
2026-02-17T11:23:00Z,80.00,17.00
2026-02-17T11:27:00Z,80.00,17.00
2026-02-17T11:32:00Z,80.00,17.00
2026-02-17T11:37:00Z,80.00,17.00
2026-02-17T12:15:00Z,80.00,21.00
2026-02-17T12:55:00Z,74.00,28.00
2026-02-17T14:10:00Z,74.00,15.00
2026-02-17T14:11:00Z,80.00,15.00
2026-02-17T15:00:00Z,80.00,29.00
2026-02-17T15:02:00Z,80.00,29.00
2026-02-17T15:03:00Z,86.00,29.00
2026-02-17T15:27:00Z,86.00,29.00
2026-02-17T15:52:00Z,78.96,29.00
2026-02-17T15:53:00Z,82.00,29.00
2026-02-17T16:03:00Z,82.00,23.97
2026-02-17T16:05:00Z,82.00,22.99
2026-02-17T16:06:00Z,83.00,22.00
2026-02-17T16:07:00Z,81.87,18.73
2026-02-17T16:08:00Z,86.00,16.21
2026-02-17T16:10:00Z,77.98,21.15
2026-02-17T16:11:00Z,77.98,21.44
2026-02-17T16:12:00Z,77.98,21.00
2026-02-17T16:13:00Z,80.00,19.00
2026-02-17T16:14:00Z,80.00,19.00
2026-02-17T16:15:00Z,85.00,14.82
2026-02-17T16:16:00Z,88.00,13.40
2026-02-17T16:17:00Z,88.00,12.60
2026-02-17T16:18:00Z,82.00,18.57
2026-02-17T16:19:00Z,84.24,20.36
2026-02-17T16:20:00Z,81.00,21.00
2026-02-17T16:21:00Z,84.00,18.10
2026-02-17T16:22:00Z,80.00,19.12
2026-02-17T16:23:00Z,80.00,23.00
2026-02-17T16:24:00Z,73.90,26.25
2026-02-17T16:25:00Z,73.53,27.45
2026-02-17T16:26:00Z,74.76,27.45
2026-02-17T16:28:00Z,76.44,23.31
2026-02-17T16:29:00Z,79.00,22.98
2026-02-17T16:30:00Z,81.00,19.05
2026-02-17T16:31:00Z,80.00,21.50
2026-02-17T16:32:00Z,80.00,13.96
2026-02-17T16:33:00Z,87.15,12.22
2026-02-17T16:34:00Z,88.00,11.25
2026-02-17T16:35:00Z,87.00,11.96
2026-02-17T16:36:00Z,90.00,13.00
2026-02-17T16:37:00Z,91.00,9.34
2026-02-17T16:38:00Z,91.00,10.00
2026-02-17T16:39:00Z,92.00,7.00
2026-02-17T16:40:00Z,94.00,8.00
2026-02-17T16:41:00Z,94.00,7.00
2026-02-17T16:42:00Z,94.04,8.00
2026-02-17T16:43:00Z,95.48,6.11
2026-02-17T16:44:00Z,96.47,5.75
2026-02-17T16:45:00Z,93.00,7.26
2026-02-17T16:46:00Z,90.77,8.74
2026-02-17T16:47:00Z,91.00,12.00
2026-02-17T16:48:00Z,91.94,8.79
2026-02-17T16:49:00Z,95.00,6.39
2026-02-17T16:50:00Z,95.11,4.49
2026-02-17T16:51:00Z,97.03,3.62
2026-02-17T16:52:00Z,97.14,2.33
2026-02-17T16:53:00Z,98.39,2.14
2026-02-17T16:54:00Z,97.01,3.92
2026-02-17T16:55:00Z,98.00,3.12
2026-02-17T16:56:00Z,95.33,4.16
2026-02-17T16:57:00Z,95.00,5.92
2026-02-17T16:58:00Z,95.00,6.00
2026-02-17T16:59:00Z,96.00,3.98
2026-02-17T17:00:00Z,95.00,5.98
2026-02-17T17:01:00Z,95.00,7.00
2026-02-17T17:02:00Z,93.12,7.00
2026-02-17T17:03:00Z,93.12,7.00
2026-02-17T17:04:00Z,92.02,6.55
2026-02-17T17:05:00Z,93.77,5.02
2026-02-17T17:06:00Z,96.08,7.00
2026-02-17T17:07:00Z,93.00,7.62
2026-02-17T17:08:00Z,93.07,6.47
2026-02-17T17:09:00Z,97.94,3.85
2026-02-17T17:10:00Z,98.02,1.65
2026-02-17T17:11:00Z,99.00,1.93
2026-02-17T17:12:00Z,99.00,1.93
2026-02-17T17:13:00Z,99.00,1.99
2026-02-17T17:14:00Z,98.00,2.00
2026-02-17T17:15:00Z,98.00,2.97
2026-02-17T17:16:00Z,97.83,3.21
2026-02-17T17:17:00Z,98.00,4.00
2026-02-17T17:18:00Z,98.00,5.00
2026-02-17T17:19:00Z,98.00,3.00
2026-02-17T17:20:00Z,99.00,3.00
2026-02-17T17:21:00Z,99.00,1.00
2026-02-17T17:22:00Z,99.00,1.00
2026-02-17T17:23:00Z,99.00,1.00
2026-02-17T17:24:00Z,98.00,1.73
2026-02-17T17:30:00Z,98.00,1.00
