# event_ticker=KXATPCHALLENGERMATCH-26JUN04BECDUR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Tuncay Duran
# fav_player=Alec Beckley
# dog_player=Tuncay Duran
# kalshi_date=2026-06-04
timestamp,Alec Beckley,Tuncay Duran
2026-06-03T21:51:00Z,,53.00
2026-06-03T22:07:00Z,,53.00
2026-06-03T23:57:00Z,,52.00
2026-06-04T01:41:00Z,,53.00
2026-06-04T02:13:00Z,,52.00
2026-06-04T02:18:00Z,,52.00
2026-06-04T02:46:00Z,49.00,52.00
2026-06-04T02:47:00Z,49.00,52.00
2026-06-04T02:53:00Z,49.00,52.00
2026-06-04T02:54:00Z,49.00,52.00
2026-06-04T02:58:00Z,49.00,52.00
2026-06-04T03:04:00Z,49.00,52.00
2026-06-04T03:07:00Z,49.00,52.00
2026-06-04T03:12:00Z,49.00,52.00
2026-06-04T03:13:00Z,49.00,52.00
2026-06-04T03:14:00Z,49.00,52.00
2026-06-04T03:15:00Z,49.00,52.67
2026-06-04T03:16:00Z,49.00,52.00
2026-06-04T03:19:00Z,49.00,52.76
2026-06-04T03:20:00Z,49.00,53.50
2026-06-04T03:21:00Z,49.00,53.00
2026-06-04T03:23:00Z,49.00,54.00
2026-06-04T03:24:00Z,49.00,53.00
2026-06-04T03:27:00Z,49.00,53.00
2026-06-04T03:28:00Z,49.00,53.30
2026-06-04T03:29:00Z,49.00,54.70
2026-06-04T03:32:00Z,49.00,54.70
2026-06-04T03:34:00Z,49.00,54.00
2026-06-04T03:36:00Z,49.00,54.00
2026-06-04T03:37:00Z,47.00,54.00
2026-06-04T03:39:00Z,47.00,52.00
2026-06-04T03:41:00Z,47.00,51.72
2026-06-04T03:42:00Z,49.00,53.92
2026-06-04T03:43:00Z,49.00,54.32
2026-06-04T03:46:00Z,49.00,54.32
2026-06-04T03:47:00Z,49.00,54.32
2026-06-04T03:50:00Z,47.00,54.32
2026-06-04T03:51:00Z,49.00,54.32
2026-06-04T03:53:00Z,49.00,55.00
2026-06-04T03:54:00Z,49.00,55.00
2026-06-04T03:55:00Z,49.00,54.00
2026-06-04T03:56:00Z,49.00,54.56
2026-06-04T03:57:00Z,49.00,51.38
2026-06-04T03:58:00Z,49.00,51.00
2026-06-04T03:59:00Z,48.00,53.00
2026-06-04T04:00:00Z,48.00,53.09
2026-06-04T04:01:00Z,48.00,55.00
2026-06-04T04:02:00Z,48.00,54.00
2026-06-04T04:04:00Z,48.00,54.00
2026-06-04T04:05:00Z,49.00,54.00
2026-06-04T04:06:00Z,49.00,54.00
