# event_ticker=KXATPMATCH-26JUN08SAFMPE
# final_score=7-5 6-7(4) 7-6(4)
# score_resolution=7-5 6-7 7-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Roman Safiullin
# kalshi_date=2026-06-08
timestamp,Roman Safiullin,Giovanni Mpetshi Perricard
2026-06-08T21:44:00Z,90.03,
2026-06-08T21:45:00Z,90.44,10.00
2026-06-08T21:46:00Z,90.93,10.00
2026-06-08T21:47:00Z,90.90,10.00
2026-06-08T21:48:00Z,90.00,10.00
2026-06-08T21:49:00Z,90.87,9.17
2026-06-08T21:50:00Z,89.39,9.00
2026-06-08T21:51:00Z,90.94,9.14
2026-06-08T21:52:00Z,90.48,10.00
2026-06-08T21:53:00Z,90.43,9.95
2026-06-08T21:54:00Z,90.96,10.00
2026-06-08T21:55:00Z,90.02,9.00
2026-06-08T21:56:00Z,90.76,9.00
2026-06-08T21:57:00Z,90.11,10.00
2026-06-08T21:58:00Z,90.63,10.00
2026-06-08T21:59:00Z,90.37,10.00
2026-06-08T22:00:00Z,89.76,9.09
2026-06-08T22:01:00Z,91.00,10.00
2026-06-08T22:02:00Z,90.06,9.00
2026-06-08T22:03:00Z,90.44,10.00
2026-06-08T22:04:00Z,90.27,10.00
2026-06-08T22:05:00Z,90.05,10.00
2026-06-08T22:06:00Z,90.23,10.00
2026-06-08T22:07:00Z,90.37,10.00
2026-06-08T22:08:00Z,90.01,9.00
2026-06-08T22:09:00Z,90.03,9.00
2026-06-08T22:10:00Z,89.61,10.00
2026-06-08T22:11:00Z,89.16,9.45
2026-06-08T22:12:00Z,91.00,10.00
2026-06-08T22:13:00Z,91.00,9.69
2026-06-08T22:14:00Z,90.01,9.69
2026-06-08T22:15:00Z,90.46,9.81
2026-06-08T22:16:00Z,90.99,9.81
2026-06-08T22:17:00Z,90.01,9.00
2026-06-08T22:18:00Z,90.86,9.67
2026-06-08T22:19:00Z,90.08,10.00
2026-06-08T22:20:00Z,90.00,10.00
2026-06-08T22:21:00Z,90.68,9.00
2026-06-08T22:22:00Z,90.14,9.26
2026-06-08T22:23:00Z,90.11,10.00
2026-06-08T22:24:00Z,90.98,9.56
2026-06-08T22:25:00Z,90.00,10.00
2026-06-08T22:26:00Z,91.00,9.31
2026-06-08T22:27:00Z,90.03,9.00
2026-06-08T22:28:00Z,90.04,9.19
2026-06-08T22:29:00Z,90.18,9.19
2026-06-08T22:30:00Z,91.00,9.01
2026-06-08T22:31:00Z,90.00,9.99
2026-06-08T22:32:00Z,90.96,9.99
2026-06-08T22:33:00Z,90.00,9.77
2026-06-08T22:34:00Z,91.00,9.81
2026-06-08T22:35:00Z,90.89,9.81
2026-06-08T22:36:00Z,90.77,9.74
2026-06-08T22:37:00Z,90.36,10.00
2026-06-08T22:38:00Z,91.00,9.43
2026-06-08T22:39:00Z,90.10,10.00
2026-06-08T22:40:00Z,90.44,10.00
2026-06-08T22:41:00Z,90.00,10.00
2026-06-08T22:42:00Z,90.80,10.00
2026-06-08T22:43:00Z,90.00,10.00
2026-06-08T22:44:00Z,90.52,9.00
2026-06-08T22:45:00Z,90.00,10.00
2026-06-08T22:46:00Z,91.00,9.12
2026-06-08T22:47:00Z,90.05,9.36
2026-06-08T22:48:00Z,90.05,9.01
2026-06-08T22:49:00Z,90.00,9.27
2026-06-08T22:50:00Z,91.00,9.85
2026-06-08T22:51:00Z,90.00,10.00
2026-06-08T22:52:00Z,90.71,9.09
2026-06-08T22:53:00Z,90.73,9.42
2026-06-08T22:54:00Z,90.01,9.33
2026-06-08T22:55:00Z,91.00,9.07
2026-06-08T22:56:00Z,91.00,9.93
2026-06-08T22:57:00Z,90.02,9.05
2026-06-08T22:58:00Z,91.00,9.00
2026-06-08T22:59:00Z,90.56,10.00
2026-06-08T23:00:00Z,90.02,10.00
2026-06-08T23:01:00Z,91.00,9.85
2026-06-08T23:02:00Z,89.37,9.95
2026-06-08T23:03:00Z,91.00,9.65
2026-06-08T23:04:00Z,90.92,10.00
2026-06-08T23:05:00Z,89.50,9.60
2026-06-08T23:06:00Z,90.99,9.04
2026-06-08T23:07:00Z,91.00,9.98
2026-06-08T23:08:00Z,91.00,9.66
2026-06-08T23:09:00Z,90.90,9.97
2026-06-08T23:10:00Z,90.42,10.00
2026-06-08T23:11:00Z,90.43,10.00
2026-06-08T23:12:00Z,90.11,10.00
2026-06-08T23:13:00Z,91.00,9.89
2026-06-08T23:14:00Z,90.61,10.00
2026-06-08T23:15:00Z,90.00,10.00
2026-06-08T23:16:00Z,90.89,9.82
2026-06-08T23:17:00Z,90.04,9.20
2026-06-08T23:18:00Z,91.00,10.00
2026-06-08T23:19:00Z,90.79,9.79
2026-06-08T23:20:00Z,91.00,10.00
2026-06-08T23:21:00Z,91.00,10.00
2026-06-08T23:22:00Z,90.96,10.00
2026-06-08T23:23:00Z,90.98,9.47
2026-06-08T23:24:00Z,90.36,9.20
2026-06-08T23:25:00Z,90.36,9.31
2026-06-08T23:26:00Z,90.22,9.09
2026-06-08T23:27:00Z,90.55,10.00
2026-06-08T23:28:00Z,90.08,10.00
2026-06-08T23:29:00Z,90.22,10.00
2026-06-08T23:30:00Z,91.00,10.00
2026-06-08T23:31:00Z,90.09,10.00
2026-06-08T23:32:00Z,91.00,10.00
2026-06-08T23:33:00Z,90.31,9.27
2026-06-08T23:34:00Z,90.00,10.00
2026-06-08T23:35:00Z,90.00,9.46
2026-06-08T23:36:00Z,90.75,9.46
2026-06-08T23:37:00Z,90.17,10.00
2026-06-08T23:38:00Z,90.00,9.00
2026-06-08T23:39:00Z,90.42,10.00
2026-06-08T23:40:00Z,90.94,9.54
2026-06-08T23:41:00Z,90.38,9.96
2026-06-08T23:42:00Z,90.66,9.71
2026-06-08T23:43:00Z,91.00,10.00
2026-06-08T23:44:00Z,90.00,9.30
2026-06-08T23:45:00Z,90.05,10.00
2026-06-08T23:46:00Z,90.00,9.77
2026-06-08T23:47:00Z,91.00,9.77
2026-06-08T23:48:00Z,90.00,9.76
2026-06-08T23:49:00Z,90.00,9.76
2026-06-08T23:50:00Z,90.25,9.03
2026-06-08T23:51:00Z,90.78,9.94
2026-06-08T23:52:00Z,90.00,9.47
