# event_ticker=KXATPCHALLENGERMATCH-26MAY17CHOPIR
# final_score=7-6(5) 7-6(2)
# score_resolution=7-6 7-6
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Zsombor Piros
# kalshi_date=2026-05-17
timestamp,Jan Choinski,Zsombor Piros
2026-05-17T10:39:00Z,49.00,
2026-05-17T10:43:00Z,49.00,
2026-05-17T11:02:00Z,49.00,62.00
2026-05-17T11:07:00Z,49.00,65.00
2026-05-17T11:16:00Z,49.00,63.00
2026-05-17T11:39:00Z,38.00,63.00
2026-05-17T11:48:00Z,38.00,65.00
2026-05-17T11:50:00Z,38.00,65.00
2026-05-17T11:57:00Z,39.00,65.00
2026-05-17T11:58:00Z,39.00,65.00
2026-05-17T12:05:00Z,39.00,65.57
2026-05-17T12:06:00Z,38.00,65.57
2026-05-17T12:12:00Z,44.27,54.00
2026-05-17T12:13:00Z,44.27,56.00
2026-05-17T12:14:00Z,51.53,56.11
2026-05-17T12:15:00Z,37.00,64.77
2026-05-17T12:16:00Z,35.00,64.00
2026-05-17T12:17:00Z,38.53,64.00
2026-05-17T12:18:00Z,39.70,64.00
2026-05-17T12:20:00Z,40.00,64.00
2026-05-17T12:21:00Z,37.00,64.00
2026-05-17T12:22:00Z,37.00,66.00
2026-05-17T12:23:00Z,38.00,62.00
2026-05-17T12:24:00Z,38.78,61.50
2026-05-17T12:25:00Z,45.00,57.57
2026-05-17T12:26:00Z,41.51,60.35
2026-05-17T12:27:00Z,41.51,64.00
2026-05-17T12:28:00Z,37.00,64.00
2026-05-17T12:30:00Z,42.99,58.04
2026-05-17T12:31:00Z,42.99,60.00
2026-05-17T12:32:00Z,38.00,62.23
2026-05-17T12:33:00Z,38.00,62.00
2026-05-17T12:34:00Z,39.51,60.00
2026-05-17T12:35:00Z,39.30,60.00
2026-05-17T12:36:00Z,36.00,63.55
2026-05-17T12:37:00Z,40.56,63.15
2026-05-17T12:38:00Z,43.16,62.14
2026-05-17T12:39:00Z,34.34,66.00
2026-05-17T12:40:00Z,35.00,66.00
2026-05-17T12:41:00Z,37.08,67.04
2026-05-17T12:42:00Z,38.66,64.00
2026-05-17T12:43:00Z,39.52,61.00
2026-05-17T12:44:00Z,43.45,61.00
2026-05-17T12:45:00Z,44.26,59.04
2026-05-17T12:46:00Z,43.34,58.00
2026-05-17T12:47:00Z,40.14,59.08
2026-05-17T12:48:00Z,38.17,61.23
2026-05-17T12:49:00Z,38.00,61.23
2026-05-17T12:50:00Z,38.56,64.10
2026-05-17T12:51:00Z,38.00,66.00
2026-05-17T12:52:00Z,41.96,57.00
2026-05-17T12:53:00Z,39.00,57.32
2026-05-17T12:54:00Z,34.78,67.62
2026-05-17T12:55:00Z,32.12,65.27
2026-05-17T12:56:00Z,37.72,61.96
2026-05-17T12:57:00Z,44.77,57.00
2026-05-17T12:58:00Z,49.01,50.62
2026-05-17T12:59:00Z,55.95,44.18
2026-05-17T13:00:00Z,44.17,56.16
2026-05-17T13:01:00Z,53.85,46.78
2026-05-17T13:02:00Z,68.50,30.96
2026-05-17T13:03:00Z,68.50,31.00
2026-05-17T13:04:00Z,67.42,33.69
2026-05-17T13:05:00Z,71.26,32.18
2026-05-17T13:06:00Z,71.26,33.00
2026-05-17T13:07:00Z,65.95,35.70
2026-05-17T13:08:00Z,68.44,34.77
2026-05-17T13:09:00Z,66.24,33.00
2026-05-17T13:10:00Z,70.00,30.15
2026-05-17T13:11:00Z,73.31,29.72
2026-05-17T13:12:00Z,70.87,29.02
2026-05-17T13:13:00Z,71.00,31.80
2026-05-17T13:14:00Z,66.79,34.09
2026-05-17T13:15:00Z,63.05,39.17
2026-05-17T13:16:00Z,63.29,39.29
2026-05-17T13:17:00Z,65.19,35.59
2026-05-17T13:18:00Z,65.00,36.56
2026-05-17T13:19:00Z,67.81,33.02
2026-05-17T13:20:00Z,67.79,32.05
2026-05-17T13:21:00Z,67.79,33.07
2026-05-17T13:22:00Z,71.00,29.07
2026-05-17T13:23:00Z,70.77,30.51
2026-05-17T13:24:00Z,68.97,32.22
2026-05-17T13:25:00Z,69.42,31.78
2026-05-17T13:26:00Z,63.31,36.33
2026-05-17T13:27:00Z,62.42,39.70
2026-05-17T13:28:00Z,68.14,32.91
2026-05-17T13:29:00Z,70.00,30.59
2026-05-17T13:30:00Z,70.37,30.84
2026-05-17T13:31:00Z,79.00,25.02
2026-05-17T13:32:00Z,78.71,21.51
2026-05-17T13:33:00Z,71.33,31.99
2026-05-17T13:34:00Z,68.03,32.17
2026-05-17T13:35:00Z,67.49,32.00
2026-05-17T13:36:00Z,63.01,34.42
2026-05-17T13:37:00Z,61.60,39.07
2026-05-17T13:38:00Z,68.81,31.84
2026-05-17T13:39:00Z,67.19,32.20
2026-05-17T13:40:00Z,67.74,34.25
2026-05-17T13:41:00Z,68.30,35.31
2026-05-17T13:42:00Z,64.62,40.89
2026-05-17T13:43:00Z,49.13,48.33
2026-05-17T13:44:00Z,47.00,54.00
2026-05-17T13:45:00Z,49.07,51.91
2026-05-17T13:46:00Z,51.58,47.32
2026-05-17T13:47:00Z,59.14,45.68
2026-05-17T13:48:00Z,67.75,33.60
2026-05-17T13:49:00Z,68.50,36.51
2026-05-17T13:50:00Z,72.56,27.14
2026-05-17T13:51:00Z,74.98,25.91
2026-05-17T13:52:00Z,78.76,20.73
2026-05-17T13:53:00Z,86.40,12.89
2026-05-17T13:54:00Z,80.09,19.69
2026-05-17T13:55:00Z,77.19,24.02
2026-05-17T13:56:00Z,71.42,28.14
2026-05-17T13:57:00Z,68.90,33.26
2026-05-17T13:58:00Z,49.01,47.39
2026-05-17T13:59:00Z,46.99,55.24
2026-05-17T14:00:00Z,44.09,55.89
2026-05-17T14:01:00Z,49.26,54.71
2026-05-17T14:02:00Z,56.11,45.56
2026-05-17T14:03:00Z,57.59,44.03
2026-05-17T14:04:00Z,66.77,34.48
2026-05-17T14:05:00Z,73.97,26.50
2026-05-17T14:06:00Z,81.73,19.77
2026-05-17T14:07:00Z,86.90,12.37
2026-05-17T14:08:00Z,86.48,14.28
2026-05-17T14:09:00Z,96.07,12.70
2026-05-17T14:10:00Z,98.75,2.04
2026-05-17T14:11:00Z,99.00,2.04
2026-05-17T14:12:00Z,99.00,2.04
2026-05-17T14:13:00Z,99.00,2.04
