# event_ticker=KXATPCHALLENGERMATCH-26APR11BOLMCC
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Alex Bolt
# fav_player=Alex Bolt
# dog_player=James McCabe
# kalshi_date=2026-04-11
timestamp,Alex Bolt,James McCabe
2026-04-13T14:20:00Z,58.00,
2026-04-13T14:30:00Z,57.00,
2026-04-13T15:17:00Z,55.00,
2026-04-13T17:21:00Z,55.00,45.00
2026-04-13T17:24:00Z,56.00,45.00
2026-04-13T18:11:00Z,57.00,45.00
2026-04-13T18:35:00Z,57.00,45.00
2026-04-13T18:40:00Z,57.00,45.00
2026-04-13T19:15:00Z,57.00,45.00
2026-04-13T19:22:00Z,57.00,45.00
2026-04-13T19:23:00Z,57.00,45.00
2026-04-13T19:24:00Z,57.00,45.00
2026-04-13T19:27:00Z,57.00,45.00
2026-04-13T19:32:00Z,57.00,45.00
2026-04-13T19:43:00Z,57.00,45.00
2026-04-13T19:46:00Z,57.00,45.00
2026-04-13T19:48:00Z,57.00,45.00
2026-04-13T19:59:00Z,57.00,45.00
2026-04-13T20:03:00Z,55.00,45.00
2026-04-13T20:07:00Z,57.00,45.00
2026-04-13T20:08:00Z,57.00,45.00
2026-04-13T20:19:00Z,57.00,45.00
2026-04-13T20:31:00Z,57.00,45.00
2026-04-13T20:43:00Z,57.00,45.00
2026-04-13T20:49:00Z,57.00,45.00
2026-04-13T20:58:00Z,57.00,45.00
2026-04-13T20:59:00Z,57.00,45.00
2026-04-13T21:06:00Z,57.00,45.00
2026-04-13T21:15:00Z,57.00,45.00
2026-04-13T21:33:00Z,57.00,45.00
2026-04-13T21:34:00Z,57.00,45.00
2026-04-13T21:35:00Z,57.00,45.00
2026-04-13T21:57:00Z,57.00,45.00
2026-04-13T22:10:00Z,57.00,45.00
2026-04-13T22:19:00Z,57.00,45.00
2026-04-13T22:21:00Z,57.00,44.00
2026-04-13T22:33:00Z,57.00,44.00
2026-04-13T22:58:00Z,57.00,44.00
2026-04-13T23:03:00Z,55.00,44.00
2026-04-13T23:09:00Z,57.00,44.00
2026-04-13T23:14:00Z,57.00,44.00
2026-04-13T23:22:00Z,57.00,44.00
2026-04-13T23:52:00Z,57.00,44.00
2026-04-13T23:56:00Z,57.00,44.00
2026-04-13T23:58:00Z,57.00,44.00
2026-04-14T00:01:00Z,57.00,44.00
2026-04-14T00:03:00Z,57.00,44.00
2026-04-14T00:08:00Z,57.00,44.00
2026-04-14T00:09:00Z,57.00,44.00
2026-04-14T00:17:00Z,57.00,44.00
2026-04-14T00:28:00Z,57.00,44.00
2026-04-14T00:41:00Z,57.00,44.00
2026-04-14T00:46:00Z,57.00,44.00
2026-04-14T01:05:00Z,57.00,44.00
2026-04-14T01:06:00Z,57.00,44.00
2026-04-14T01:07:00Z,57.00,44.00
2026-04-14T01:08:00Z,57.00,44.00
2026-04-14T01:09:00Z,57.00,44.00
2026-04-14T01:10:00Z,57.00,44.00
2026-04-14T01:12:00Z,57.00,44.00
2026-04-14T01:20:00Z,57.00,44.67
2026-04-14T01:27:00Z,57.00,44.67
2026-04-14T01:28:00Z,57.00,44.67
2026-04-14T01:30:00Z,57.00,44.67
2026-04-14T01:31:00Z,57.00,44.67
2026-04-14T01:36:00Z,57.00,45.00
