# event_ticker=KXATPCHALLENGERMATCH-26APR28GADDUR
# final_score=6-3 6-2
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Viktor Durasovic
# kalshi_date=2026-04-28
timestamp,Buvaysar Gadamauri,Viktor Durasovic
2026-04-28T03:30:00Z,71.00,
2026-04-28T05:29:00Z,71.00,
2026-04-28T05:50:00Z,71.00,29.00
2026-04-28T06:31:00Z,71.00,31.00
2026-04-28T06:45:00Z,71.00,31.00
2026-04-28T07:56:00Z,71.00,31.00
2026-04-28T08:29:00Z,71.00,31.00
2026-04-28T10:14:00Z,71.00,30.00
2026-04-28T11:12:00Z,73.00,30.00
2026-04-28T11:16:00Z,73.00,30.00
2026-04-28T11:26:00Z,73.00,30.52
2026-04-28T11:32:00Z,73.00,27.00
2026-04-28T11:33:00Z,73.00,25.00
2026-04-28T11:34:00Z,75.00,24.63
2026-04-28T11:35:00Z,75.00,28.00
2026-04-28T11:36:00Z,70.71,30.50
2026-04-28T11:37:00Z,70.71,32.00
2026-04-28T11:38:00Z,66.00,34.00
2026-04-28T11:40:00Z,65.00,34.91
2026-04-28T11:41:00Z,67.00,33.00
2026-04-28T11:42:00Z,65.08,34.92
2026-04-28T11:43:00Z,64.60,34.92
2026-04-28T11:44:00Z,67.00,34.92
2026-04-28T11:45:00Z,67.00,33.00
2026-04-28T11:46:00Z,67.00,33.00
2026-04-28T11:48:00Z,67.00,32.00
2026-04-28T11:49:00Z,69.00,32.00
2026-04-28T11:52:00Z,68.87,32.00
2026-04-28T11:54:00Z,68.87,34.00
2026-04-28T11:56:00Z,68.00,34.00
2026-04-28T11:57:00Z,68.00,33.00
2026-04-28T11:58:00Z,70.00,29.62
2026-04-28T11:59:00Z,68.55,31.00
2026-04-28T12:00:00Z,71.38,27.35
2026-04-28T12:01:00Z,72.00,27.79
2026-04-28T12:02:00Z,72.00,28.18
2026-04-28T12:03:00Z,66.02,28.18
2026-04-28T12:05:00Z,66.02,34.90
2026-04-28T12:06:00Z,60.72,38.09
2026-04-28T12:07:00Z,66.55,33.00
2026-04-28T12:08:00Z,66.55,32.85
2026-04-28T12:09:00Z,69.89,30.00
2026-04-28T12:11:00Z,69.89,25.74
2026-04-28T12:12:00Z,70.00,30.21
2026-04-28T12:13:00Z,74.96,25.00
2026-04-28T12:14:00Z,78.17,18.13
2026-04-28T12:15:00Z,84.00,18.13
2026-04-28T12:16:00Z,83.00,16.44
2026-04-28T12:18:00Z,87.28,14.83
2026-04-28T12:20:00Z,87.00,14.83
2026-04-28T12:21:00Z,87.88,14.00
2026-04-28T12:23:00Z,92.23,11.00
2026-04-28T12:24:00Z,94.00,8.00
2026-04-28T12:25:00Z,94.51,5.00
2026-04-28T12:26:00Z,95.23,5.24
2026-04-28T12:27:00Z,93.96,7.00
2026-04-28T12:28:00Z,96.00,6.00
2026-04-28T12:29:00Z,97.00,4.70
2026-04-28T12:30:00Z,97.00,4.00
2026-04-28T12:31:00Z,96.03,4.00
2026-04-28T12:32:00Z,97.00,3.34
2026-04-28T12:33:00Z,97.00,5.00
2026-04-28T12:34:00Z,97.00,5.30
2026-04-28T12:35:00Z,94.00,6.00
2026-04-28T12:36:00Z,94.00,4.24
2026-04-28T12:37:00Z,95.12,4.24
2026-04-28T12:39:00Z,97.00,4.24
2026-04-28T12:40:00Z,98.25,2.00
2026-04-28T12:41:00Z,98.25,1.00
2026-04-28T12:44:00Z,98.00,1.00
2026-04-28T12:45:00Z,98.00,1.00
2026-04-28T12:47:00Z,99.00,2.00
2026-04-28T12:49:00Z,99.00,2.00
2026-04-28T12:50:00Z,99.00,1.00
2026-04-28T12:51:00Z,99.00,1.00
2026-04-28T12:53:00Z,99.00,1.00
