# event_ticker=KXATPCHALLENGERMATCH-26MAR20RONREI
# final_score=4-6 6-1 6-2
# score_resolution=6-4 1-6 2-6
# match_winner=Franco Roncadelli
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Franco Roncadelli
# kalshi_date=2026-03-20
timestamp,Joao Lucas Reis Da Silva,Franco Roncadelli
2026-03-20T12:44:00Z,,42.00
2026-03-20T13:07:00Z,,42.00
2026-03-20T13:08:00Z,,42.00
2026-03-20T14:59:00Z,60.00,42.00
2026-03-20T15:07:00Z,60.00,42.00
2026-03-20T15:11:00Z,60.00,42.00
2026-03-20T15:12:00Z,60.00,42.00
2026-03-20T15:15:00Z,60.00,42.00
2026-03-20T16:49:00Z,58.00,42.00
2026-03-20T17:24:00Z,60.00,42.00
2026-03-20T17:32:00Z,60.00,42.00
2026-03-20T18:41:00Z,59.00,42.00
2026-03-20T18:47:00Z,59.00,42.00
2026-03-20T21:42:00Z,59.00,42.00
2026-03-20T21:45:00Z,59.00,42.00
2026-03-20T21:49:00Z,59.00,42.00
2026-03-20T21:51:00Z,59.00,42.00
2026-03-20T22:02:00Z,59.88,42.00
2026-03-20T22:03:00Z,59.88,42.09
2026-03-20T22:18:00Z,59.97,42.09
2026-03-20T22:21:00Z,59.00,42.09
2026-03-20T22:33:00Z,59.00,42.00
2026-03-20T22:36:00Z,59.00,42.00
2026-03-20T22:51:00Z,60.00,42.00
2026-03-20T22:58:00Z,59.00,42.00
2026-03-20T23:05:00Z,59.00,41.00
2026-03-20T23:06:00Z,64.01,40.00
2026-03-20T23:07:00Z,70.72,31.00
2026-03-20T23:08:00Z,70.72,33.74
2026-03-20T23:09:00Z,58.10,44.42
2026-03-20T23:10:00Z,57.72,41.00
2026-03-20T23:11:00Z,61.23,39.85
2026-03-20T23:12:00Z,56.54,43.44
2026-03-20T23:13:00Z,55.83,43.44
2026-03-20T23:14:00Z,52.38,47.36
2026-03-20T23:15:00Z,45.68,52.76
2026-03-20T23:16:00Z,47.53,52.76
2026-03-20T23:17:00Z,51.76,53.00
2026-03-20T23:18:00Z,55.73,46.86
2026-03-20T23:19:00Z,61.00,39.00
2026-03-20T23:20:00Z,56.75,43.00
2026-03-20T23:21:00Z,52.00,43.00
2026-03-20T23:22:00Z,50.95,43.00
2026-03-20T23:23:00Z,53.01,49.00
2026-03-20T23:24:00Z,55.00,49.00
2026-03-20T23:25:00Z,56.00,43.53
2026-03-20T23:26:00Z,57.00,45.00
2026-03-20T23:27:00Z,52.03,45.00
2026-03-20T23:28:00Z,55.05,42.00
2026-03-20T23:29:00Z,55.05,47.00
2026-03-20T23:30:00Z,52.00,47.00
2026-03-20T23:31:00Z,52.00,49.00
2026-03-20T23:32:00Z,51.62,47.00
2026-03-20T23:33:00Z,51.61,48.74
2026-03-20T23:34:00Z,40.96,57.74
2026-03-20T23:35:00Z,37.95,64.49
2026-03-20T23:36:00Z,33.85,64.00
2026-03-20T23:37:00Z,43.00,59.17
2026-03-20T23:38:00Z,44.06,58.90
2026-03-20T23:39:00Z,40.46,62.18
2026-03-20T23:40:00Z,38.00,62.18
2026-03-20T23:41:00Z,47.08,52.68
2026-03-20T23:42:00Z,50.00,50.00
2026-03-20T23:43:00Z,51.96,53.00
2026-03-20T23:44:00Z,40.57,57.01
2026-03-20T23:45:00Z,49.00,57.01
2026-03-20T23:46:00Z,52.64,47.26
2026-03-20T23:47:00Z,46.15,53.71
2026-03-20T23:48:00Z,47.00,54.55
2026-03-20T23:49:00Z,41.08,56.43
2026-03-20T23:50:00Z,46.62,54.75
2026-03-20T23:51:00Z,46.62,54.97
2026-03-20T23:52:00Z,53.77,53.21
2026-03-20T23:53:00Z,62.68,42.04
2026-03-20T23:54:00Z,67.88,30.32
2026-03-20T23:55:00Z,66.09,32.49
2026-03-20T23:56:00Z,60.86,43.83
2026-03-20T23:57:00Z,51.49,51.98
2026-03-20T23:58:00Z,61.58,40.81
2026-03-20T23:59:00Z,59.55,39.78
2026-03-21T00:00:00Z,67.59,32.74
2026-03-21T00:01:00Z,71.73,28.93
2026-03-21T00:02:00Z,72.36,25.01
2026-03-21T00:03:00Z,72.05,26.36
2026-03-21T00:04:00Z,70.25,29.69
2026-03-21T00:05:00Z,77.38,24.63
2026-03-21T00:06:00Z,79.00,22.71
2026-03-21T00:07:00Z,78.00,22.71
2026-03-21T00:08:00Z,77.48,23.00
2026-03-21T00:09:00Z,77.31,23.00
2026-03-21T00:10:00Z,77.00,23.00
2026-03-21T00:11:00Z,77.00,23.00
2026-03-21T00:13:00Z,77.00,21.19
2026-03-21T00:15:00Z,77.00,22.00
2026-03-21T00:16:00Z,78.00,22.00
2026-03-21T00:17:00Z,74.00,24.99
2026-03-21T00:18:00Z,75.09,25.00
2026-03-21T00:19:00Z,75.09,23.28
2026-03-21T00:20:00Z,75.00,25.57
2026-03-21T00:21:00Z,74.47,25.09
2026-03-21T00:22:00Z,76.00,25.09
2026-03-21T00:23:00Z,76.00,22.94
2026-03-21T00:24:00Z,77.66,22.94
2026-03-21T00:25:00Z,73.00,24.18
2026-03-21T00:26:00Z,69.85,32.40
2026-03-21T00:27:00Z,61.04,38.02
2026-03-21T00:28:00Z,58.00,42.87
2026-03-21T00:29:00Z,55.00,42.87
2026-03-21T00:30:00Z,56.00,42.87
2026-03-21T00:31:00Z,49.03,46.93
2026-03-21T00:32:00Z,45.37,53.00
2026-03-21T00:33:00Z,45.76,52.47
2026-03-21T00:34:00Z,46.05,54.00
2026-03-21T00:35:00Z,44.37,57.00
2026-03-21T00:37:00Z,44.37,58.00
2026-03-21T00:38:00Z,42.00,59.00
2026-03-21T00:39:00Z,43.76,58.85
2026-03-21T00:40:00Z,42.72,58.85
2026-03-21T00:41:00Z,42.00,58.00
2026-03-21T00:42:00Z,41.07,59.00
2026-03-21T00:43:00Z,41.00,59.53
2026-03-21T00:44:00Z,41.00,59.18
2026-03-21T00:45:00Z,38.67,61.78
2026-03-21T00:46:00Z,48.98,55.12
2026-03-21T00:47:00Z,48.00,52.70
2026-03-21T00:48:00Z,53.85,46.85
2026-03-21T00:49:00Z,51.00,50.27
2026-03-21T00:50:00Z,51.00,57.96
2026-03-21T00:51:00Z,43.54,58.46
2026-03-21T00:52:00Z,45.58,51.28
2026-03-21T00:53:00Z,46.53,59.95
2026-03-21T00:54:00Z,33.87,66.05
2026-03-21T00:55:00Z,38.50,68.90
2026-03-21T00:56:00Z,37.81,68.38
2026-03-21T00:57:00Z,21.32,79.57
2026-03-21T00:58:00Z,19.95,78.60
2026-03-21T00:59:00Z,16.35,81.82
2026-03-21T01:00:00Z,13.77,85.63
2026-03-21T01:01:00Z,20.19,86.12
2026-03-21T01:02:00Z,28.43,75.11
2026-03-21T01:03:00Z,31.61,66.28
2026-03-21T01:04:00Z,19.01,79.73
2026-03-21T01:05:00Z,20.22,81.80
2026-03-21T01:06:00Z,16.29,81.64
2026-03-21T01:07:00Z,17.00,79.59
2026-03-21T01:08:00Z,22.00,78.00
2026-03-21T01:09:00Z,26.85,75.80
2026-03-21T01:10:00Z,24.33,78.75
2026-03-21T01:11:00Z,17.85,85.76
2026-03-21T01:12:00Z,14.42,88.29
2026-03-21T01:13:00Z,9.98,91.47
2026-03-21T01:14:00Z,4.64,96.35
2026-03-21T01:15:00Z,2.02,97.69
2026-03-21T01:16:00Z,2.83,98.20
2026-03-21T01:17:00Z,2.74,97.39
2026-03-21T01:18:00Z,4.40,97.00
