# event_ticker=KXATPMATCH-26JAN07WONDIA
# final_score=1-6 7-5 7-5
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Gabriel Diallo
# kalshi_date=2026-01-07
timestamp,Coleman Wong,Gabriel Diallo
2026-01-06T21:58:00Z,,63.00
2026-01-06T22:32:00Z,,63.00
2026-01-06T22:39:00Z,,63.00
2026-01-06T22:41:00Z,,63.00
2026-01-06T23:52:00Z,37.00,63.00
2026-01-07T00:02:00Z,37.00,63.00
2026-01-07T00:23:00Z,37.00,63.00
2026-01-07T00:26:00Z,37.00,63.00
2026-01-07T00:40:00Z,37.00,63.00
2026-01-07T00:51:00Z,37.00,63.00
2026-01-07T01:16:00Z,37.00,63.00
2026-01-07T01:25:00Z,37.00,63.00
2026-01-07T01:27:00Z,37.00,63.00
2026-01-07T01:29:00Z,37.00,63.00
2026-01-07T02:26:00Z,37.00,63.00
2026-01-07T02:41:00Z,37.00,63.00
2026-01-07T02:42:00Z,37.00,63.00
2026-01-07T02:55:00Z,37.00,63.59
2026-01-07T03:08:00Z,37.00,63.59
2026-01-07T03:09:00Z,37.00,63.59
2026-01-07T03:28:00Z,37.00,64.00
2026-01-07T03:40:00Z,37.00,64.00
2026-01-07T03:44:00Z,37.00,64.00
2026-01-07T03:54:00Z,37.00,64.00
2026-01-07T03:57:00Z,37.00,63.00
2026-01-07T03:59:00Z,37.00,63.00
2026-01-07T04:03:00Z,37.00,63.00
2026-01-07T04:20:00Z,37.00,63.00
2026-01-07T04:31:00Z,37.00,63.00
2026-01-07T04:33:00Z,37.00,63.00
2026-01-07T04:39:00Z,37.00,63.00
2026-01-07T04:42:00Z,37.00,63.20
2026-01-07T04:45:00Z,37.00,63.20
2026-01-07T04:53:00Z,37.00,63.00
2026-01-07T04:55:00Z,37.00,63.00
2026-01-07T04:56:00Z,37.00,63.00
2026-01-07T05:00:00Z,37.00,64.00
2026-01-07T05:12:00Z,37.00,64.00
2026-01-07T05:15:00Z,37.00,64.00
2026-01-07T05:20:00Z,37.00,64.00
2026-01-07T05:25:00Z,37.00,64.00
2026-01-07T05:29:00Z,37.00,64.00
2026-01-07T05:33:00Z,37.00,64.00
2026-01-07T05:39:00Z,37.00,64.00
2026-01-07T05:40:00Z,37.00,64.00
2026-01-07T05:46:00Z,37.00,64.00
2026-01-07T05:52:00Z,37.00,64.00
2026-01-07T05:53:00Z,37.00,64.00
