# event_ticker=KXATPMATCH-26FEB18BERLAJ
# final_score=3-6 6-4 6-2
# score_resolution=6-3 4-6 2-6
# match_winner=Matteo Berrettini
# fav_player=Dusan Lajovic
# dog_player=Matteo Berrettini
# kalshi_date=2026-02-18
timestamp,Dusan Lajovic,Matteo Berrettini
2026-02-19T13:30:00Z,,71.00
2026-02-19T13:53:00Z,,71.00
2026-02-19T13:54:00Z,,71.00
2026-02-19T13:56:00Z,,71.99
2026-02-19T14:07:00Z,,72.00
2026-02-19T14:08:00Z,,71.00
2026-02-19T14:24:00Z,30.00,71.00
2026-02-19T14:29:00Z,30.00,72.00
2026-02-19T14:43:00Z,30.00,72.00
2026-02-19T15:00:00Z,30.00,72.00
2026-02-19T15:08:00Z,30.00,72.00
2026-02-19T15:11:00Z,30.00,72.00
2026-02-19T15:14:00Z,30.00,72.00
2026-02-19T15:18:00Z,30.00,71.00
2026-02-19T15:23:00Z,30.00,72.00
2026-02-19T15:26:00Z,30.00,72.00
2026-02-19T15:33:00Z,30.00,72.00
2026-02-19T15:34:00Z,30.00,71.00
2026-02-19T15:36:00Z,30.00,72.00
2026-02-19T15:39:00Z,30.00,72.00
2026-02-19T15:40:00Z,30.00,72.00
2026-02-19T15:47:00Z,30.00,71.00
2026-02-19T16:00:00Z,30.00,72.00
2026-02-19T16:03:00Z,30.00,72.00
2026-02-19T16:08:00Z,30.00,72.00
2026-02-19T16:16:00Z,30.00,72.00
2026-02-19T16:20:00Z,30.00,72.00
2026-02-19T16:33:00Z,30.00,72.00
2026-02-19T16:37:00Z,30.00,72.00
2026-02-19T16:38:00Z,30.00,72.00
2026-02-19T16:48:00Z,30.00,72.00
2026-02-19T16:51:00Z,30.00,72.00
2026-02-19T17:35:00Z,30.00,73.00
2026-02-19T17:38:00Z,30.00,73.00
2026-02-19T17:41:00Z,29.00,73.00
2026-02-19T17:45:00Z,29.00,73.00
2026-02-19T17:50:00Z,29.00,73.00
2026-02-19T17:54:00Z,29.00,71.00
2026-02-19T17:59:00Z,29.00,71.00
2026-02-19T18:04:00Z,29.00,73.00
