# event_ticker=KXATPCHALLENGERMATCH-26APR09CASDIA
# final_score=5-2 RET
# match_winner=Hernan Casanova
# fav_player=Facundo Diaz Acosta
# dog_player=Hernan Casanova
# kalshi_date=2026-04-09
timestamp,Facundo Diaz Acosta,Hernan Casanova
2026-04-09T05:14:00Z,,19.00
2026-04-09T05:17:00Z,,19.00
2026-04-09T05:26:00Z,83.00,19.00
2026-04-09T05:30:00Z,83.00,19.00
2026-04-09T05:33:00Z,83.00,19.00
2026-04-09T05:35:00Z,83.00,19.00
2026-04-09T06:02:00Z,84.00,19.00
2026-04-09T06:13:00Z,84.00,19.00
2026-04-09T06:40:00Z,84.00,19.00
2026-04-09T06:44:00Z,84.00,19.00
2026-04-09T06:52:00Z,84.00,19.00
2026-04-09T07:00:00Z,84.00,19.00
2026-04-09T09:11:00Z,84.00,19.00
2026-04-09T09:37:00Z,84.00,19.00
2026-04-09T10:17:00Z,84.00,19.00
2026-04-09T10:30:00Z,84.00,19.00
2026-04-09T10:34:00Z,84.00,19.00
2026-04-09T11:24:00Z,84.00,19.00
2026-04-09T11:36:00Z,84.00,19.00
2026-04-09T11:39:00Z,84.00,19.00
2026-04-09T11:41:00Z,84.00,19.00
2026-04-09T11:42:00Z,84.00,19.00
2026-04-09T11:49:00Z,84.00,19.00
2026-04-09T12:04:00Z,84.00,19.00
2026-04-09T12:47:00Z,84.00,19.00
2026-04-09T12:52:00Z,84.00,19.00
2026-04-09T12:58:00Z,84.00,19.00
2026-04-09T13:13:00Z,84.00,19.00
2026-04-09T13:15:00Z,84.00,19.00
2026-04-09T13:17:00Z,84.00,19.00
2026-04-09T13:24:00Z,84.00,19.00
2026-04-09T13:27:00Z,84.00,19.00
2026-04-09T13:29:00Z,84.00,19.00
2026-04-09T13:32:00Z,84.00,19.00
2026-04-09T13:37:00Z,84.00,19.00
2026-04-09T13:48:00Z,84.00,19.00
2026-04-09T14:01:00Z,84.00,19.00
2026-04-09T14:03:00Z,84.00,19.00
2026-04-09T14:11:00Z,84.00,19.00
2026-04-09T14:20:00Z,84.00,19.00
2026-04-09T14:38:00Z,84.00,19.00
2026-04-09T14:40:00Z,84.00,19.00
2026-04-09T14:44:00Z,84.00,19.00
2026-04-09T14:48:00Z,84.00,19.00
2026-04-09T14:52:00Z,83.00,19.00
