# event_ticker=KXATPMATCH-26APR22BUSMAN
# final_score=6-4 6-2
# match_winner=Ignacio Buse
# fav_player=Ignacio Buse
# dog_player=Adrian Mannarino
# kalshi_date=2026-04-22
timestamp,Ignacio Buse,Adrian Mannarino
2026-04-21T22:39:00Z,84.00,
2026-04-21T22:44:00Z,84.00,18.00
2026-04-21T23:07:00Z,84.00,18.00
2026-04-21T23:13:00Z,84.00,18.00
2026-04-21T23:18:00Z,84.00,18.00
2026-04-21T23:41:00Z,84.00,18.00
2026-04-22T00:22:00Z,84.00,18.00
2026-04-22T00:55:00Z,84.00,17.00
2026-04-22T01:27:00Z,84.00,17.00
2026-04-22T01:37:00Z,85.00,17.00
2026-04-22T01:48:00Z,85.00,16.00
2026-04-22T01:58:00Z,85.00,16.00
2026-04-22T01:59:00Z,85.00,16.00
2026-04-22T02:06:00Z,85.00,16.00
2026-04-22T02:14:00Z,85.00,16.00
2026-04-22T02:16:00Z,85.00,16.00
2026-04-22T02:20:00Z,85.00,16.00
2026-04-22T02:22:00Z,85.00,16.00
2026-04-22T02:29:00Z,85.00,16.00
2026-04-22T02:31:00Z,85.00,16.00
2026-04-22T02:33:00Z,85.00,16.00
2026-04-22T02:34:00Z,85.00,16.00
2026-04-22T02:49:00Z,85.00,16.00
2026-04-22T02:50:00Z,85.00,16.00
2026-04-22T02:53:00Z,85.00,16.00
2026-04-22T02:54:00Z,85.00,16.00
2026-04-22T03:00:00Z,85.00,16.00
2026-04-22T03:01:00Z,85.00,16.00
2026-04-22T03:04:00Z,85.00,16.00
2026-04-22T03:10:00Z,85.00,16.00
2026-04-22T03:12:00Z,85.00,16.00
2026-04-22T03:16:00Z,85.00,16.00
2026-04-22T03:18:00Z,85.00,16.00
2026-04-22T03:34:00Z,85.00,16.00
2026-04-22T03:38:00Z,85.00,16.00
2026-04-22T03:40:00Z,85.00,16.00
2026-04-22T03:41:00Z,85.00,16.00
2026-04-22T03:42:00Z,85.00,16.00
2026-04-22T03:48:00Z,85.00,16.00
2026-04-22T03:53:00Z,85.00,16.00
2026-04-22T04:03:00Z,85.00,15.00
2026-04-22T04:13:00Z,85.00,15.00
2026-04-22T04:15:00Z,85.00,16.00
2026-04-22T04:17:00Z,85.00,16.00
2026-04-22T04:21:00Z,85.00,16.00
2026-04-22T04:26:00Z,85.00,16.00
2026-04-22T04:36:00Z,85.00,16.00
2026-04-22T04:44:00Z,85.00,16.00
2026-04-22T04:45:00Z,85.00,16.00
2026-04-22T04:46:00Z,85.00,16.00
2026-04-22T04:49:00Z,85.00,16.00
2026-04-22T05:14:00Z,85.00,16.00
2026-04-22T05:17:00Z,85.00,16.00
2026-04-22T05:19:00Z,85.00,16.00
2026-04-22T05:27:00Z,85.00,16.00
2026-04-22T05:35:00Z,85.00,16.00
2026-04-22T05:36:00Z,85.00,17.00
2026-04-22T05:37:00Z,85.00,17.00
2026-04-22T05:38:00Z,85.00,17.00
2026-04-22T05:41:00Z,85.00,17.00
2026-04-22T05:44:00Z,85.00,17.00
2026-04-22T05:46:00Z,85.00,17.00
2026-04-22T05:47:00Z,85.00,17.00
2026-04-22T05:50:00Z,85.00,16.24
2026-04-22T05:54:00Z,85.00,17.00
2026-04-22T06:07:00Z,85.00,17.00
2026-04-22T06:10:00Z,85.00,17.00
