# event_ticker=KXATPCHALLENGERMATCH-26MAY19COMTUL
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Tommaso Compagnucci
# fav_player=Li Tu
# dog_player=Tommaso Compagnucci
# kalshi_date=2026-05-19
timestamp,Tommaso Compagnucci,Li Tu
2026-05-19T00:55:00Z,59.00,
2026-05-19T01:04:00Z,59.00,42.00
2026-05-19T01:18:00Z,59.00,42.00
2026-05-19T04:22:00Z,59.00,42.00
2026-05-19T05:28:00Z,59.00,41.71
2026-05-19T06:02:00Z,59.00,41.51
2026-05-19T08:12:00Z,59.00,42.00
2026-05-19T08:30:00Z,59.00,41.00
2026-05-19T08:37:00Z,59.00,40.01
2026-05-19T09:54:00Z,60.00,40.01
2026-05-19T11:33:00Z,60.00,40.01
2026-05-19T11:34:00Z,60.00,42.00
2026-05-19T11:48:00Z,60.00,42.00
2026-05-19T12:02:00Z,56.00,46.23
2026-05-19T12:06:00Z,56.00,43.00
2026-05-19T12:10:00Z,57.32,43.00
2026-05-19T12:12:00Z,60.82,43.00
2026-05-19T12:15:00Z,58.09,42.00
2026-05-19T12:17:00Z,63.00,42.00
2026-05-19T12:18:00Z,71.00,34.91
2026-05-19T12:19:00Z,84.00,39.40
2026-05-19T12:21:00Z,74.00,25.00
2026-05-19T12:22:00Z,70.91,25.00
2026-05-19T12:26:00Z,59.95,42.00
2026-05-19T12:27:00Z,59.95,42.00
2026-05-19T12:28:00Z,59.95,41.00
2026-05-19T12:29:00Z,58.00,41.00
2026-05-19T12:30:00Z,57.00,41.00
2026-05-19T12:31:00Z,58.00,41.00
2026-05-19T12:32:00Z,58.00,43.00
2026-05-19T12:33:00Z,57.00,43.00
2026-05-19T12:34:00Z,59.53,43.00
2026-05-19T12:35:00Z,59.00,43.00
2026-05-19T12:39:00Z,59.00,46.00
2026-05-19T12:40:00Z,59.00,50.73
2026-05-19T12:41:00Z,49.03,50.00
2026-05-19T12:42:00Z,49.00,52.00
2026-05-19T12:43:00Z,49.00,53.00
2026-05-19T12:44:00Z,53.00,53.00
2026-05-19T12:45:00Z,54.00,49.00
2026-05-19T12:46:00Z,52.05,48.00
2026-05-19T12:47:00Z,52.05,49.00
2026-05-19T12:48:00Z,55.00,49.00
2026-05-19T12:50:00Z,60.75,40.00
2026-05-19T12:51:00Z,73.41,24.53
2026-05-19T12:52:00Z,73.41,25.00
2026-05-19T12:53:00Z,71.26,34.00
2026-05-19T12:54:00Z,62.00,34.00
2026-05-19T12:55:00Z,70.06,29.86
2026-05-19T12:56:00Z,70.06,26.01
2026-05-19T12:57:00Z,80.00,23.00
2026-05-19T12:58:00Z,82.01,23.00
2026-05-19T12:59:00Z,82.01,31.52
2026-05-19T13:01:00Z,81.00,31.52
2026-05-19T13:03:00Z,76.00,31.52
2026-05-19T13:04:00Z,77.06,24.00
2026-05-19T13:05:00Z,81.00,21.00
2026-05-19T13:06:00Z,81.00,21.00
2026-05-19T13:07:00Z,80.30,20.00
2026-05-19T13:08:00Z,89.93,14.35
2026-05-19T13:09:00Z,92.05,8.05
2026-05-19T13:10:00Z,93.02,6.99
2026-05-19T13:11:00Z,95.00,6.99
2026-05-19T13:12:00Z,95.00,6.00
2026-05-19T13:13:00Z,95.00,5.54
2026-05-19T13:14:00Z,94.08,6.00
2026-05-19T13:15:00Z,94.00,8.00
2026-05-19T13:16:00Z,94.34,8.00
2026-05-19T13:17:00Z,91.62,9.21
2026-05-19T13:18:00Z,94.98,5.00
2026-05-19T13:19:00Z,96.00,4.00
2026-05-19T13:20:00Z,96.00,4.00
2026-05-19T13:21:00Z,97.00,4.00
2026-05-19T13:22:00Z,95.05,5.03
2026-05-19T13:23:00Z,96.00,5.03
2026-05-19T13:24:00Z,95.51,6.00
2026-05-19T13:25:00Z,95.00,6.00
2026-05-19T13:26:00Z,95.00,5.92
2026-05-19T13:27:00Z,94.21,5.96
2026-05-19T13:28:00Z,96.09,4.52
2026-05-19T13:29:00Z,98.00,2.11
2026-05-19T13:30:00Z,98.00,2.29
2026-05-19T13:31:00Z,98.90,2.72
2026-05-19T13:32:00Z,97.00,3.72
2026-05-19T13:33:00Z,97.00,4.00
2026-05-19T13:34:00Z,97.00,3.01
2026-05-19T13:35:00Z,99.00,1.06
