# event_ticker=KXATPCHALLENGERMATCH-26APR16ZINKRU
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Tyler Zink
# fav_player=Mitchell Krueger
# dog_player=Tyler Zink
# kalshi_date=2026-04-16
timestamp,Mitchell Krueger,Tyler Zink
2026-04-16T05:00:00Z,,46.00
2026-04-16T05:10:00Z,59.27,46.00
2026-04-16T05:29:00Z,59.27,40.00
2026-04-16T05:31:00Z,62.00,40.00
2026-04-16T05:40:00Z,62.00,40.58
2026-04-16T06:29:00Z,60.00,40.58
2026-04-16T06:30:00Z,60.00,40.58
2026-04-16T06:49:00Z,59.00,40.58
2026-04-16T06:54:00Z,59.00,40.58
2026-04-16T09:45:00Z,59.00,41.00
2026-04-16T09:49:00Z,60.00,41.00
2026-04-16T10:20:00Z,60.00,41.00
2026-04-16T10:22:00Z,60.00,41.00
2026-04-16T10:38:00Z,60.00,41.00
2026-04-16T10:42:00Z,60.00,41.00
2026-04-16T10:50:00Z,60.00,41.00
2026-04-16T11:06:00Z,60.00,41.00
2026-04-16T11:15:00Z,60.00,41.00
2026-04-16T11:37:00Z,60.00,41.00
2026-04-16T11:45:00Z,59.00,41.00
2026-04-16T12:00:00Z,59.00,41.27
2026-04-16T12:08:00Z,59.00,42.00
2026-04-16T12:27:00Z,59.00,42.00
2026-04-16T12:36:00Z,59.00,42.00
2026-04-16T12:43:00Z,59.00,42.00
2026-04-16T13:00:00Z,59.00,42.00
2026-04-16T13:16:00Z,60.20,42.00
2026-04-16T13:18:00Z,60.00,42.00
2026-04-16T13:19:00Z,60.00,42.00
2026-04-16T13:21:00Z,60.00,42.00
2026-04-16T13:36:00Z,60.00,42.00
2026-04-16T13:37:00Z,60.00,41.00
2026-04-16T13:38:00Z,60.00,41.00
2026-04-16T13:41:00Z,60.00,41.00
2026-04-16T13:55:00Z,60.00,41.00
2026-04-16T13:57:00Z,60.00,41.00
2026-04-16T14:06:00Z,60.00,42.00
2026-04-16T14:07:00Z,60.00,41.00
2026-04-16T14:08:00Z,60.00,41.00
2026-04-16T14:24:00Z,60.00,41.00
2026-04-16T14:27:00Z,60.00,41.00
2026-04-16T14:29:00Z,60.00,41.00
