# event_ticker=KXATPCHALLENGERMATCH-26MAR11MARCLA
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Andrej Martin
# fav_player=Andrej Martin
# dog_player=Jay Clarke
# kalshi_date=2026-03-11
timestamp,Andrej Martin,Jay Clarke
2026-03-11T02:57:00Z,,66.00
2026-03-11T03:29:00Z,34.00,66.00
2026-03-11T03:30:00Z,34.00,65.00
2026-03-11T04:39:00Z,34.00,64.00
2026-03-11T05:03:00Z,34.00,64.00
2026-03-11T05:14:00Z,38.00,64.00
2026-03-11T05:17:00Z,38.00,65.00
2026-03-11T05:24:00Z,38.00,65.00
2026-03-11T05:28:00Z,38.00,65.00
2026-03-11T05:40:00Z,38.00,64.00
2026-03-11T05:54:00Z,38.00,65.00
2026-03-11T05:56:00Z,35.00,65.00
2026-03-11T06:03:00Z,35.00,65.00
2026-03-11T06:05:00Z,35.00,65.00
2026-03-11T06:07:00Z,35.00,65.00
2026-03-11T06:12:00Z,35.00,65.00
2026-03-11T06:13:00Z,35.00,65.00
2026-03-11T06:18:00Z,35.00,65.07
2026-03-11T06:24:00Z,35.00,65.00
2026-03-11T06:32:00Z,35.00,65.00
2026-03-11T06:38:00Z,35.00,65.00
2026-03-11T06:50:00Z,35.00,65.00
2026-03-11T06:55:00Z,35.00,65.00
2026-03-11T06:56:00Z,35.00,66.00
2026-03-11T06:58:00Z,36.90,66.00
2026-03-11T07:09:00Z,36.90,65.00
2026-03-11T07:28:00Z,36.90,65.00
2026-03-11T07:44:00Z,37.00,65.00
2026-03-11T07:54:00Z,37.00,65.00
2026-03-11T08:00:00Z,37.00,65.00
2026-03-11T08:01:00Z,37.00,65.00
2026-03-11T08:05:00Z,37.00,66.12
2026-03-11T08:06:00Z,37.00,66.00
2026-03-11T08:07:00Z,37.00,66.92
2026-03-11T08:08:00Z,37.00,66.00
2026-03-11T08:09:00Z,33.47,66.00
2026-03-11T08:10:00Z,31.00,70.00
2026-03-11T08:11:00Z,32.00,68.07
2026-03-11T08:12:00Z,35.00,67.14
2026-03-11T08:13:00Z,35.00,68.00
2026-03-11T08:14:00Z,34.00,66.02
