# event_ticker=KXATPMATCH-26JAN03NAKDAV
# final_score=7-6(4) 6-4
# score_resolution=6-7 4-6
# match_winner=Brandon Nakashima
# fav_player=Alejandro Davidovich Fokina
# dog_player=Brandon Nakashima
# kalshi_date=2026-01-03
timestamp,Alejandro Davidovich Fokina,Brandon Nakashima
2026-01-05T13:24:00Z,,41.00
2026-01-05T13:29:00Z,59.00,41.00
2026-01-05T13:32:00Z,59.00,41.00
2026-01-05T13:41:00Z,59.00,41.00
2026-01-05T13:48:00Z,57.07,41.00
2026-01-05T13:54:00Z,57.00,41.00
2026-01-05T13:55:00Z,57.00,41.00
2026-01-05T14:13:00Z,59.00,41.00
2026-01-05T14:21:00Z,59.00,41.00
2026-01-05T14:22:00Z,56.00,41.00
2026-01-05T14:26:00Z,58.06,41.00
2026-01-05T14:37:00Z,58.06,41.00
2026-01-05T14:58:00Z,59.00,41.00
2026-01-05T15:19:00Z,59.00,41.00
2026-01-05T15:33:00Z,59.00,41.00
2026-01-05T15:38:00Z,59.00,43.00
2026-01-05T15:49:00Z,59.00,43.00
2026-01-05T15:51:00Z,59.00,43.00
2026-01-05T16:44:00Z,59.00,43.00
2026-01-05T17:08:00Z,59.00,41.00
2026-01-05T17:12:00Z,61.00,41.00
2026-01-05T17:17:00Z,61.00,41.00
2026-01-05T17:29:00Z,61.00,41.00
2026-01-05T17:32:00Z,61.00,41.00
2026-01-05T18:18:00Z,61.00,41.00
2026-01-05T18:44:00Z,60.00,41.00
2026-01-05T20:31:00Z,61.00,41.00
2026-01-05T21:41:00Z,61.00,41.00
2026-01-05T22:07:00Z,61.00,41.00
2026-01-05T22:15:00Z,61.00,41.00
2026-01-05T23:27:00Z,61.00,41.00
2026-01-05T23:31:00Z,61.00,41.00
2026-01-06T00:09:00Z,61.00,41.00
2026-01-06T00:21:00Z,61.00,41.00
2026-01-06T00:38:00Z,61.00,41.00
2026-01-06T00:39:00Z,61.00,41.00
2026-01-06T00:40:00Z,61.00,41.00
2026-01-06T00:44:00Z,61.00,41.00
2026-01-06T01:00:00Z,62.00,41.00
2026-01-06T01:04:00Z,62.00,41.00
2026-01-06T01:10:00Z,62.00,38.00
2026-01-06T01:12:00Z,62.00,44.91
2026-01-06T01:13:00Z,58.00,46.00
2026-01-06T01:14:00Z,59.00,46.00
2026-01-06T01:15:00Z,58.00,46.94
2026-01-06T01:16:00Z,61.00,41.00
2026-01-06T01:19:00Z,64.69,41.00
2026-01-06T01:20:00Z,43.00,59.72
2026-01-06T01:21:00Z,63.00,59.72
2026-01-06T01:22:00Z,63.00,39.31
2026-01-06T01:23:00Z,63.00,39.31
2026-01-06T01:24:00Z,60.92,41.00
2026-01-06T01:25:00Z,60.92,43.00
2026-01-06T01:26:00Z,54.00,47.00
2026-01-06T01:28:00Z,44.76,55.00
2026-01-06T01:29:00Z,36.05,61.00
2026-01-06T01:30:00Z,36.05,65.00
2026-01-06T01:31:00Z,36.91,65.00
2026-01-06T01:36:00Z,35.51,68.98
2026-01-06T01:37:00Z,36.00,64.00
2026-01-06T01:38:00Z,43.00,61.98
2026-01-06T01:39:00Z,49.00,54.00
2026-01-06T01:41:00Z,44.94,54.00
2026-01-06T01:42:00Z,43.99,58.00
2026-01-06T01:43:00Z,42.23,55.07
2026-01-06T01:44:00Z,40.00,55.07
2026-01-06T01:45:00Z,45.00,56.05
2026-01-06T01:46:00Z,45.00,51.46
2026-01-06T01:48:00Z,59.00,51.46
2026-01-06T01:49:00Z,59.00,49.26
2026-01-06T01:51:00Z,59.00,53.00
2026-01-06T01:52:00Z,56.00,44.39
2026-01-06T01:53:00Z,59.69,44.39
2026-01-06T01:55:00Z,56.90,44.39
2026-01-06T01:56:00Z,54.20,48.90
2026-01-06T01:58:00Z,56.00,46.00
2026-01-06T01:59:00Z,50.17,49.73
2026-01-06T02:00:00Z,59.00,49.73
2026-01-06T02:01:00Z,60.00,40.58
2026-01-06T02:02:00Z,60.00,45.52
2026-01-06T02:04:00Z,60.00,46.40
2026-01-06T02:05:00Z,57.00,46.40
2026-01-06T02:06:00Z,56.00,46.40
2026-01-06T02:07:00Z,58.88,46.40
2026-01-06T02:08:00Z,60.00,46.40
2026-01-06T02:09:00Z,59.00,46.40
2026-01-06T02:10:00Z,55.96,46.40
2026-01-06T02:11:00Z,63.00,36.39
2026-01-06T02:12:00Z,64.00,32.00
2026-01-06T02:13:00Z,64.00,37.53
2026-01-06T02:14:00Z,66.16,30.76
2026-01-06T02:15:00Z,60.93,30.76
2026-01-06T02:16:00Z,38.59,52.00
2026-01-06T02:17:00Z,34.59,64.00
2026-01-06T02:18:00Z,36.07,64.00
2026-01-06T02:20:00Z,40.00,64.00
2026-01-06T02:21:00Z,38.97,64.00
2026-01-06T02:24:00Z,34.00,64.00
2026-01-06T02:25:00Z,30.59,64.00
2026-01-06T02:26:00Z,32.00,64.00
2026-01-06T02:27:00Z,32.00,68.00
2026-01-06T02:28:00Z,34.00,68.00
2026-01-06T02:29:00Z,37.00,66.00
2026-01-06T02:30:00Z,36.99,65.00
2026-01-06T02:32:00Z,31.01,71.00
2026-01-06T02:33:00Z,25.87,76.46
2026-01-06T02:34:00Z,22.84,80.94
2026-01-06T02:35:00Z,11.07,86.71
2026-01-06T02:36:00Z,7.82,91.00
2026-01-06T02:37:00Z,7.82,91.00
2026-01-06T02:38:00Z,7.59,94.00
2026-01-06T02:39:00Z,7.99,89.00
2026-01-06T02:40:00Z,8.00,89.00
2026-01-06T02:41:00Z,8.00,89.00
2026-01-06T02:42:00Z,8.50,89.00
2026-01-06T02:43:00Z,8.18,94.00
2026-01-06T02:44:00Z,4.73,95.00
2026-01-06T02:45:00Z,4.61,96.15
2026-01-06T02:46:00Z,3.40,97.91
2026-01-06T02:47:00Z,2.00,94.00
2026-01-06T02:48:00Z,4.02,94.00
2026-01-06T02:49:00Z,5.01,94.00
2026-01-06T02:50:00Z,5.00,97.00
2026-01-06T02:51:00Z,2.34,98.53
2026-01-06T02:52:00Z,1.00,98.53
2026-01-06T02:56:00Z,1.00,99.00
