# event_ticker=KXATPMATCH-25OCT02DZUOCO
# final_score=6-2 6-4
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Damir Dzumhur
# kalshi_date=2025-10-02
timestamp,Christopher O'Connell,Damir Dzumhur
2025-10-01T20:09:00Z,,45.00
2025-10-01T20:59:00Z,57.00,45.00
2025-10-01T21:18:00Z,57.00,43.00
2025-10-01T21:51:00Z,58.00,43.00
2025-10-01T21:56:00Z,58.00,43.00
2025-10-01T21:57:00Z,59.00,42.01
2025-10-01T22:17:00Z,59.00,42.01
2025-10-01T22:31:00Z,59.00,42.01
2025-10-01T22:40:00Z,58.00,42.01
2025-10-01T22:52:00Z,58.00,43.00
2025-10-01T23:01:00Z,57.00,43.00
2025-10-01T23:06:00Z,57.00,43.00
2025-10-01T23:37:00Z,57.00,43.00
2025-10-01T23:39:00Z,57.00,41.00
2025-10-01T23:53:00Z,59.00,42.00
2025-10-01T23:59:00Z,59.00,42.00
2025-10-02T00:14:00Z,59.00,42.00
2025-10-02T00:37:00Z,59.00,42.00
2025-10-02T01:15:00Z,59.00,42.00
2025-10-02T01:44:00Z,59.00,42.00
2025-10-02T01:52:00Z,60.00,42.00
2025-10-02T02:21:00Z,59.00,42.00
2025-10-02T02:40:00Z,59.00,42.00
2025-10-02T02:55:00Z,59.54,42.00
2025-10-02T02:57:00Z,59.54,42.00
2025-10-02T02:59:00Z,59.54,42.00
2025-10-02T03:00:00Z,60.00,42.00
2025-10-02T03:02:00Z,60.00,42.00
2025-10-02T03:04:00Z,60.00,42.00
2025-10-02T03:05:00Z,60.00,41.00
2025-10-02T03:14:00Z,60.00,41.00
2025-10-02T03:16:00Z,60.00,41.00
2025-10-02T03:21:00Z,60.00,41.00
2025-10-02T03:47:00Z,59.00,41.00
2025-10-02T03:49:00Z,59.00,41.00
2025-10-02T04:02:00Z,59.00,41.00
2025-10-02T04:10:00Z,59.00,42.00
2025-10-02T04:19:00Z,59.00,42.00
2025-10-02T04:21:00Z,59.00,42.00
2025-10-02T04:25:00Z,59.00,42.00
2025-10-02T04:27:00Z,59.00,42.00
2025-10-02T04:29:00Z,59.00,42.00
2025-10-02T04:30:00Z,59.00,42.00
2025-10-02T04:32:00Z,59.00,42.00
2025-10-02T04:39:00Z,59.00,42.00
2025-10-02T04:43:00Z,59.00,42.00
2025-10-02T04:56:00Z,59.00,42.00
2025-10-02T05:03:00Z,59.00,42.00
2025-10-02T05:04:00Z,59.00,42.00
2025-10-02T05:07:00Z,59.00,42.00
2025-10-02T05:09:00Z,59.00,42.00
2025-10-02T05:11:00Z,60.00,42.00
2025-10-02T05:27:00Z,60.00,42.00
2025-10-02T05:37:00Z,60.00,42.00
2025-10-02T05:38:00Z,60.00,42.00
2025-10-02T05:39:00Z,60.00,42.00
2025-10-02T05:42:00Z,61.00,42.00
