# event_ticker=KXATPCHALLENGERMATCH-26APR28YIBMUL
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Yibing Wu
# fav_player=Alexandre Muller
# dog_player=Yibing Wu
# kalshi_date=2026-04-28
timestamp,Yibing Wu,Alexandre Muller
2026-04-28T00:25:00Z,52.01,47.00
2026-04-28T00:26:00Z,51.51,48.01
2026-04-28T00:27:00Z,50.00,48.01
2026-04-28T00:38:00Z,50.00,50.21
2026-04-28T00:42:00Z,50.00,51.00
2026-04-28T00:43:00Z,50.00,51.00
2026-04-28T00:58:00Z,50.00,51.00
2026-04-28T01:20:00Z,50.00,51.00
2026-04-28T02:13:00Z,50.00,51.00
2026-04-28T03:03:00Z,50.00,51.00
2026-04-28T03:47:00Z,50.00,51.00
2026-04-28T03:53:00Z,50.00,51.00
2026-04-28T05:34:00Z,50.00,52.00
2026-04-28T05:51:00Z,50.00,52.00
2026-04-28T05:57:00Z,49.00,52.00
2026-04-28T06:12:00Z,49.00,51.00
2026-04-28T06:13:00Z,49.00,52.00
2026-04-28T06:19:00Z,49.00,52.00
2026-04-28T06:40:00Z,49.00,52.00
2026-04-28T07:26:00Z,49.00,52.00
2026-04-28T09:05:00Z,48.00,52.00
2026-04-28T09:58:00Z,49.00,52.00
2026-04-28T09:59:00Z,50.00,52.00
2026-04-28T10:17:00Z,50.00,52.00
2026-04-28T10:19:00Z,50.00,52.00
2026-04-28T10:29:00Z,50.00,53.00
2026-04-28T10:35:00Z,47.04,52.99
2026-04-28T10:36:00Z,50.00,52.99
2026-04-28T10:37:00Z,52.00,52.99
2026-04-28T10:38:00Z,52.24,50.00
2026-04-28T10:39:00Z,53.04,47.26
2026-04-28T10:40:00Z,50.57,48.58
2026-04-28T10:41:00Z,46.02,54.08
2026-04-28T10:42:00Z,47.55,52.00
2026-04-28T10:43:00Z,48.00,52.00
2026-04-28T10:44:00Z,35.26,64.61
2026-04-28T10:45:00Z,34.00,68.00
2026-04-28T10:46:00Z,33.22,66.26
2026-04-28T10:47:00Z,36.00,64.00
2026-04-28T10:48:00Z,37.29,62.09
2026-04-28T10:49:00Z,41.24,56.43
2026-04-28T10:50:00Z,44.93,55.42
2026-04-28T10:51:00Z,41.91,59.02
2026-04-28T10:52:00Z,45.46,57.04
2026-04-28T10:53:00Z,48.82,48.97
2026-04-28T10:54:00Z,52.00,49.00
2026-04-28T10:55:00Z,53.42,46.00
2026-04-28T10:56:00Z,53.39,47.60
2026-04-28T10:57:00Z,55.64,45.00
2026-04-28T10:58:00Z,65.99,32.81
2026-04-28T10:59:00Z,70.64,29.86
2026-04-28T11:00:00Z,72.92,27.43
2026-04-28T11:01:00Z,74.00,27.47
2026-04-28T11:02:00Z,73.00,27.00
2026-04-28T11:03:00Z,73.00,27.00
2026-04-28T11:04:00Z,72.00,27.00
2026-04-28T11:05:00Z,74.00,27.00
2026-04-28T11:06:00Z,74.99,27.00
2026-04-28T11:07:00Z,75.08,25.87
2026-04-28T11:08:00Z,76.00,25.00
2026-04-28T11:09:00Z,76.00,24.00
2026-04-28T11:10:00Z,77.00,24.44
2026-04-28T11:11:00Z,77.00,24.00
2026-04-28T11:12:00Z,75.25,23.67
2026-04-28T11:13:00Z,74.45,23.14
2026-04-28T11:14:00Z,77.07,22.48
2026-04-28T11:15:00Z,74.00,26.71
2026-04-28T11:16:00Z,73.23,26.73
2026-04-28T11:17:00Z,71.24,28.88
2026-04-28T11:18:00Z,72.07,29.77
2026-04-28T11:19:00Z,76.14,24.00
2026-04-28T11:20:00Z,72.12,27.86
2026-04-28T11:21:00Z,72.00,27.86
2026-04-28T11:22:00Z,71.93,27.86
2026-04-28T11:23:00Z,74.70,27.86
2026-04-28T11:24:00Z,75.00,27.00
2026-04-28T11:25:00Z,73.00,27.00
2026-04-28T11:26:00Z,73.00,27.00
2026-04-28T11:27:00Z,76.00,21.38
2026-04-28T11:28:00Z,75.73,25.60
2026-04-28T11:29:00Z,71.01,28.96
2026-04-28T11:30:00Z,70.00,29.00
2026-04-28T11:31:00Z,72.58,28.38
2026-04-28T11:32:00Z,74.87,28.38
2026-04-28T11:33:00Z,72.02,28.00
2026-04-28T11:34:00Z,75.32,24.40
2026-04-28T11:35:00Z,77.76,24.62
2026-04-28T11:36:00Z,79.10,21.99
2026-04-28T11:37:00Z,79.84,20.00
2026-04-28T11:38:00Z,88.40,10.43
2026-04-28T11:39:00Z,93.00,8.00
2026-04-28T11:40:00Z,89.37,9.43
2026-04-28T11:41:00Z,91.93,9.00
2026-04-28T11:42:00Z,92.27,8.85
2026-04-28T11:43:00Z,92.28,8.43
2026-04-28T11:44:00Z,95.49,5.11
2026-04-28T11:45:00Z,95.96,5.49
2026-04-28T11:46:00Z,94.44,6.00
2026-04-28T11:47:00Z,94.01,6.00
2026-04-28T11:48:00Z,91.25,11.23
2026-04-28T11:49:00Z,81.72,18.84
2026-04-28T11:50:00Z,76.59,22.18
2026-04-28T11:51:00Z,82.08,18.11
2026-04-28T11:52:00Z,92.11,7.27
2026-04-28T11:53:00Z,98.99,1.00
2026-04-28T11:54:00Z,99.00,1.00
2026-04-28T11:56:00Z,99.00,1.00
2026-04-28T11:57:00Z,99.00,1.00
2026-04-28T11:58:00Z,99.00,1.00
