# event_ticker=KXATPCHALLENGERMATCH-26APR02ANDPAU
# final_score=3-6 6-4 6-4
# match_winner=Andrew Paulson
# fav_player=Andrew Paulson
# dog_player=Fabrizio Andaloro
# kalshi_date=2026-04-02
timestamp,Andrew Paulson,Fabrizio Andaloro
2026-04-01T20:28:00Z,69.00,
2026-04-01T20:29:00Z,86.00,
2026-04-01T20:30:00Z,78.00,30.00
2026-04-01T20:33:00Z,75.00,33.00
2026-04-01T20:36:00Z,76.00,33.00
2026-04-01T21:11:00Z,79.00,38.12
2026-04-01T21:32:00Z,79.00,29.00
2026-04-01T21:35:00Z,79.00,29.00
2026-04-01T21:52:00Z,82.00,29.00
2026-04-02T00:04:00Z,79.00,29.00
2026-04-02T01:35:00Z,79.00,25.00
2026-04-02T01:36:00Z,79.00,27.00
2026-04-02T01:38:00Z,75.00,27.00
2026-04-02T02:41:00Z,77.00,27.00
2026-04-02T03:10:00Z,76.00,27.00
2026-04-02T04:01:00Z,78.00,22.00
2026-04-02T04:34:00Z,78.00,24.00
2026-04-02T05:00:00Z,78.00,25.00
2026-04-02T05:07:00Z,77.00,25.00
2026-04-02T05:19:00Z,78.00,25.00
2026-04-02T05:22:00Z,78.00,25.00
2026-04-02T05:32:00Z,77.00,25.00
2026-04-02T05:47:00Z,77.00,25.00
2026-04-02T05:53:00Z,77.00,26.00
2026-04-02T05:54:00Z,77.00,26.00
2026-04-02T06:07:00Z,77.00,26.00
2026-04-02T06:29:00Z,77.00,25.00
2026-04-02T06:36:00Z,77.00,25.00
2026-04-02T06:41:00Z,77.00,25.00
2026-04-02T06:51:00Z,76.00,25.00
2026-04-02T06:57:00Z,76.00,26.00
2026-04-02T09:01:00Z,64.94,31.18
2026-04-02T09:02:00Z,18.00,82.33
2026-04-02T09:03:00Z,14.47,87.76
2026-04-02T09:04:00Z,13.22,88.95
2026-04-02T09:05:00Z,19.12,90.00
2026-04-02T09:06:00Z,26.34,75.91
2026-04-02T09:07:00Z,33.13,70.28
2026-04-02T09:08:00Z,29.30,71.49
2026-04-02T09:09:00Z,28.98,75.23
2026-04-02T09:10:00Z,36.22,70.49
