# event_ticker=KXATPCHALLENGERMATCH-26JUN01DURNAP
# final_score=6-7(5) 7-6(2) 3-0 RET
# match_winner=Tuncay Duran
# fav_player=Tuncay Duran
# dog_player=Stefano Napolitano
# kalshi_date=2026-06-01
timestamp,Tuncay Duran,Stefano Napolitano
2026-06-02T03:59:00Z,27.00,
2026-06-02T05:42:00Z,22.02,
2026-06-02T06:06:00Z,22.02,79.00
2026-06-02T06:30:00Z,23.00,79.00
2026-06-02T08:04:00Z,24.00,79.00
2026-06-02T11:25:00Z,24.00,77.00
2026-06-02T12:17:00Z,24.00,78.00
2026-06-02T12:33:00Z,24.00,78.03
2026-06-02T12:50:00Z,25.00,78.03
2026-06-02T14:34:00Z,25.00,78.00
2026-06-02T14:37:00Z,25.00,78.00
2026-06-02T14:49:00Z,25.00,78.00
2026-06-02T15:20:00Z,25.00,78.00
2026-06-02T15:23:00Z,25.00,77.00
2026-06-02T15:25:00Z,25.00,78.00
2026-06-02T15:34:00Z,25.00,79.00
2026-06-02T15:35:00Z,24.95,79.00
2026-06-02T15:38:00Z,24.00,76.00
2026-06-02T15:39:00Z,24.87,73.96
2026-06-02T15:40:00Z,24.00,78.00
2026-06-02T15:41:00Z,24.02,78.00
2026-06-02T15:42:00Z,23.00,79.00
2026-06-02T15:43:00Z,23.00,78.11
2026-06-02T15:44:00Z,24.00,78.00
2026-06-02T15:45:00Z,24.00,76.00
2026-06-02T15:46:00Z,24.00,77.62
2026-06-02T15:48:00Z,24.00,78.00
2026-06-02T15:49:00Z,23.00,78.00
2026-06-02T15:50:00Z,24.00,78.00
2026-06-02T15:51:00Z,24.00,76.51
2026-06-02T15:52:00Z,23.39,78.00
2026-06-02T15:53:00Z,23.39,78.34
2026-06-02T15:54:00Z,25.32,75.18
2026-06-02T15:55:00Z,26.00,74.62
2026-06-02T15:56:00Z,27.13,73.68
2026-06-02T15:57:00Z,27.13,75.26
2026-06-02T15:58:00Z,27.13,78.12
2026-06-02T15:59:00Z,23.45,77.51
2026-06-02T16:00:00Z,27.57,75.00
2026-06-02T16:01:00Z,29.67,70.95
2026-06-02T16:02:00Z,34.00,69.00
2026-06-02T16:03:00Z,34.00,74.75
2026-06-02T16:04:00Z,24.00,75.22
2026-06-02T16:05:00Z,24.00,79.90
2026-06-02T16:06:00Z,24.01,75.64
2026-06-02T16:07:00Z,20.06,80.00
2026-06-02T16:08:00Z,20.92,80.00
2026-06-02T16:09:00Z,18.61,82.07
2026-06-02T16:10:00Z,19.17,79.97
2026-06-02T16:11:00Z,24.55,75.88
2026-06-02T16:12:00Z,19.39,81.66
2026-06-02T16:13:00Z,19.46,80.04
2026-06-02T16:14:00Z,18.47,78.43
2026-06-02T16:15:00Z,24.84,75.28
2026-06-02T16:16:00Z,24.30,75.79
2026-06-02T16:17:00Z,26.86,74.57
2026-06-02T16:18:00Z,26.29,73.52
2026-06-02T16:19:00Z,32.81,66.98
2026-06-02T16:20:00Z,39.62,60.79
2026-06-02T16:21:00Z,29.03,71.36
2026-06-02T16:22:00Z,24.00,75.83
2026-06-02T16:23:00Z,27.93,74.18
2026-06-02T16:24:00Z,29.00,72.00
2026-06-02T16:25:00Z,30.88,70.00
2026-06-02T16:26:00Z,31.46,69.12
2026-06-02T16:27:00Z,31.43,68.98
2026-06-02T16:28:00Z,29.74,70.12
2026-06-02T16:29:00Z,29.00,72.00
2026-06-02T16:30:00Z,33.41,72.00
2026-06-02T16:31:00Z,39.82,59.82
2026-06-02T16:32:00Z,49.01,52.01
2026-06-02T16:33:00Z,46.32,55.01
2026-06-02T16:34:00Z,36.16,63.06
2026-06-02T16:35:00Z,37.22,62.62
2026-06-02T16:36:00Z,28.85,73.58
2026-06-02T16:37:00Z,19.25,82.04
2026-06-02T16:38:00Z,16.00,84.49
2026-06-02T16:39:00Z,15.98,85.00
2026-06-02T16:40:00Z,16.00,85.00
2026-06-02T16:41:00Z,16.00,85.00
2026-06-02T16:42:00Z,14.00,85.78
2026-06-02T16:43:00Z,14.93,85.77
2026-06-02T16:44:00Z,15.84,84.34
2026-06-02T16:45:00Z,17.99,82.73
2026-06-02T16:46:00Z,17.80,81.92
2026-06-02T16:47:00Z,16.98,83.13
2026-06-02T16:48:00Z,16.45,84.47
2026-06-02T16:49:00Z,18.76,84.30
2026-06-02T16:50:00Z,19.13,82.46
2026-06-02T16:51:00Z,20.00,80.53
2026-06-02T16:52:00Z,23.50,75.87
2026-06-02T16:53:00Z,18.73,81.64
2026-06-02T16:54:00Z,17.98,82.72
2026-06-02T16:55:00Z,19.79,80.48
2026-06-02T16:56:00Z,18.32,83.00
2026-06-02T16:57:00Z,16.67,83.00
2026-06-02T16:58:00Z,19.69,81.00
2026-06-02T16:59:00Z,19.11,81.78
2026-06-02T17:00:00Z,19.44,80.99
2026-06-02T17:01:00Z,18.21,82.09
2026-06-02T17:02:00Z,18.06,81.48
2026-06-02T17:03:00Z,18.06,83.43
2026-06-02T17:04:00Z,19.33,81.11
2026-06-02T17:05:00Z,21.39,80.00
2026-06-02T17:06:00Z,21.11,79.70
2026-06-02T17:07:00Z,21.27,79.06
2026-06-02T17:08:00Z,23.14,79.91
2026-06-02T17:09:00Z,20.07,80.07
2026-06-02T17:10:00Z,24.90,77.17
2026-06-02T17:11:00Z,24.11,77.49
2026-06-02T17:12:00Z,23.89,76.85
2026-06-02T17:13:00Z,24.51,75.75
2026-06-02T17:14:00Z,21.38,78.25
2026-06-02T17:15:00Z,22.66,77.34
2026-06-02T17:16:00Z,25.11,75.79
2026-06-02T17:17:00Z,25.85,75.66
2026-06-02T17:18:00Z,24.74,76.62
2026-06-02T17:19:00Z,20.15,79.52
2026-06-02T17:20:00Z,28.38,72.61
2026-06-02T17:21:00Z,31.62,65.59
2026-06-02T17:22:00Z,33.52,67.02
2026-06-02T17:23:00Z,38.72,62.95
2026-06-02T17:24:00Z,39.48,58.21
2026-06-02T17:25:00Z,42.78,58.62
2026-06-02T17:26:00Z,42.84,56.68
2026-06-02T17:27:00Z,52.68,47.01
2026-06-02T17:28:00Z,67.16,31.75
2026-06-02T17:29:00Z,69.67,31.07
2026-06-02T17:30:00Z,73.36,24.93
2026-06-02T17:31:00Z,78.52,21.11
2026-06-02T17:32:00Z,82.14,17.88
2026-06-02T17:33:00Z,80.89,19.69
2026-06-02T17:34:00Z,80.52,21.92
2026-06-02T17:35:00Z,97.08,4.12
2026-06-02T17:36:00Z,98.84,2.17
2026-06-02T17:37:00Z,99.00,1.00
2026-06-02T17:38:00Z,99.00,1.00
2026-06-02T17:39:00Z,99.00,1.00
2026-06-02T17:40:00Z,99.00,1.00
2026-06-02T17:41:00Z,99.00,1.00
2026-06-02T17:42:00Z,99.00,1.00
