# event_ticker=KXATPCHALLENGERMATCH-26APR24SKAGHI
# final_score=6-2 6-2
# match_winner=Timofey Skatov
# fav_player=Timofey Skatov
# dog_player=Antoine Ghibaudo
# kalshi_date=2026-04-24
timestamp,Timofey Skatov,Antoine Ghibaudo
2026-04-23T20:57:00Z,,27.00
2026-04-23T21:05:00Z,76.00,27.00
2026-04-23T21:31:00Z,75.00,27.00
2026-04-23T21:38:00Z,75.00,27.00
2026-04-23T22:29:00Z,75.00,27.00
2026-04-23T22:57:00Z,75.00,27.00
2026-04-24T00:19:00Z,72.00,27.00
2026-04-24T00:22:00Z,72.00,27.00
2026-04-24T00:25:00Z,72.00,27.00
2026-04-24T00:32:00Z,72.00,30.00
2026-04-24T00:56:00Z,72.00,30.00
2026-04-24T02:16:00Z,72.00,30.00
2026-04-24T02:19:00Z,72.00,30.00
2026-04-24T02:28:00Z,72.00,30.00
2026-04-24T02:38:00Z,72.00,28.00
2026-04-24T02:39:00Z,72.00,30.00
2026-04-24T02:55:00Z,72.00,30.00
2026-04-24T02:59:00Z,72.00,30.00
2026-04-24T03:09:00Z,72.00,29.00
2026-04-24T03:10:00Z,72.00,28.00
2026-04-24T04:04:00Z,72.00,28.00
2026-04-24T04:16:00Z,72.00,29.00
2026-04-24T04:20:00Z,72.00,28.00
2026-04-24T04:23:00Z,72.00,28.00
2026-04-24T04:29:00Z,72.00,28.00
2026-04-24T04:34:00Z,72.00,28.00
2026-04-24T04:37:00Z,72.00,28.00
2026-04-24T04:39:00Z,72.00,28.00
2026-04-24T04:40:00Z,72.00,28.00
2026-04-24T04:43:00Z,72.00,29.00
2026-04-24T04:54:00Z,72.00,29.00
2026-04-24T04:55:00Z,72.00,29.00
2026-04-24T04:57:00Z,72.00,29.00
2026-04-24T05:01:00Z,72.00,29.03
2026-04-24T05:03:00Z,71.95,29.03
2026-04-24T05:04:00Z,71.95,30.00
2026-04-24T05:05:00Z,71.95,30.70
2026-04-24T05:06:00Z,72.00,30.70
2026-04-24T05:08:00Z,72.00,30.00
2026-04-24T05:10:00Z,72.00,30.00
2026-04-24T05:12:00Z,72.00,30.00
2026-04-24T05:24:00Z,72.00,30.00
2026-04-24T05:25:00Z,72.00,30.00
2026-04-24T05:26:00Z,72.00,30.00
2026-04-24T05:27:00Z,72.00,30.00
2026-04-24T05:28:00Z,72.00,30.00
2026-04-24T05:33:00Z,72.00,30.00
2026-04-24T05:35:00Z,72.00,30.44
2026-04-24T05:36:00Z,72.00,30.00
2026-04-24T05:42:00Z,72.00,30.00
2026-04-24T05:45:00Z,72.00,30.00
2026-04-24T05:51:00Z,72.00,28.00
2026-04-24T05:53:00Z,72.00,30.00
