# event_ticker=KXATPCHALLENGERMATCH-26APR03CALRIN
# final_score=3-6 6-2 7-5
# match_winner=Daniel Rincon
# fav_player=Daniel Rincon
# dog_player=Sergio Callejon Hernando
# kalshi_date=2026-04-03
timestamp,Daniel Rincon,Sergio Callejon Hernando
2026-04-03T12:53:00Z,69.00,
2026-04-03T12:58:00Z,69.00,
2026-04-03T13:02:00Z,68.00,
2026-04-03T13:22:00Z,65.00,
2026-04-03T13:23:00Z,68.66,37.00
2026-04-03T13:25:00Z,69.00,37.00
2026-04-03T13:26:00Z,69.00,35.00
2026-04-03T13:27:00Z,69.00,36.00
2026-04-03T13:28:00Z,84.00,43.63
2026-04-03T13:29:00Z,67.20,33.00
2026-04-03T13:30:00Z,67.27,39.58
2026-04-03T13:31:00Z,68.36,38.99
2026-04-03T13:32:00Z,66.72,41.97
2026-04-03T13:33:00Z,66.72,35.00
2026-04-03T13:34:00Z,62.47,46.48
2026-04-03T13:35:00Z,60.09,45.62
2026-04-03T13:36:00Z,60.67,42.80
2026-04-03T13:37:00Z,60.89,43.57
2026-04-03T13:38:00Z,56.70,48.66
2026-04-03T13:39:00Z,49.27,55.25
2026-04-03T13:40:00Z,47.65,57.52
2026-04-03T13:41:00Z,43.23,60.07
2026-04-03T13:42:00Z,42.95,61.07
2026-04-03T13:43:00Z,41.57,62.41
2026-04-03T13:44:00Z,41.25,63.48
2026-04-03T13:45:00Z,35.96,68.68
2026-04-03T13:46:00Z,31.91,72.21
2026-04-03T13:47:00Z,33.75,70.44
2026-04-03T13:48:00Z,38.32,61.40
2026-04-03T13:49:00Z,42.21,61.02
2026-04-03T13:50:00Z,43.42,59.91
2026-04-03T13:51:00Z,37.48,67.46
2026-04-03T13:52:00Z,40.13,67.22
2026-04-03T13:53:00Z,36.49,66.42
2026-04-03T13:54:00Z,38.91,64.23
2026-04-03T13:55:00Z,40.86,59.37
2026-04-03T13:56:00Z,43.32,61.26
2026-04-03T13:57:00Z,41.94,65.03
2026-04-03T13:58:00Z,39.93,62.84
2026-04-03T13:59:00Z,36.76,65.14
2026-04-03T14:00:00Z,36.71,66.00
2026-04-03T14:01:00Z,39.82,67.54
2026-04-03T14:02:00Z,36.68,63.87
2026-04-03T14:03:00Z,42.78,59.47
2026-04-03T14:04:00Z,35.74,68.80
2026-04-03T14:05:00Z,30.68,70.60
2026-04-03T14:06:00Z,32.99,68.90
2026-04-03T14:07:00Z,33.10,69.07
2026-04-03T14:08:00Z,32.73,69.68
2026-04-03T14:09:00Z,33.60,68.71
2026-04-03T14:10:00Z,36.18,64.58
2026-04-03T14:11:00Z,33.29,67.53
2026-04-03T14:12:00Z,35.46,66.63
2026-04-03T14:13:00Z,26.77,74.58
2026-04-03T14:14:00Z,34.00,68.91
2026-04-03T14:15:00Z,33.47,68.52
2026-04-03T14:16:00Z,36.17,68.68
2026-04-03T14:17:00Z,38.73,62.99
2026-04-03T14:18:00Z,38.41,65.57
2026-04-03T14:19:00Z,39.38,63.95
2026-04-03T14:20:00Z,46.22,59.96
2026-04-03T14:21:00Z,47.19,51.53
2026-04-03T14:22:00Z,46.49,53.23
2026-04-03T14:23:00Z,44.15,57.24
2026-04-03T14:24:00Z,55.20,47.76
2026-04-03T14:25:00Z,58.98,44.22
2026-04-03T14:26:00Z,62.28,31.31
2026-04-03T14:27:00Z,64.36,37.85
2026-04-03T14:28:00Z,59.31,42.38
2026-04-03T14:29:00Z,60.69,37.53
2026-04-03T14:30:00Z,59.35,41.98
2026-04-03T14:31:00Z,55.79,45.50
2026-04-03T14:32:00Z,60.69,45.26
2026-04-03T14:33:00Z,65.93,34.17
2026-04-03T14:34:00Z,67.10,35.20
2026-04-03T14:35:00Z,64.77,36.29
2026-04-03T14:36:00Z,68.62,29.37
2026-04-03T14:37:00Z,70.06,28.14
2026-04-03T14:38:00Z,69.85,31.94
2026-04-03T14:39:00Z,68.83,31.72
2026-04-03T14:40:00Z,65.64,28.71
2026-04-03T14:41:00Z,65.90,35.32
2026-04-03T14:42:00Z,66.04,37.92
2026-04-03T14:43:00Z,71.81,30.37
2026-04-03T14:44:00Z,74.58,19.97
2026-04-03T14:45:00Z,74.13,26.98
2026-04-03T14:46:00Z,70.69,29.71
2026-04-03T14:47:00Z,68.04,32.32
2026-04-03T14:48:00Z,67.43,32.09
2026-04-03T14:49:00Z,68.76,34.58
2026-04-03T14:50:00Z,66.89,33.51
2026-04-03T14:51:00Z,64.05,34.92
2026-04-03T14:52:00Z,74.16,30.98
2026-04-03T14:53:00Z,81.41,13.46
2026-04-03T14:54:00Z,79.99,20.84
2026-04-03T14:55:00Z,80.87,17.84
2026-04-03T14:56:00Z,82.88,18.47
2026-04-03T14:57:00Z,73.99,29.24
2026-04-03T14:58:00Z,73.53,34.38
2026-04-03T14:59:00Z,76.48,25.88
2026-04-03T15:00:00Z,71.11,30.01
2026-04-03T15:01:00Z,60.09,41.06
2026-04-03T15:02:00Z,61.88,37.86
2026-04-03T15:03:00Z,73.49,25.82
2026-04-03T15:04:00Z,74.56,25.77
2026-04-03T15:05:00Z,80.85,14.01
2026-04-03T15:06:00Z,90.03,12.57
2026-04-03T15:07:00Z,92.92,5.80
2026-04-03T15:08:00Z,94.43,5.36
2026-04-03T15:09:00Z,94.61,6.20
2026-04-03T15:10:00Z,95.31,4.51
2026-04-03T15:11:00Z,96.11,4.68
2026-04-03T15:12:00Z,93.90,5.69
2026-04-03T15:13:00Z,92.38,6.87
2026-04-03T15:14:00Z,94.34,5.55
2026-04-03T15:15:00Z,97.74,2.93
2026-04-03T15:16:00Z,97.42,1.94
2026-04-03T15:17:00Z,97.46,2.93
2026-04-03T15:18:00Z,96.53,3.06
2026-04-03T15:19:00Z,96.69,3.12
2026-04-03T15:20:00Z,96.48,5.05
2026-04-03T15:21:00Z,94.67,6.12
2026-04-03T15:22:00Z,95.35,5.55
2026-04-03T15:23:00Z,97.24,4.36
2026-04-03T15:24:00Z,90.39,9.27
2026-04-03T15:25:00Z,95.42,4.82
2026-04-03T15:26:00Z,95.70,7.85
2026-04-03T15:27:00Z,82.28,18.57
2026-04-03T15:28:00Z,82.30,19.90
2026-04-03T15:29:00Z,91.87,19.98
2026-04-03T15:30:00Z,87.41,11.30
2026-04-03T15:31:00Z,83.61,19.03
2026-04-03T15:32:00Z,72.99,30.68
2026-04-03T15:33:00Z,56.40,39.58
2026-04-03T15:34:00Z,34.05,59.91
2026-04-03T15:35:00Z,57.20,45.26
2026-04-03T15:36:00Z,54.29,43.64
2026-04-03T15:37:00Z,64.32,30.10
2026-04-03T15:38:00Z,77.73,21.50
2026-04-03T15:39:00Z,79.10,20.01
2026-04-03T15:40:00Z,79.04,19.99
2026-04-03T15:41:00Z,81.79,15.44
2026-04-03T15:42:00Z,87.56,12.16
2026-04-03T15:43:00Z,93.57,7.50
2026-04-03T15:44:00Z,99.00,1.00
2026-04-03T15:45:00Z,99.00,1.00
2026-04-03T15:46:00Z,99.00,1.00
2026-04-03T15:47:00Z,99.00,1.00
