# event_ticker=KXATPCHALLENGERMATCH-26APR24ANDBAS
# final_score=6-3 6-2
# match_winner=Nishesh Basavareddy
# fav_player=Nishesh Basavareddy
# dog_player=Andres Andrade
# kalshi_date=2026-04-24
timestamp,Andres Andrade,Nishesh Basavareddy
2026-04-24T08:16:00Z,,54.00
2026-04-24T08:47:00Z,,65.00
2026-04-24T10:01:00Z,,64.00
2026-04-24T10:18:00Z,,64.00
2026-04-24T11:59:00Z,,64.00
2026-04-24T13:10:00Z,37.00,64.00
2026-04-24T13:16:00Z,37.00,64.00
2026-04-24T13:20:00Z,37.00,64.00
2026-04-24T13:22:00Z,37.00,64.00
2026-04-24T13:23:00Z,38.00,64.00
2026-04-24T13:37:00Z,38.00,64.00
2026-04-24T13:42:00Z,38.00,64.00
2026-04-24T14:43:00Z,38.00,64.00
2026-04-24T14:49:00Z,38.00,64.00
2026-04-24T14:52:00Z,38.00,64.00
2026-04-24T14:57:00Z,38.00,64.00
2026-04-24T15:10:00Z,38.00,64.00
2026-04-24T15:12:00Z,38.00,64.00
2026-04-24T15:15:00Z,38.00,64.00
2026-04-24T15:19:00Z,38.00,64.00
2026-04-24T15:22:00Z,38.00,64.00
2026-04-24T15:29:00Z,38.00,64.00
2026-04-24T15:36:00Z,38.00,64.00
2026-04-24T15:47:00Z,38.00,64.00
2026-04-24T15:50:00Z,38.00,64.00
2026-04-24T15:51:00Z,38.00,64.00
2026-04-24T16:01:00Z,38.00,63.00
2026-04-24T16:24:00Z,38.00,63.00
2026-04-24T16:33:00Z,38.00,63.00
2026-04-24T16:36:00Z,38.00,63.00
2026-04-24T16:37:00Z,38.00,63.00
2026-04-24T16:43:00Z,38.00,63.00
2026-04-24T16:49:00Z,38.00,63.00
2026-04-24T16:53:00Z,38.00,63.00
2026-04-24T16:54:00Z,38.00,63.00
2026-04-24T16:55:00Z,38.00,63.00
2026-04-24T17:08:00Z,38.00,63.00
2026-04-24T17:09:00Z,38.94,63.00
2026-04-24T17:11:00Z,38.94,63.00
2026-04-24T17:17:00Z,38.94,63.00
2026-04-24T17:28:00Z,39.00,63.00
2026-04-24T17:35:00Z,39.00,63.00
2026-04-24T17:36:00Z,39.00,63.00
2026-04-24T17:39:00Z,39.00,63.00
2026-04-24T17:41:00Z,39.00,63.00
2026-04-24T17:44:00Z,39.00,63.00
2026-04-24T17:46:00Z,39.00,63.00
2026-04-24T17:47:00Z,39.00,63.85
2026-04-24T17:56:00Z,39.00,63.00
2026-04-24T17:57:00Z,39.00,63.00
2026-04-24T17:58:00Z,39.00,63.00
2026-04-24T18:00:00Z,39.00,63.00
2026-04-24T18:01:00Z,39.00,63.81
2026-04-24T18:02:00Z,39.00,61.00
2026-04-24T18:03:00Z,39.00,64.00
2026-04-24T18:08:00Z,39.00,64.00
2026-04-24T18:11:00Z,39.00,64.00
2026-04-24T18:12:00Z,39.00,61.00
2026-04-24T18:15:00Z,39.00,63.00
2026-04-24T18:18:00Z,39.00,63.00
2026-04-24T18:19:00Z,39.00,63.00
2026-04-24T18:24:00Z,39.00,63.00
2026-04-24T18:27:00Z,38.06,63.00
2026-04-24T18:30:00Z,38.64,63.00
2026-04-24T18:32:00Z,38.40,63.00
2026-04-24T18:33:00Z,38.40,63.57
2026-04-24T18:36:00Z,38.00,63.57
2026-04-24T18:40:00Z,38.00,64.00
2026-04-24T18:44:00Z,38.00,64.00
2026-04-24T18:47:00Z,38.79,64.00
2026-04-24T18:48:00Z,39.00,64.00
2026-04-24T18:50:00Z,39.00,64.00
2026-04-24T18:53:00Z,38.00,64.00
2026-04-24T18:55:00Z,38.00,64.00
2026-04-24T18:56:00Z,38.00,64.00
2026-04-24T18:58:00Z,37.00,61.00
2026-04-24T19:01:00Z,37.00,64.00
2026-04-24T19:04:00Z,37.68,62.00
2026-04-24T19:05:00Z,38.25,64.00
2026-04-24T19:06:00Z,38.00,64.00
2026-04-24T19:07:00Z,38.00,64.00
2026-04-24T19:08:00Z,38.00,64.00
2026-04-24T19:09:00Z,38.00,64.82
2026-04-24T19:10:00Z,38.00,65.00
2026-04-24T19:11:00Z,38.00,65.00
2026-04-24T19:12:00Z,37.94,63.13
2026-04-24T19:13:00Z,39.31,63.00
2026-04-24T19:14:00Z,36.17,65.00
2026-04-24T19:15:00Z,33.00,68.00
2026-04-24T19:16:00Z,33.00,68.00
2026-04-24T19:17:00Z,27.00,75.58
2026-04-24T19:18:00Z,28.27,71.98
2026-04-24T19:19:00Z,31.99,70.10
2026-04-24T19:20:00Z,23.45,72.67
