# event_ticker=KXATPCHALLENGERMATCH-26APR07KOLSAK
# final_score=7-5 7-6(2)
# score_resolution=5-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Zdenek Kolar
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-07
timestamp,Zdenek Kolar,Stefanos Sakellaridis
2026-04-07T00:01:00Z,44.00,
2026-04-07T00:32:00Z,44.00,56.00
2026-04-07T02:00:00Z,44.00,58.00
2026-04-07T02:14:00Z,44.00,58.00
2026-04-07T02:18:00Z,44.00,58.00
2026-04-07T02:19:00Z,44.00,58.00
2026-04-07T02:49:00Z,44.00,59.00
2026-04-07T02:50:00Z,44.00,59.00
2026-04-07T04:12:00Z,43.00,59.00
2026-04-07T04:29:00Z,43.00,59.00
2026-04-07T05:00:00Z,41.00,59.00
2026-04-07T06:21:00Z,41.00,59.00
2026-04-07T07:04:00Z,41.00,59.00
2026-04-07T07:18:00Z,41.00,59.00
2026-04-07T07:21:00Z,43.00,59.00
2026-04-07T07:26:00Z,43.00,59.00
2026-04-07T07:28:00Z,43.00,58.00
2026-04-07T08:31:00Z,43.00,59.00
2026-04-07T10:03:00Z,43.00,59.00
2026-04-07T10:46:00Z,43.00,59.00
2026-04-07T10:55:00Z,44.00,58.00
2026-04-07T10:58:00Z,44.00,59.00
2026-04-07T11:00:00Z,44.00,59.00
2026-04-07T11:22:00Z,44.00,59.00
2026-04-07T11:36:00Z,44.00,58.00
2026-04-07T11:40:00Z,43.97,58.39
2026-04-07T11:43:00Z,43.97,59.00
2026-04-07T11:44:00Z,43.97,59.00
2026-04-07T11:46:00Z,43.97,59.00
2026-04-07T11:48:00Z,43.97,61.47
2026-04-07T11:49:00Z,43.97,62.00
2026-04-07T11:50:00Z,39.00,64.00
2026-04-07T11:51:00Z,38.49,63.06
2026-04-07T11:52:00Z,41.00,58.00
2026-04-07T11:53:00Z,41.55,58.00
2026-04-07T11:54:00Z,41.55,62.00
2026-04-07T11:55:00Z,38.80,63.94
2026-04-07T11:56:00Z,41.42,62.51
2026-04-07T12:00:00Z,41.42,61.00
2026-04-07T12:01:00Z,43.00,61.00
2026-04-07T12:03:00Z,43.00,60.78
2026-04-07T12:05:00Z,37.50,62.00
2026-04-07T12:06:00Z,37.00,62.00
2026-04-07T12:07:00Z,37.00,62.00
2026-04-07T12:09:00Z,40.43,62.00
2026-04-07T12:10:00Z,44.00,56.76
2026-04-07T12:11:00Z,44.00,61.00
2026-04-07T12:13:00Z,34.00,64.00
2026-04-07T12:14:00Z,34.00,65.00
2026-04-07T12:15:00Z,34.00,60.25
2026-04-07T12:16:00Z,43.89,58.13
2026-04-07T12:17:00Z,41.00,57.16
2026-04-07T12:18:00Z,38.00,64.00
2026-04-07T12:19:00Z,38.00,64.00
2026-04-07T12:20:00Z,42.77,57.00
2026-04-07T12:21:00Z,42.00,59.80
2026-04-07T12:22:00Z,46.05,60.01
