# event_ticker=KXATPCHALLENGERMATCH-26JUN01CADMER
# final_score=6-2 RET
# match_winner=Daniel Merida
# fav_player=Daniel Merida
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-06-01
timestamp,Gianluca Cadenasso,Daniel Merida
2026-06-01T09:25:00Z,42.00,
2026-06-01T12:31:00Z,42.00,61.00
2026-06-01T12:59:00Z,42.00,60.00
2026-06-01T13:33:00Z,42.00,61.00
2026-06-01T14:14:00Z,42.00,61.00
2026-06-01T14:40:00Z,42.00,60.21
2026-06-01T14:56:00Z,42.00,61.00
2026-06-01T15:01:00Z,41.00,61.00
2026-06-01T15:17:00Z,40.00,61.00
2026-06-01T15:45:00Z,40.00,61.00
2026-06-01T15:50:00Z,40.00,60.00
2026-06-01T16:01:00Z,40.00,60.00
2026-06-01T16:07:00Z,40.00,60.00
2026-06-01T16:09:00Z,40.00,60.00
2026-06-01T16:10:00Z,40.00,61.00
2026-06-01T16:17:00Z,40.00,61.00
2026-06-01T16:20:00Z,40.00,61.00
2026-06-01T16:22:00Z,40.00,61.00
2026-06-01T16:26:00Z,40.00,61.00
2026-06-01T16:47:00Z,40.00,61.00
2026-06-01T17:19:00Z,40.00,61.00
2026-06-01T17:20:00Z,40.00,61.00
2026-06-01T17:30:00Z,40.00,61.00
2026-06-01T17:34:00Z,40.00,61.00
2026-06-01T17:36:00Z,40.00,61.00
2026-06-01T17:47:00Z,40.00,61.00
2026-06-01T17:49:00Z,40.00,61.00
2026-06-01T17:55:00Z,40.00,61.00
2026-06-01T17:58:00Z,40.00,61.00
2026-06-01T18:00:00Z,40.00,61.00
2026-06-01T18:07:00Z,40.00,61.00
2026-06-01T18:08:00Z,40.00,61.00
2026-06-01T18:11:00Z,40.00,61.00
2026-06-01T18:15:00Z,40.00,61.00
2026-06-01T18:20:00Z,40.00,61.00
2026-06-01T18:22:00Z,40.00,61.00
2026-06-01T18:25:00Z,40.00,61.00
2026-06-01T18:29:00Z,40.00,61.00
2026-06-01T18:31:00Z,40.00,61.00
2026-06-01T18:33:00Z,40.00,61.00
2026-06-01T18:34:00Z,39.00,61.00
2026-06-01T18:38:00Z,39.00,61.00
2026-06-01T18:39:00Z,39.00,61.00
2026-06-01T18:50:00Z,39.00,61.00
2026-06-01T18:52:00Z,39.00,62.00
2026-06-01T18:54:00Z,39.00,62.00
2026-06-01T18:58:00Z,39.00,61.00
2026-06-01T19:02:00Z,39.00,61.00
2026-06-01T19:08:00Z,39.00,61.00
2026-06-01T19:11:00Z,39.00,61.00
2026-06-01T19:14:00Z,39.00,61.00
2026-06-01T19:15:00Z,39.00,61.00
2026-06-01T19:19:00Z,39.00,61.00
2026-06-01T19:22:00Z,39.00,61.00
2026-06-01T19:24:00Z,39.00,61.00
2026-06-01T19:30:00Z,41.00,61.00
2026-06-01T19:36:00Z,41.00,60.00
2026-06-01T19:37:00Z,41.00,58.00
2026-06-01T19:38:00Z,41.00,59.00
2026-06-01T19:42:00Z,41.00,59.00
2026-06-01T19:47:00Z,41.00,56.73
2026-06-01T19:49:00Z,41.00,59.00
2026-06-01T19:50:00Z,41.00,59.00
2026-06-01T19:52:00Z,41.00,59.00
2026-06-01T19:56:00Z,41.00,59.00
2026-06-01T19:58:00Z,41.00,59.00
2026-06-01T19:59:00Z,41.00,59.24
2026-06-01T20:01:00Z,41.00,58.00
2026-06-01T20:02:00Z,41.00,58.00
2026-06-01T20:03:00Z,41.00,58.00
2026-06-01T20:04:00Z,41.00,58.00
2026-06-01T20:05:00Z,42.95,58.00
2026-06-01T20:06:00Z,41.00,58.29
2026-06-01T20:07:00Z,39.00,63.48
2026-06-01T20:08:00Z,39.03,63.21
2026-06-01T20:09:00Z,31.95,64.79
2026-06-01T20:10:00Z,31.00,69.59
2026-06-01T20:11:00Z,31.03,70.76
2026-06-01T20:12:00Z,26.07,74.25
2026-06-01T20:13:00Z,24.00,76.53
2026-06-01T20:14:00Z,21.10,78.08
2026-06-01T20:15:00Z,21.40,79.18
2026-06-01T20:16:00Z,23.24,77.03
2026-06-01T20:17:00Z,19.17,81.06
2026-06-01T20:18:00Z,19.43,82.00
2026-06-01T20:19:00Z,17.00,82.33
2026-06-01T20:20:00Z,19.55,81.00
2026-06-01T20:21:00Z,19.55,81.86
2026-06-01T20:22:00Z,17.91,83.00
2026-06-01T20:23:00Z,19.57,81.99
2026-06-01T20:24:00Z,20.98,79.24
2026-06-01T20:25:00Z,20.01,79.95
2026-06-01T20:26:00Z,20.93,80.37
2026-06-01T20:27:00Z,23.31,76.04
2026-06-01T20:28:00Z,24.36,76.23
2026-06-01T20:29:00Z,23.00,76.49
2026-06-01T20:30:00Z,20.67,80.56
2026-06-01T20:31:00Z,22.03,78.07
2026-06-01T20:32:00Z,25.12,74.44
2026-06-01T20:33:00Z,27.00,73.43
2026-06-01T20:34:00Z,28.88,71.80
2026-06-01T20:35:00Z,28.36,73.30
2026-06-01T20:36:00Z,23.00,77.79
2026-06-01T20:37:00Z,21.87,78.00
2026-06-01T20:38:00Z,22.50,78.00
2026-06-01T20:39:00Z,20.06,79.88
2026-06-01T20:40:00Z,17.21,83.66
2026-06-01T20:41:00Z,16.08,84.00
2026-06-01T20:42:00Z,15.00,85.01
2026-06-01T20:43:00Z,15.00,86.00
2026-06-01T20:44:00Z,5.38,93.01
2026-06-01T20:45:00Z,2.13,97.22
2026-06-01T20:46:00Z,1.05,98.45
2026-06-01T20:47:00Z,1.00,99.00
