# event_ticker=KXATPMATCH-25JUL26DAVSHE
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Alejandro Davidovich Fokina
# fav_player=Ben Shelton
# dog_player=Alejandro Davidovich Fokina
# kalshi_date=2025-07-26
timestamp,Ben Shelton,Alejandro Davidovich Fokina
2025-07-26T14:40:00Z,,36.00
2025-07-26T15:13:00Z,72.00,36.00
2025-07-26T15:41:00Z,73.00,36.00
2025-07-26T15:44:00Z,73.00,29.00
2025-07-26T15:58:00Z,73.00,29.00
2025-07-26T16:05:00Z,73.00,29.00
2025-07-26T16:17:00Z,73.00,29.00
2025-07-26T16:19:00Z,73.00,29.00
2025-07-26T16:20:00Z,73.00,29.00
2025-07-26T16:22:00Z,73.00,29.00
2025-07-26T16:40:00Z,73.00,29.00
2025-07-26T17:04:00Z,73.00,29.00
2025-07-26T17:24:00Z,73.00,29.00
2025-07-26T18:14:00Z,73.00,29.00
2025-07-26T19:12:00Z,73.00,29.00
2025-07-26T19:30:00Z,72.40,29.00
2025-07-26T19:57:00Z,73.00,29.00
2025-07-26T20:05:00Z,74.00,29.00
2025-07-26T20:10:00Z,74.38,27.00
2025-07-26T20:11:00Z,75.00,27.00
2025-07-26T20:12:00Z,75.00,27.00
2025-07-26T20:14:00Z,75.00,27.00
2025-07-26T20:17:00Z,74.00,27.00
2025-07-26T20:20:00Z,74.00,27.00
2025-07-26T20:22:00Z,74.00,27.00
2025-07-26T20:29:00Z,74.00,27.00
2025-07-26T20:31:00Z,74.00,27.00
2025-07-26T20:49:00Z,74.00,27.00
2025-07-26T21:00:00Z,74.00,27.00
2025-07-26T21:03:00Z,74.00,27.00
2025-07-26T21:09:00Z,74.00,27.00
2025-07-26T21:28:00Z,74.00,27.00
2025-07-26T21:33:00Z,74.00,27.00
2025-07-26T22:03:00Z,74.00,27.00
2025-07-26T22:04:00Z,74.00,27.00
2025-07-26T22:09:00Z,74.00,28.75
2025-07-26T22:13:00Z,73.00,28.75
2025-07-26T22:21:00Z,73.00,28.75
2025-07-26T22:22:00Z,73.00,28.75
2025-07-26T22:30:00Z,73.00,28.75
2025-07-26T22:33:00Z,73.00,29.00
2025-07-26T22:35:00Z,73.00,29.00
2025-07-26T22:39:00Z,73.00,29.00
2025-07-26T22:41:00Z,73.00,29.00
2025-07-26T22:43:00Z,73.00,29.00
2025-07-26T22:50:00Z,73.00,29.00
2025-07-26T22:58:00Z,73.00,29.00
2025-07-26T23:00:00Z,73.00,29.00
2025-07-26T23:06:00Z,73.00,28.00
