# event_ticker=KXATPCHALLENGERMATCH-26MAY20DOSALC
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Max Alcala Gurri
# fav_player=Stefan Dostanic
# dog_player=Max Alcala Gurri
# kalshi_date=2026-05-20
timestamp,Stefan Dostanic,Max Alcala Gurri
2026-05-20T02:52:00Z,46.00,
2026-05-20T03:08:00Z,46.00,55.00
2026-05-20T03:29:00Z,46.00,55.00
2026-05-20T03:31:00Z,45.00,55.00
2026-05-20T04:48:00Z,46.00,55.00
2026-05-20T05:12:00Z,47.00,55.00
2026-05-20T05:50:00Z,47.00,55.00
2026-05-20T06:17:00Z,47.00,55.00
2026-05-20T06:36:00Z,47.00,55.00
2026-05-20T07:32:00Z,47.00,55.00
2026-05-20T07:34:00Z,47.00,55.00
2026-05-20T07:46:00Z,48.00,55.00
2026-05-20T08:04:00Z,48.00,54.00
2026-05-20T08:33:00Z,47.00,54.00
2026-05-20T08:58:00Z,47.17,54.00
2026-05-20T09:14:00Z,48.94,54.00
2026-05-20T09:29:00Z,48.00,54.00
2026-05-20T09:30:00Z,48.40,54.00
2026-05-20T09:31:00Z,48.40,53.99
2026-05-20T09:36:00Z,46.65,53.99
2026-05-20T09:37:00Z,48.00,53.99
2026-05-20T09:52:00Z,49.00,54.09
2026-05-20T09:56:00Z,48.00,54.09
2026-05-20T10:04:00Z,47.00,54.09
2026-05-20T10:28:00Z,46.00,54.09
2026-05-20T10:34:00Z,48.00,54.09
2026-05-20T10:43:00Z,48.00,54.09
2026-05-20T10:44:00Z,48.00,53.00
2026-05-20T10:47:00Z,48.00,53.00
2026-05-20T10:52:00Z,48.00,54.00
2026-05-20T10:56:00Z,48.00,54.00
2026-05-20T11:34:00Z,49.00,54.00
2026-05-20T11:35:00Z,49.00,52.48
2026-05-20T11:36:00Z,48.50,52.48
2026-05-20T11:37:00Z,50.00,52.48
2026-05-20T11:39:00Z,56.60,52.48
2026-05-20T11:40:00Z,64.00,52.48
2026-05-20T11:41:00Z,53.00,46.50
2026-05-20T11:43:00Z,55.00,48.00
2026-05-20T11:44:00Z,55.00,52.00
2026-05-20T11:45:00Z,46.00,53.39
2026-05-20T11:46:00Z,45.79,57.00
2026-05-20T11:47:00Z,39.26,60.17
2026-05-20T11:49:00Z,35.00,67.31
2026-05-20T11:50:00Z,37.00,67.31
2026-05-20T11:51:00Z,32.00,65.99
2026-05-20T11:52:00Z,32.00,71.00
2026-05-20T11:53:00Z,30.00,71.00
2026-05-20T11:54:00Z,30.28,71.00
2026-05-20T11:55:00Z,27.04,71.00
2026-05-20T11:56:00Z,30.88,69.29
2026-05-20T11:57:00Z,30.88,72.00
2026-05-20T11:58:00Z,30.00,72.00
2026-05-20T11:59:00Z,27.00,71.45
2026-05-20T12:01:00Z,25.50,73.80
2026-05-20T12:02:00Z,23.00,75.00
2026-05-20T12:03:00Z,21.25,76.38
2026-05-20T12:05:00Z,21.25,78.97
2026-05-20T12:06:00Z,20.00,81.00
2026-05-20T12:08:00Z,20.00,81.00
2026-05-20T12:11:00Z,17.01,82.98
2026-05-20T12:13:00Z,17.01,82.00
2026-05-20T12:14:00Z,20.99,80.00
2026-05-20T12:16:00Z,20.99,80.00
2026-05-20T12:17:00Z,24.59,81.00
2026-05-20T12:18:00Z,25.14,81.00
2026-05-20T12:20:00Z,24.00,82.00
2026-05-20T12:22:00Z,27.47,82.00
2026-05-20T12:23:00Z,19.55,81.00
2026-05-20T12:24:00Z,14.38,84.04
2026-05-20T12:25:00Z,14.38,88.68
2026-05-20T12:26:00Z,14.38,90.00
2026-05-20T12:28:00Z,7.88,93.20
2026-05-20T12:29:00Z,7.00,93.00
2026-05-20T12:30:00Z,8.72,92.00
2026-05-20T12:32:00Z,8.72,91.00
2026-05-20T12:33:00Z,6.78,94.00
2026-05-20T12:34:00Z,8.00,94.00
2026-05-20T12:35:00Z,7.85,93.00
2026-05-20T12:36:00Z,4.83,95.00
2026-05-20T12:37:00Z,4.01,96.10
2026-05-20T12:38:00Z,6.43,98.00
2026-05-20T12:39:00Z,6.43,98.00
2026-05-20T12:40:00Z,2.00,98.00
2026-05-20T12:41:00Z,2.00,99.00
2026-05-20T12:42:00Z,1.05,98.00
2026-05-20T12:43:00Z,1.05,99.00
2026-05-20T12:44:00Z,2.00,99.00
2026-05-20T12:45:00Z,2.00,98.00
2026-05-20T12:46:00Z,2.00,99.00
2026-05-20T12:47:00Z,2.00,98.00
2026-05-20T12:48:00Z,1.06,99.00
