# event_ticker=KXATPCHALLENGERMATCH-26MAR23ISOADD
# final_score=6-4 6-2
# match_winner=Dan Added
# fav_player=Dan Added
# dog_player=Kokoro Isomura
# kalshi_date=2026-03-23
timestamp,Dan Added,Kokoro Isomura
2026-03-22T18:45:00Z,80.00,
2026-03-22T19:10:00Z,80.00,
2026-03-22T21:01:00Z,80.00,20.00
2026-03-22T22:05:00Z,80.00,20.00
2026-03-22T22:55:00Z,80.00,20.00
2026-03-22T23:28:00Z,80.00,20.00
2026-03-23T01:59:00Z,80.00,20.00
2026-03-23T02:19:00Z,80.00,20.00
2026-03-23T02:31:00Z,80.82,20.00
2026-03-23T02:34:00Z,80.82,20.00
2026-03-23T02:43:00Z,81.00,20.00
2026-03-23T02:45:00Z,81.00,20.00
2026-03-23T02:46:00Z,81.00,20.00
2026-03-23T02:47:00Z,81.00,20.00
2026-03-23T02:48:00Z,81.00,20.00
2026-03-23T02:59:00Z,81.00,19.00
2026-03-23T03:12:00Z,81.00,20.00
2026-03-23T03:13:00Z,81.00,19.00
2026-03-23T03:27:00Z,81.00,21.00
2026-03-23T03:36:00Z,81.00,21.00
2026-03-23T03:39:00Z,81.00,21.00
2026-03-23T03:46:00Z,80.41,21.00
2026-03-23T03:47:00Z,81.00,21.00
2026-03-23T03:52:00Z,81.00,20.05
2026-03-23T03:53:00Z,81.00,20.05
2026-03-23T03:54:00Z,81.00,20.00
2026-03-23T04:01:00Z,81.00,20.00
2026-03-23T04:02:00Z,81.00,20.00
2026-03-23T04:05:00Z,80.00,20.00
2026-03-23T04:07:00Z,80.00,20.00
2026-03-23T04:08:00Z,81.00,21.00
2026-03-23T04:10:00Z,81.00,22.00
2026-03-23T04:11:00Z,81.00,22.00
2026-03-23T04:12:00Z,81.00,22.00
2026-03-23T04:16:00Z,80.00,22.00
2026-03-23T04:17:00Z,80.00,22.00
2026-03-23T04:18:00Z,80.00,21.77
2026-03-23T04:20:00Z,80.00,21.00
2026-03-23T04:21:00Z,80.00,21.00
