# event_ticker=KXATPCHALLENGERMATCH-26MAR28ALTBON
# final_score=6-2 2-6 6-1
# match_winner=Daniel Altmaier
# fav_player=Daniel Altmaier
# dog_player=Federico Bondioli
# kalshi_date=2026-03-28
timestamp,Daniel Altmaier,Federico Bondioli
2026-03-28T03:14:00Z,75.00,
2026-03-28T03:34:00Z,74.00,
2026-03-28T03:55:00Z,74.00,
2026-03-28T04:01:00Z,74.00,
2026-03-28T04:31:00Z,74.00,
2026-03-28T04:34:00Z,74.63,
2026-03-28T05:02:00Z,75.00,
2026-03-28T05:12:00Z,73.00,
2026-03-28T05:17:00Z,75.00,
2026-03-28T05:18:00Z,75.00,
2026-03-28T05:20:00Z,75.00,
2026-03-28T05:21:00Z,75.00,
2026-03-28T05:28:00Z,75.00,
2026-03-28T05:33:00Z,74.00,
2026-03-28T05:37:00Z,75.96,
2026-03-28T05:44:00Z,76.00,
2026-03-28T05:57:00Z,75.92,
2026-03-28T06:07:00Z,76.00,
2026-03-28T06:28:00Z,75.00,
2026-03-28T06:29:00Z,75.00,
2026-03-28T06:36:00Z,76.00,
2026-03-28T06:57:00Z,76.00,
2026-03-28T07:00:00Z,76.00,26.00
2026-03-28T07:03:00Z,76.00,26.00
2026-03-28T07:06:00Z,76.00,24.25
2026-03-28T07:17:00Z,76.00,24.25
2026-03-28T07:26:00Z,76.00,24.25
2026-03-28T07:35:00Z,75.97,24.25
2026-03-28T07:36:00Z,76.00,24.25
2026-03-28T07:39:00Z,76.00,24.25
2026-03-28T07:44:00Z,76.00,24.25
2026-03-28T07:47:00Z,76.00,25.00
2026-03-28T08:49:00Z,76.00,25.00
2026-03-28T09:02:00Z,76.00,25.00
2026-03-28T09:03:00Z,76.00,25.00
2026-03-28T09:05:00Z,76.93,25.00
2026-03-28T09:15:00Z,77.00,25.00
2026-03-28T09:42:00Z,77.00,25.00
2026-03-28T10:30:00Z,76.00,25.00
2026-03-28T10:50:00Z,76.00,25.00
2026-03-28T10:55:00Z,76.00,25.00
2026-03-28T11:25:00Z,76.00,25.00
2026-03-28T11:49:00Z,76.00,24.73
2026-03-28T11:58:00Z,76.00,24.73
2026-03-28T12:06:00Z,76.00,24.73
2026-03-28T12:08:00Z,76.00,24.73
2026-03-28T12:09:00Z,76.00,24.73
2026-03-28T12:12:00Z,76.00,24.73
2026-03-28T12:13:00Z,76.00,24.73
2026-03-28T12:14:00Z,76.81,24.73
2026-03-28T12:17:00Z,76.81,25.00
2026-03-28T12:20:00Z,77.00,25.00
2026-03-28T12:21:00Z,77.00,25.00
2026-03-28T12:22:00Z,77.00,25.00
2026-03-28T12:25:00Z,77.00,25.00
2026-03-28T12:30:00Z,77.00,25.00
