# event_ticker=KXATPCHALLENGERMATCH-26MAR16DAMCHO
# final_score=4-6 6-4 6-4
# score_resolution=6-4 4-6 4-6
# match_winner=Jan Choinski
# fav_player=Miguel Damas
# dog_player=Jan Choinski
# kalshi_date=2026-03-16
timestamp,Miguel Damas,Jan Choinski
2026-03-16T02:23:00Z,33.00,
2026-03-16T03:12:00Z,33.00,69.00
2026-03-16T03:32:00Z,33.00,70.00
2026-03-16T04:30:00Z,33.00,69.00
2026-03-16T05:45:00Z,33.00,70.00
2026-03-16T05:53:00Z,31.00,70.00
2026-03-16T07:10:00Z,31.00,70.00
2026-03-16T07:16:00Z,31.00,70.00
2026-03-16T07:30:00Z,31.00,70.00
2026-03-16T07:50:00Z,31.00,70.62
2026-03-16T08:17:00Z,31.00,71.00
2026-03-16T08:36:00Z,31.00,71.00
2026-03-16T11:01:00Z,29.00,71.00
2026-03-16T11:16:00Z,30.00,71.00
2026-03-16T11:37:00Z,30.00,71.00
2026-03-16T11:40:00Z,30.00,71.00
2026-03-16T11:53:00Z,30.00,71.00
2026-03-16T11:56:00Z,30.00,71.00
2026-03-16T12:28:00Z,31.00,71.00
2026-03-16T12:32:00Z,31.00,70.33
2026-03-16T12:35:00Z,31.00,70.33
2026-03-16T12:39:00Z,32.00,70.33
2026-03-16T12:40:00Z,32.00,70.92
2026-03-16T12:52:00Z,32.00,71.00
2026-03-16T12:53:00Z,31.00,71.90
2026-03-16T12:54:00Z,31.00,72.00
2026-03-16T12:58:00Z,31.00,71.00
2026-03-16T13:05:00Z,31.00,72.00
2026-03-16T13:06:00Z,31.00,72.00
2026-03-16T13:40:00Z,31.00,69.00
2026-03-16T13:41:00Z,33.00,70.00
2026-03-16T13:46:00Z,33.00,70.00
2026-03-16T13:47:00Z,33.00,70.00
2026-03-16T13:53:00Z,33.00,70.00
2026-03-16T13:54:00Z,33.00,70.00
2026-03-16T13:57:00Z,33.00,70.00
2026-03-16T14:00:00Z,33.00,70.00
2026-03-16T14:03:00Z,33.00,70.00
2026-03-16T14:07:00Z,33.00,70.00
2026-03-16T14:08:00Z,33.00,70.00
2026-03-16T14:11:00Z,33.00,70.00
2026-03-16T14:12:00Z,33.00,70.00
2026-03-16T14:13:00Z,32.73,74.63
2026-03-16T14:14:00Z,34.00,65.10
2026-03-16T14:15:00Z,35.00,68.00
2026-03-16T14:16:00Z,27.76,71.00
2026-03-16T14:17:00Z,33.00,72.49
2026-03-16T14:18:00Z,33.00,67.00
2026-03-16T14:19:00Z,35.00,67.00
2026-03-16T14:20:00Z,37.35,67.00
2026-03-16T14:21:00Z,43.81,56.61
2026-03-16T14:22:00Z,48.20,54.11
2026-03-16T14:23:00Z,47.87,53.29
2026-03-16T14:24:00Z,42.00,57.54
2026-03-16T14:25:00Z,39.00,63.64
2026-03-16T14:26:00Z,34.50,66.00
2026-03-16T14:27:00Z,35.26,66.97
2026-03-16T14:28:00Z,34.00,66.97
2026-03-16T14:29:00Z,46.81,60.99
2026-03-16T14:30:00Z,43.00,56.61
2026-03-16T14:31:00Z,46.06,51.00
2026-03-16T14:32:00Z,52.74,49.74
2026-03-16T14:33:00Z,47.66,56.98
2026-03-16T14:34:00Z,48.36,56.98
2026-03-16T14:35:00Z,51.58,49.07
2026-03-16T14:36:00Z,51.11,50.00
2026-03-16T14:37:00Z,54.14,49.81
2026-03-16T14:38:00Z,55.59,46.00
2026-03-16T14:39:00Z,57.00,47.88
2026-03-16T14:40:00Z,54.70,50.00
2026-03-16T14:41:00Z,53.44,47.68
2026-03-16T14:42:00Z,51.05,48.77
2026-03-16T14:43:00Z,53.51,47.45
2026-03-16T14:44:00Z,56.50,47.45
2026-03-16T14:45:00Z,58.25,40.79
2026-03-16T14:46:00Z,58.25,39.09
2026-03-16T14:47:00Z,62.69,38.70
2026-03-16T14:48:00Z,61.33,39.74
2026-03-16T14:49:00Z,60.63,41.73
2026-03-16T14:50:00Z,57.00,46.36
2026-03-16T14:51:00Z,55.04,45.42
2026-03-16T14:52:00Z,61.96,40.91
2026-03-16T14:53:00Z,64.38,39.08
2026-03-16T14:54:00Z,57.21,46.04
2026-03-16T14:55:00Z,44.51,53.12
2026-03-16T14:56:00Z,41.53,60.00
2026-03-16T14:57:00Z,42.00,60.00
2026-03-16T14:58:00Z,46.76,52.22
2026-03-16T14:59:00Z,59.46,46.28
2026-03-16T15:00:00Z,64.61,35.59
2026-03-16T15:01:00Z,64.56,35.91
2026-03-16T15:02:00Z,64.85,35.57
2026-03-16T15:03:00Z,63.33,38.91
2026-03-16T15:04:00Z,57.87,41.52
2026-03-16T15:05:00Z,62.70,39.57
2026-03-16T15:06:00Z,59.75,43.11
2026-03-16T15:07:00Z,66.65,34.60
2026-03-16T15:08:00Z,64.17,35.90
2026-03-16T15:09:00Z,64.08,40.85
2026-03-16T15:10:00Z,60.87,39.65
2026-03-16T15:11:00Z,64.00,39.25
2026-03-16T15:12:00Z,50.47,46.14
2026-03-16T15:13:00Z,52.00,50.00
2026-03-16T15:14:00Z,53.51,48.44
2026-03-16T15:15:00Z,53.98,47.19
2026-03-16T15:16:00Z,55.67,48.70
2026-03-16T15:17:00Z,48.89,51.63
2026-03-16T15:18:00Z,46.54,53.93
2026-03-16T15:19:00Z,49.99,50.10
2026-03-16T15:20:00Z,51.12,51.00
2026-03-16T15:21:00Z,48.90,52.03
2026-03-16T15:22:00Z,48.04,53.18
2026-03-16T15:23:00Z,48.04,54.35
2026-03-16T15:24:00Z,46.52,54.16
2026-03-16T15:25:00Z,48.47,50.97
2026-03-16T15:26:00Z,51.00,51.25
2026-03-16T15:27:00Z,57.14,42.00
2026-03-16T15:28:00Z,54.63,44.26
2026-03-16T15:29:00Z,56.52,45.79
2026-03-16T15:30:00Z,62.65,36.14
2026-03-16T15:31:00Z,67.26,32.46
2026-03-16T15:32:00Z,71.34,30.54
2026-03-16T15:33:00Z,74.83,26.20
2026-03-16T15:34:00Z,73.76,25.95
2026-03-16T15:35:00Z,69.31,30.10
2026-03-16T15:36:00Z,70.79,30.54
2026-03-16T15:37:00Z,66.68,33.05
2026-03-16T15:38:00Z,66.98,33.56
2026-03-16T15:39:00Z,71.83,31.08
2026-03-16T15:40:00Z,74.76,26.15
2026-03-16T15:41:00Z,75.01,26.00
2026-03-16T15:42:00Z,75.88,23.84
2026-03-16T15:43:00Z,81.00,18.16
2026-03-16T15:44:00Z,82.42,19.62
2026-03-16T15:45:00Z,76.73,25.15
2026-03-16T15:46:00Z,75.61,24.08
2026-03-16T15:47:00Z,73.33,27.23
2026-03-16T15:48:00Z,71.33,32.91
2026-03-16T15:49:00Z,72.67,31.31
2026-03-16T15:50:00Z,72.35,29.52
2026-03-16T15:51:00Z,76.25,28.12
2026-03-16T15:52:00Z,74.11,32.02
2026-03-16T15:53:00Z,59.35,41.53
2026-03-16T15:54:00Z,59.66,37.25
2026-03-16T15:55:00Z,48.31,54.22
2026-03-16T15:56:00Z,45.74,56.28
2026-03-16T15:57:00Z,40.43,59.98
2026-03-16T15:58:00Z,38.19,61.75
2026-03-16T15:59:00Z,36.30,63.77
2026-03-16T16:00:00Z,37.75,62.64
2026-03-16T16:01:00Z,37.92,61.37
2026-03-16T16:02:00Z,37.99,62.27
2026-03-16T16:03:00Z,38.00,63.02
2026-03-16T16:04:00Z,37.62,61.48
2026-03-16T16:05:00Z,39.00,60.61
2026-03-16T16:06:00Z,38.87,61.65
2026-03-16T16:07:00Z,29.05,71.21
2026-03-16T16:08:00Z,22.05,75.08
2026-03-16T16:09:00Z,20.26,80.78
2026-03-16T16:10:00Z,17.12,81.09
2026-03-16T16:11:00Z,15.16,83.11
2026-03-16T16:12:00Z,13.76,86.70
2026-03-16T16:13:00Z,14.75,85.45
2026-03-16T16:14:00Z,15.08,88.19
2026-03-16T16:15:00Z,18.26,81.82
2026-03-16T16:16:00Z,20.87,80.18
2026-03-16T16:17:00Z,25.00,77.69
2026-03-16T16:18:00Z,20.58,80.98
2026-03-16T16:19:00Z,18.85,83.34
2026-03-16T16:20:00Z,15.61,84.10
2026-03-16T16:21:00Z,26.04,71.05
2026-03-16T16:22:00Z,31.87,63.84
2026-03-16T16:23:00Z,36.74,63.24
2026-03-16T16:24:00Z,41.76,58.39
2026-03-16T16:25:00Z,38.49,61.59
2026-03-16T16:26:00Z,48.87,53.99
2026-03-16T16:27:00Z,52.44,48.65
2026-03-16T16:28:00Z,51.84,46.04
2026-03-16T16:29:00Z,48.03,53.19
2026-03-16T16:30:00Z,41.21,58.92
2026-03-16T16:31:00Z,44.18,54.98
2026-03-16T16:32:00Z,45.53,57.75
2026-03-16T16:33:00Z,41.70,64.31
2026-03-16T16:34:00Z,40.60,62.32
2026-03-16T16:35:00Z,50.04,48.09
2026-03-16T16:36:00Z,52.15,48.17
2026-03-16T16:37:00Z,46.49,53.70
2026-03-16T16:38:00Z,42.23,57.82
2026-03-16T16:39:00Z,41.53,59.78
2026-03-16T16:40:00Z,44.34,59.94
2026-03-16T16:41:00Z,38.95,65.14
2026-03-16T16:42:00Z,20.26,76.67
2026-03-16T16:43:00Z,10.76,89.86
2026-03-16T16:44:00Z,9.18,91.65
2026-03-16T16:45:00Z,3.61,95.82
2026-03-16T16:46:00Z,1.20,98.68
2026-03-16T16:47:00Z,1.00,98.98
2026-03-16T16:48:00Z,1.00,99.00
2026-03-16T16:49:00Z,1.00,99.00
2026-03-16T16:50:00Z,1.00,99.00
2026-03-16T16:51:00Z,1.00,99.00
2026-03-16T16:52:00Z,1.00,99.00
2026-03-16T16:53:00Z,1.00,99.00
