# event_ticker=KXATPCHALLENGERMATCH-26FEB25BERGAD
# final_score=6-3 6-0
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Robin Bertrand
# kalshi_date=2026-02-25
timestamp,Buvaysar Gadamauri,Robin Bertrand
2026-02-25T03:13:00Z,65.00,
2026-02-25T03:18:00Z,64.00,
2026-02-25T03:33:00Z,65.00,
2026-02-25T04:25:00Z,65.00,38.00
2026-02-25T04:42:00Z,66.00,38.00
2026-02-25T05:20:00Z,66.00,38.00
2026-02-25T05:42:00Z,66.00,38.00
2026-02-25T05:56:00Z,66.00,35.00
2026-02-25T06:11:00Z,66.00,35.00
2026-02-25T06:22:00Z,66.00,37.00
2026-02-25T06:27:00Z,65.00,37.00
2026-02-25T09:14:00Z,66.00,37.00
2026-02-25T09:37:00Z,66.00,37.00
2026-02-25T10:08:00Z,66.00,37.00
2026-02-25T10:34:00Z,66.00,37.00
2026-02-25T10:35:00Z,66.00,37.00
2026-02-25T10:42:00Z,66.00,37.00
2026-02-25T10:43:00Z,66.00,37.00
2026-02-25T10:50:00Z,66.00,37.00
2026-02-25T10:55:00Z,66.00,37.00
2026-02-25T11:15:00Z,66.00,37.00
2026-02-25T11:26:00Z,66.00,37.00
2026-02-25T11:28:00Z,66.00,37.00
2026-02-25T11:34:00Z,66.00,37.00
2026-02-25T11:36:00Z,66.00,37.00
2026-02-25T11:54:00Z,66.00,37.00
2026-02-25T11:55:00Z,66.00,37.00
2026-02-25T12:02:00Z,66.00,37.00
2026-02-25T12:08:00Z,66.00,37.00
2026-02-25T12:15:00Z,66.00,37.00
2026-02-25T12:21:00Z,65.00,37.00
2026-02-25T12:29:00Z,66.00,37.00
2026-02-25T12:30:00Z,66.00,34.61
2026-02-25T12:31:00Z,66.00,34.61
2026-02-25T12:32:00Z,66.00,34.61
2026-02-25T12:43:00Z,66.00,34.61
2026-02-25T12:48:00Z,66.00,36.00
2026-02-25T12:50:00Z,66.00,36.00
2026-02-25T12:52:00Z,66.00,36.00
2026-02-25T12:54:00Z,66.00,36.00
2026-02-25T12:55:00Z,65.00,36.00
2026-02-25T12:57:00Z,65.00,35.00
2026-02-25T13:01:00Z,67.37,35.00
2026-02-25T13:04:00Z,66.00,35.00
2026-02-25T13:06:00Z,66.00,35.00
2026-02-25T13:08:00Z,66.00,35.00
2026-02-25T13:09:00Z,67.26,35.00
2026-02-25T13:11:00Z,67.00,36.00
2026-02-25T13:12:00Z,67.28,32.07
2026-02-25T13:13:00Z,67.00,34.97
2026-02-25T13:14:00Z,67.00,35.00
2026-02-25T13:15:00Z,67.00,35.00
2026-02-25T13:16:00Z,66.83,35.34
2026-02-25T13:17:00Z,66.83,35.00
2026-02-25T13:18:00Z,65.00,37.82
2026-02-25T13:19:00Z,67.21,35.48
2026-02-25T13:20:00Z,68.35,33.74
2026-02-25T13:21:00Z,65.00,35.69
2026-02-25T13:22:00Z,63.00,36.22
2026-02-25T13:23:00Z,67.00,35.16
2026-02-25T13:24:00Z,63.34,36.88
2026-02-25T13:25:00Z,62.23,41.08
2026-02-25T13:26:00Z,63.53,38.16
2026-02-25T13:27:00Z,63.18,40.35
2026-02-25T13:28:00Z,67.77,34.00
2026-02-25T13:29:00Z,69.79,31.64
2026-02-25T13:30:00Z,67.78,31.96
2026-02-25T13:31:00Z,64.79,36.88
2026-02-25T13:32:00Z,64.02,37.52
2026-02-25T13:33:00Z,67.87,35.05
2026-02-25T13:34:00Z,68.69,32.28
2026-02-25T13:35:00Z,68.00,33.81
2026-02-25T13:36:00Z,68.00,32.98
2026-02-25T13:37:00Z,69.41,31.43
2026-02-25T13:38:00Z,70.43,28.99
2026-02-25T13:39:00Z,71.13,31.63
2026-02-25T13:40:00Z,67.84,35.22
2026-02-25T13:41:00Z,70.81,33.70
2026-02-25T13:42:00Z,71.20,26.64
2026-02-25T13:43:00Z,68.26,31.84
2026-02-25T13:44:00Z,67.17,33.89
2026-02-25T13:45:00Z,68.61,33.65
2026-02-25T13:46:00Z,76.51,26.22
2026-02-25T13:47:00Z,81.77,19.74
2026-02-25T13:48:00Z,84.43,17.75
2026-02-25T13:49:00Z,84.74,15.01
2026-02-25T13:50:00Z,85.00,14.85
2026-02-25T13:51:00Z,85.00,15.49
2026-02-25T13:52:00Z,85.18,15.85
2026-02-25T13:53:00Z,84.10,18.76
2026-02-25T13:54:00Z,81.95,19.04
2026-02-25T13:55:00Z,85.71,14.87
2026-02-25T13:56:00Z,83.81,18.64
2026-02-25T13:57:00Z,83.92,17.95
2026-02-25T13:58:00Z,82.54,18.24
2026-02-25T13:59:00Z,84.57,16.25
2026-02-25T14:00:00Z,85.91,15.73
2026-02-25T14:01:00Z,86.00,15.89
2026-02-25T14:02:00Z,86.00,15.97
2026-02-25T14:03:00Z,85.97,16.00
2026-02-25T14:04:00Z,86.74,14.39
2026-02-25T14:05:00Z,86.66,13.47
2026-02-25T14:06:00Z,89.51,9.41
2026-02-25T14:07:00Z,92.63,9.13
2026-02-25T14:08:00Z,92.95,7.09
2026-02-25T14:09:00Z,95.12,5.95
2026-02-25T14:10:00Z,95.42,3.70
2026-02-25T14:11:00Z,97.98,2.44
2026-02-25T14:12:00Z,98.19,2.21
2026-02-25T14:13:00Z,98.17,2.66
2026-02-25T14:14:00Z,98.80,1.96
2026-02-25T14:15:00Z,98.49,1.04
2026-02-25T14:16:00Z,99.00,2.39
2026-02-25T14:17:00Z,98.21,3.30
2026-02-25T14:18:00Z,98.27,2.75
2026-02-25T14:19:00Z,98.67,1.42
2026-02-25T14:20:00Z,99.00,1.13
2026-02-25T14:21:00Z,99.00,1.22
2026-02-25T14:22:00Z,99.00,1.00
2026-02-25T14:23:00Z,99.00,1.00
2026-02-25T14:24:00Z,99.00,1.00
2026-02-25T14:25:00Z,99.00,1.00
2026-02-25T14:26:00Z,99.00,1.00
2026-02-25T14:27:00Z,99.00,1.00
2026-02-25T14:28:00Z,99.00,1.00
2026-02-25T14:29:00Z,99.00,1.00
2026-02-25T14:30:00Z,99.00,1.00
2026-02-25T14:32:00Z,99.00,1.00
