# event_ticker=KXATPMATCH-26APR24NORMAC
# final_score=6-2 6-7(6) 7-6(5)
# score_resolution=2-6 7-6 6-7
# match_winner=Cameron Norrie
# fav_player=Tomas Machac
# dog_player=Cameron Norrie
# kalshi_date=2026-04-24
timestamp,Cameron Norrie,Tomas Machac
2026-04-24T04:47:00Z,46.00,
2026-04-24T04:48:00Z,46.00,
2026-04-24T04:49:00Z,46.00,56.00
2026-04-24T04:52:00Z,46.00,56.00
2026-04-24T04:53:00Z,46.00,56.00
2026-04-24T04:55:00Z,45.00,56.00
2026-04-24T04:57:00Z,46.00,56.00
2026-04-24T04:58:00Z,46.00,56.00
2026-04-24T04:59:00Z,46.00,56.00
2026-04-24T05:01:00Z,46.00,56.00
2026-04-24T05:02:00Z,45.77,56.00
2026-04-24T05:03:00Z,46.00,56.00
2026-04-24T05:05:00Z,46.00,56.00
2026-04-24T05:06:00Z,46.00,56.00
2026-04-24T05:07:00Z,46.00,56.00
2026-04-24T05:11:00Z,46.00,56.00
2026-04-24T05:13:00Z,46.00,56.00
2026-04-24T05:18:00Z,46.00,56.00
2026-04-24T05:20:00Z,46.00,56.00
2026-04-24T05:21:00Z,45.50,56.00
2026-04-24T05:22:00Z,45.50,56.00
2026-04-24T05:25:00Z,45.00,56.00
2026-04-24T05:28:00Z,45.00,55.00
2026-04-24T05:30:00Z,45.00,56.00
2026-04-24T05:31:00Z,45.00,56.00
2026-04-24T05:36:00Z,45.00,56.00
2026-04-24T05:39:00Z,45.00,56.00
2026-04-24T05:40:00Z,45.00,56.00
2026-04-24T05:42:00Z,45.00,56.00
2026-04-24T05:57:00Z,45.00,54.00
2026-04-24T06:09:00Z,45.00,54.00
2026-04-24T06:16:00Z,45.00,54.00
2026-04-24T06:29:00Z,45.00,54.00
2026-04-24T06:31:00Z,45.00,54.00
2026-04-24T06:32:00Z,45.00,55.95
2026-04-24T06:44:00Z,45.00,55.95
2026-04-24T06:49:00Z,45.00,55.95
2026-04-24T06:52:00Z,45.00,55.95
2026-04-24T07:16:00Z,45.00,56.00
2026-04-24T07:21:00Z,45.00,56.00
2026-04-24T07:26:00Z,45.00,56.00
2026-04-24T07:36:00Z,45.00,56.00
2026-04-24T07:45:00Z,45.00,56.00
2026-04-24T07:49:00Z,45.00,56.00
2026-04-24T08:02:00Z,45.00,56.00
2026-04-24T08:07:00Z,45.00,56.00
2026-04-24T08:17:00Z,45.00,56.00
2026-04-24T08:19:00Z,45.00,56.00
2026-04-24T08:28:00Z,45.00,56.00
2026-04-24T08:36:00Z,45.00,56.00
2026-04-24T08:39:00Z,45.00,56.00
2026-04-24T09:28:00Z,44.00,56.00
2026-04-24T09:46:00Z,44.99,56.00
2026-04-24T09:50:00Z,45.04,56.00
2026-04-24T09:53:00Z,45.04,56.00
2026-04-24T09:54:00Z,45.04,56.97
2026-04-24T10:04:00Z,45.04,56.00
2026-04-24T10:11:00Z,45.04,57.00
2026-04-24T10:17:00Z,45.00,57.00
2026-04-24T10:28:00Z,45.00,57.00
2026-04-24T10:29:00Z,45.00,56.94
2026-04-24T10:44:00Z,45.00,56.94
2026-04-24T10:45:00Z,45.00,57.00
2026-04-24T10:52:00Z,45.00,57.00
