# event_ticker=KXATPCHALLENGERMATCH-26APR22CREHER
# final_score=6-3 6-2
# match_winner=Cezar Cretu
# fav_player=Cezar (2001) Cretu
# dog_player=Pierre-Hugues Herbert
# kalshi_date=2026-04-22
timestamp,Cezar (2001) Cretu,Pierre-Hugues Herbert
2026-04-22T04:28:00Z,,50.00
2026-04-22T04:44:00Z,50.00,50.00
2026-04-22T05:23:00Z,49.00,53.92
2026-04-22T05:29:00Z,49.00,53.92
2026-04-22T07:24:00Z,49.00,53.92
2026-04-22T07:26:00Z,50.00,53.92
2026-04-22T07:57:00Z,50.00,53.92
2026-04-22T08:30:00Z,50.00,52.00
2026-04-22T08:39:00Z,47.14,52.00
2026-04-22T08:47:00Z,47.14,52.09
2026-04-22T09:33:00Z,50.00,52.09
2026-04-22T11:57:00Z,50.00,53.00
2026-04-22T12:10:00Z,50.00,53.00
2026-04-22T12:12:00Z,50.00,53.00
2026-04-22T12:36:00Z,50.00,52.42
2026-04-22T12:46:00Z,50.78,52.42
2026-04-22T13:11:00Z,51.00,52.42
2026-04-22T13:25:00Z,51.00,53.00
2026-04-22T13:31:00Z,51.00,53.18
2026-04-22T13:35:00Z,50.00,53.18
2026-04-22T13:58:00Z,49.00,53.18
2026-04-22T14:11:00Z,49.00,53.00
2026-04-22T14:13:00Z,49.00,53.00
2026-04-22T14:28:00Z,49.00,53.00
2026-04-22T14:34:00Z,49.00,53.00
2026-04-22T14:44:00Z,49.00,53.00
2026-04-22T14:48:00Z,49.00,50.00
2026-04-22T14:49:00Z,49.94,50.00
2026-04-22T14:55:00Z,49.94,52.00
2026-04-22T15:13:00Z,49.94,52.65
2026-04-22T15:20:00Z,51.06,52.65
2026-04-22T15:21:00Z,49.00,52.65
2026-04-22T15:22:00Z,50.00,52.65
2026-04-22T15:24:00Z,50.00,52.65
2026-04-22T15:25:00Z,50.00,52.65
2026-04-22T15:26:00Z,50.00,54.86
2026-04-22T15:27:00Z,50.00,54.45
2026-04-22T15:29:00Z,50.00,54.97
2026-04-22T15:47:00Z,47.00,54.97
2026-04-22T15:48:00Z,47.00,54.97
2026-04-22T15:50:00Z,47.00,54.97
2026-04-22T15:52:00Z,45.00,54.97
2026-04-22T15:53:00Z,47.00,53.00
2026-04-22T15:54:00Z,49.14,54.00
2026-04-22T15:55:00Z,50.99,49.90
2026-04-22T15:56:00Z,52.00,49.52
2026-04-22T15:57:00Z,53.55,46.74
2026-04-22T15:58:00Z,56.00,44.00
2026-04-22T15:59:00Z,51.00,45.00
2026-04-22T16:00:00Z,51.00,49.52
2026-04-22T16:01:00Z,49.00,52.00
2026-04-22T16:02:00Z,47.77,52.00
2026-04-22T16:03:00Z,47.61,52.00
2026-04-22T16:04:00Z,50.89,52.00
2026-04-22T16:06:00Z,52.42,52.00
2026-04-22T16:07:00Z,56.09,43.00
2026-04-22T16:08:00Z,56.00,43.00
2026-04-22T16:09:00Z,58.06,43.00
2026-04-22T16:10:00Z,55.83,46.41
2026-04-22T16:11:00Z,53.00,46.41
2026-04-22T16:12:00Z,56.67,41.57
2026-04-22T16:13:00Z,67.50,34.00
2026-04-22T16:14:00Z,68.03,31.18
2026-04-22T16:15:00Z,70.00,30.00
2026-04-22T16:17:00Z,71.00,31.00
2026-04-22T16:18:00Z,71.00,30.13
2026-04-22T16:19:00Z,71.00,29.66
2026-04-22T16:20:00Z,71.00,30.33
2026-04-22T16:21:00Z,71.00,30.33
2026-04-22T16:22:00Z,74.00,30.33
2026-04-22T16:24:00Z,77.13,24.36
2026-04-22T16:25:00Z,77.13,25.00
2026-04-22T16:26:00Z,73.74,25.00
2026-04-22T16:27:00Z,76.48,24.00
2026-04-22T16:28:00Z,79.00,23.00
2026-04-22T16:29:00Z,78.83,22.96
2026-04-22T16:30:00Z,76.21,22.79
2026-04-22T16:31:00Z,78.00,22.50
2026-04-22T16:32:00Z,75.00,26.00
2026-04-22T16:33:00Z,75.60,26.75
2026-04-22T16:34:00Z,73.24,27.01
2026-04-22T16:35:00Z,73.84,26.78
2026-04-22T16:36:00Z,73.54,25.90
2026-04-22T16:37:00Z,76.00,23.80
2026-04-22T16:38:00Z,76.05,23.80
2026-04-22T16:39:00Z,79.12,21.35
2026-04-22T16:40:00Z,85.37,15.15
2026-04-22T16:41:00Z,89.81,10.03
2026-04-22T16:42:00Z,89.86,11.13
2026-04-22T16:43:00Z,89.23,16.38
2026-04-22T16:44:00Z,92.14,9.40
2026-04-22T16:45:00Z,92.99,7.16
2026-04-22T16:46:00Z,93.13,7.88
2026-04-22T16:47:00Z,92.00,7.92
2026-04-22T16:48:00Z,93.05,7.99
2026-04-22T16:49:00Z,92.94,9.00
2026-04-22T16:50:00Z,94.00,7.17
2026-04-22T16:51:00Z,92.21,7.91
2026-04-22T16:52:00Z,94.08,6.06
2026-04-22T16:53:00Z,93.76,7.34
2026-04-22T16:54:00Z,94.25,5.49
2026-04-22T16:55:00Z,98.66,3.26
2026-04-22T16:56:00Z,97.48,1.38
2026-04-22T16:57:00Z,98.75,1.18
2026-04-22T16:58:00Z,99.00,1.00
2026-04-22T16:59:00Z,99.00,1.00
2026-04-22T17:00:00Z,99.00,1.00
2026-04-22T17:01:00Z,99.00,1.00
2026-04-22T17:02:00Z,99.00,1.00
2026-04-22T17:05:00Z,99.00,1.00
