# event_ticker=KXATPMATCH-25JUL31ZVEARN
# final_score=6-7(5) 6-3 6-2
# score_resolution=6-7 6-3 6-2
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Matteo Arnaldi
# kalshi_date=2025-07-31
timestamp,Alexander Zverev,Matteo Arnaldi
2025-07-31T13:13:00Z,,21.00
2025-07-31T13:18:00Z,73.00,21.00
2025-07-31T13:21:00Z,80.52,21.00
2025-07-31T13:22:00Z,77.00,21.00
2025-07-31T13:31:00Z,77.00,21.00
2025-07-31T13:42:00Z,77.00,21.00
2025-07-31T13:49:00Z,79.24,21.00
2025-07-31T14:10:00Z,79.24,21.00
2025-07-31T14:13:00Z,81.00,21.00
2025-07-31T14:22:00Z,81.00,21.00
2025-07-31T14:25:00Z,81.00,21.00
2025-07-31T14:28:00Z,80.00,21.00
2025-07-31T14:32:00Z,80.00,21.00
2025-07-31T15:14:00Z,80.00,21.00
2025-07-31T15:43:00Z,80.00,21.00
2025-07-31T15:49:00Z,80.00,21.00
2025-07-31T15:53:00Z,80.00,21.00
2025-07-31T15:55:00Z,80.00,21.00
2025-07-31T16:03:00Z,80.00,21.00
2025-07-31T16:12:00Z,80.00,21.00
2025-07-31T16:30:00Z,80.00,21.00
2025-07-31T16:36:00Z,80.00,21.00
2025-07-31T16:39:00Z,80.00,21.00
2025-07-31T16:44:00Z,80.00,21.00
2025-07-31T16:47:00Z,79.00,21.00
2025-07-31T17:18:00Z,79.00,21.00
2025-07-31T17:43:00Z,79.00,21.00
2025-07-31T18:09:00Z,79.00,21.00
2025-07-31T18:19:00Z,79.00,21.00
2025-07-31T18:35:00Z,79.00,21.00
2025-07-31T18:38:00Z,79.00,21.00
2025-07-31T19:13:00Z,79.00,21.00
2025-07-31T19:38:00Z,79.00,21.00
2025-07-31T19:45:00Z,79.00,21.00
2025-07-31T19:50:00Z,79.00,21.00
2025-07-31T19:52:00Z,79.00,21.00
2025-07-31T19:55:00Z,79.00,21.00
2025-07-31T20:02:00Z,79.00,21.00
2025-07-31T20:05:00Z,79.00,21.00
2025-07-31T20:11:00Z,79.00,21.00
2025-07-31T20:17:00Z,79.00,21.00
2025-07-31T20:22:00Z,79.00,21.00
2025-07-31T20:23:00Z,79.00,21.00
2025-07-31T20:26:00Z,79.00,21.00
2025-07-31T20:29:00Z,78.00,21.00
2025-07-31T20:31:00Z,78.00,21.00
2025-07-31T20:33:00Z,78.00,21.00
2025-07-31T20:34:00Z,78.00,21.00
2025-07-31T20:39:00Z,79.00,21.00
2025-07-31T20:44:00Z,79.00,21.11
2025-07-31T20:59:00Z,79.00,21.11
2025-07-31T21:00:00Z,79.00,21.11
2025-07-31T21:06:00Z,79.00,22.00
2025-07-31T21:07:00Z,79.00,22.00
2025-07-31T21:09:00Z,79.00,22.00
2025-07-31T21:11:00Z,79.00,22.00
2025-07-31T21:17:00Z,79.00,22.00
2025-07-31T21:22:00Z,79.00,22.00
2025-07-31T21:55:00Z,79.00,22.00
