# event_ticker=KXATPMATCH-26MAY06FEAMPE
# final_score=7-6(6) 4-6 6-2
# score_resolution=7-6 4-6 6-2
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Jacob Fearnley
# kalshi_date=2026-05-06
timestamp,Jacob Fearnley,Giovanni Mpetshi Perricard
2026-05-06T22:21:00Z,84.00,17.00
2026-05-06T22:22:00Z,84.00,17.00
2026-05-06T22:23:00Z,84.00,17.00
2026-05-06T22:24:00Z,83.10,16.47
2026-05-06T22:25:00Z,83.46,17.00
2026-05-06T22:26:00Z,83.67,16.00
2026-05-06T22:27:00Z,83.68,16.00
2026-05-06T22:28:00Z,83.27,17.00
2026-05-06T22:29:00Z,83.00,16.98
2026-05-06T22:30:00Z,83.69,16.69
2026-05-06T22:31:00Z,83.59,16.98
2026-05-06T22:32:00Z,83.95,16.01
2026-05-06T22:33:00Z,83.07,16.57
2026-05-06T22:34:00Z,83.07,17.00
2026-05-06T22:35:00Z,84.00,17.00
2026-05-06T22:36:00Z,84.00,17.00
2026-05-06T22:37:00Z,84.00,17.00
2026-05-06T22:38:00Z,83.43,17.00
2026-05-06T22:39:00Z,83.85,16.99
2026-05-06T22:40:00Z,84.00,17.00
2026-05-06T22:41:00Z,83.07,17.00
2026-05-06T22:42:00Z,83.06,17.00
2026-05-06T22:43:00Z,83.92,17.00
2026-05-06T22:45:00Z,84.00,17.00
2026-05-06T22:46:00Z,83.12,16.00
2026-05-06T22:47:00Z,84.00,16.20
2026-05-06T22:48:00Z,83.87,17.00
2026-05-06T22:49:00Z,84.00,16.50
2026-05-06T22:50:00Z,84.00,16.91
2026-05-06T22:51:00Z,84.00,16.84
2026-05-06T22:52:00Z,83.23,16.84
2026-05-06T22:53:00Z,84.00,17.00
2026-05-06T22:54:00Z,83.00,17.00
2026-05-06T22:55:00Z,84.00,16.65
2026-05-06T22:56:00Z,83.91,16.51
2026-05-06T22:57:00Z,84.00,16.51
2026-05-06T22:58:00Z,83.44,16.00
2026-05-06T22:59:00Z,84.00,17.00
2026-05-06T23:00:00Z,83.07,16.94
2026-05-06T23:01:00Z,83.43,16.90
2026-05-06T23:02:00Z,84.00,17.00
2026-05-06T23:03:00Z,84.00,17.00
2026-05-06T23:04:00Z,83.98,17.00
2026-05-06T23:05:00Z,83.65,17.00
2026-05-06T23:06:00Z,84.00,16.88
2026-05-06T23:07:00Z,84.00,16.00
2026-05-06T23:08:00Z,83.85,16.00
2026-05-06T23:09:00Z,84.00,16.26
2026-05-06T23:10:00Z,83.04,16.00
2026-05-06T23:11:00Z,83.14,17.00
2026-05-06T23:12:00Z,83.03,17.00
2026-05-06T23:13:00Z,84.00,17.00
2026-05-06T23:14:00Z,84.00,17.00
2026-05-06T23:15:00Z,84.00,16.00
2026-05-06T23:16:00Z,83.48,16.00
2026-05-06T23:17:00Z,84.00,17.00
2026-05-06T23:18:00Z,83.91,17.00
2026-05-06T23:19:00Z,83.91,16.39
2026-05-06T23:20:00Z,83.00,16.83
2026-05-06T23:21:00Z,83.09,16.26
2026-05-06T23:22:00Z,83.00,16.00
2026-05-06T23:23:00Z,83.00,16.00
2026-05-06T23:24:00Z,83.00,16.00
2026-05-06T23:25:00Z,84.00,17.00
2026-05-06T23:26:00Z,84.00,16.07
2026-05-06T23:27:00Z,83.43,16.07
2026-05-06T23:28:00Z,83.43,17.00
2026-05-06T23:29:00Z,84.00,16.67
2026-05-06T23:30:00Z,84.00,16.00
2026-05-06T23:31:00Z,83.65,17.00
2026-05-06T23:32:00Z,83.00,17.00
2026-05-06T23:33:00Z,83.00,17.00
2026-05-06T23:34:00Z,83.00,16.00
2026-05-06T23:36:00Z,83.68,16.00
2026-05-06T23:37:00Z,84.00,16.00
2026-05-06T23:38:00Z,83.86,17.00
2026-05-06T23:39:00Z,83.00,17.00
2026-05-06T23:40:00Z,83.00,17.00
2026-05-06T23:42:00Z,83.00,17.00
2026-05-06T23:43:00Z,84.00,17.00
2026-05-06T23:44:00Z,83.00,16.00
2026-05-06T23:45:00Z,83.00,17.00
2026-05-06T23:46:00Z,83.00,17.00
2026-05-06T23:47:00Z,83.02,16.05
2026-05-06T23:48:00Z,83.02,17.00
2026-05-06T23:50:00Z,83.02,16.00
2026-05-06T23:51:00Z,84.00,16.00
2026-05-06T23:52:00Z,83.00,16.00
2026-05-06T23:53:00Z,84.00,16.00
2026-05-06T23:54:00Z,84.00,16.00
2026-05-06T23:55:00Z,83.67,16.00
2026-05-06T23:56:00Z,83.67,17.00
