# event_ticker=KXATPCHALLENGERMATCH-26FEB25DAMSAN
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Miguel Damas
# fav_player=Carlos Sanchez Jover
# dog_player=Miguel Damas
# kalshi_date=2026-02-25
timestamp,Carlos Sanchez Jover,Miguel Damas
2026-02-25T05:06:00Z,52.65,
2026-02-25T06:24:00Z,52.65,52.00
2026-02-25T06:33:00Z,52.27,52.00
2026-02-25T08:38:00Z,52.82,52.00
2026-02-25T09:17:00Z,52.00,52.00
2026-02-25T09:18:00Z,52.00,52.00
2026-02-25T09:24:00Z,53.00,52.00
2026-02-25T10:38:00Z,53.00,51.00
2026-02-25T10:43:00Z,53.00,51.00
2026-02-25T10:44:00Z,53.00,51.00
2026-02-25T11:16:00Z,53.00,51.00
2026-02-25T11:31:00Z,52.40,51.00
2026-02-25T11:33:00Z,53.00,51.00
2026-02-25T11:42:00Z,54.00,51.00
2026-02-25T12:05:00Z,54.00,47.00
2026-02-25T12:08:00Z,54.00,47.00
2026-02-25T12:21:00Z,54.00,47.00
2026-02-25T12:25:00Z,54.00,47.00
2026-02-25T12:28:00Z,54.00,47.00
2026-02-25T12:30:00Z,53.00,47.00
2026-02-25T12:42:00Z,54.00,47.00
2026-02-25T12:54:00Z,54.00,47.00
2026-02-25T12:59:00Z,53.00,47.00
2026-02-25T13:00:00Z,53.00,49.69
2026-02-25T13:04:00Z,54.00,49.69
2026-02-25T13:05:00Z,54.00,49.69
2026-02-25T13:06:00Z,54.00,49.69
2026-02-25T13:09:00Z,54.00,49.69
2026-02-25T13:10:00Z,54.00,49.00
2026-02-25T13:11:00Z,54.00,49.00
2026-02-25T13:12:00Z,54.00,49.00
2026-02-25T13:13:00Z,53.00,49.00
2026-02-25T13:14:00Z,54.00,49.00
2026-02-25T13:21:00Z,54.00,49.00
2026-02-25T13:26:00Z,54.48,49.00
2026-02-25T13:28:00Z,55.00,49.00
2026-02-25T13:32:00Z,54.00,49.00
2026-02-25T13:33:00Z,54.00,48.89
2026-02-25T13:35:00Z,54.00,48.89
2026-02-25T13:36:00Z,54.93,48.89
2026-02-25T13:37:00Z,55.00,49.00
2026-02-25T13:38:00Z,54.00,48.00
2026-02-25T13:39:00Z,54.59,48.00
2026-02-25T13:40:00Z,54.90,49.00
2026-02-25T13:41:00Z,52.22,49.00
2026-02-25T13:42:00Z,57.66,45.27
2026-02-25T13:43:00Z,50.13,49.55
2026-02-25T13:44:00Z,46.79,54.88
2026-02-25T13:45:00Z,49.29,53.46
2026-02-25T13:46:00Z,49.44,54.00
2026-02-25T13:47:00Z,56.47,52.94
2026-02-25T13:48:00Z,50.51,54.60
2026-02-25T13:49:00Z,52.70,52.85
2026-02-25T13:50:00Z,52.70,52.37
2026-02-25T13:51:00Z,52.23,52.54
2026-02-25T13:52:00Z,51.55,51.24
2026-02-25T13:53:00Z,56.19,49.92
2026-02-25T13:54:00Z,52.60,48.11
2026-02-25T13:55:00Z,53.04,46.89
2026-02-25T13:56:00Z,46.80,53.72
2026-02-25T13:57:00Z,48.44,53.11
2026-02-25T13:58:00Z,45.60,57.59
2026-02-25T13:59:00Z,44.38,57.11
2026-02-25T14:00:00Z,38.92,62.73
2026-02-25T14:01:00Z,39.92,63.78
2026-02-25T14:02:00Z,44.16,57.71
2026-02-25T14:03:00Z,45.55,57.01
2026-02-25T14:04:00Z,51.58,52.61
2026-02-25T14:05:00Z,50.71,53.00
2026-02-25T14:06:00Z,59.08,50.47
2026-02-25T14:07:00Z,57.99,43.43
2026-02-25T14:08:00Z,60.20,44.31
2026-02-25T14:09:00Z,60.06,44.31
2026-02-25T14:10:00Z,56.30,47.63
2026-02-25T14:11:00Z,56.22,48.76
2026-02-25T14:12:00Z,49.12,51.71
2026-02-25T14:13:00Z,50.27,51.87
2026-02-25T14:14:00Z,47.87,53.45
2026-02-25T14:15:00Z,42.57,56.33
2026-02-25T14:16:00Z,39.50,58.46
2026-02-25T14:17:00Z,48.95,54.35
2026-02-25T14:18:00Z,43.29,58.00
2026-02-25T14:19:00Z,43.06,57.32
2026-02-25T14:20:00Z,47.18,55.58
2026-02-25T14:21:00Z,50.61,48.70
2026-02-25T14:22:00Z,51.11,51.93
2026-02-25T14:23:00Z,47.94,55.44
2026-02-25T14:24:00Z,45.61,60.06
2026-02-25T14:25:00Z,40.41,59.78
2026-02-25T14:26:00Z,28.72,71.26
2026-02-25T14:27:00Z,22.76,77.11
2026-02-25T14:28:00Z,21.77,77.94
2026-02-25T14:29:00Z,22.70,78.04
2026-02-25T14:30:00Z,21.06,78.86
2026-02-25T14:31:00Z,21.41,79.49
2026-02-25T14:32:00Z,17.53,81.19
2026-02-25T14:33:00Z,15.84,84.52
2026-02-25T14:34:00Z,9.87,90.55
2026-02-25T14:35:00Z,12.54,90.03
2026-02-25T14:36:00Z,8.90,91.58
2026-02-25T14:37:00Z,9.72,90.77
2026-02-25T14:38:00Z,8.67,92.93
2026-02-25T14:39:00Z,9.85,91.15
2026-02-25T14:40:00Z,10.24,89.08
2026-02-25T14:41:00Z,8.97,91.92
2026-02-25T14:42:00Z,10.95,89.76
2026-02-25T14:43:00Z,14.77,83.64
2026-02-25T14:44:00Z,19.38,82.11
2026-02-25T14:45:00Z,14.91,87.29
2026-02-25T14:46:00Z,18.13,86.34
2026-02-25T14:47:00Z,13.86,87.96
2026-02-25T14:48:00Z,7.07,92.60
2026-02-25T14:49:00Z,4.95,95.72
2026-02-25T14:50:00Z,3.60,96.89
2026-02-25T14:51:00Z,4.16,96.45
2026-02-25T14:52:00Z,1.89,98.27
2026-02-25T14:53:00Z,1.06,98.91
2026-02-25T14:54:00Z,3.37,98.06
2026-02-25T14:55:00Z,1.30,98.93
2026-02-25T14:56:00Z,1.00,99.00
2026-02-25T14:57:00Z,1.00,99.00
