# event_ticker=KXATPMATCH-26FEB22ALTDAV
# final_score=7-5 6-3
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Daniel Altmaier
# kalshi_date=2026-02-22
timestamp,Alejandro Davidovich Fokina,Daniel Altmaier
2026-02-23T12:27:00Z,86.00,
2026-02-23T12:39:00Z,86.00,
2026-02-23T12:42:00Z,86.00,
2026-02-23T12:53:00Z,84.00,
2026-02-23T13:29:00Z,85.00,
2026-02-23T13:50:00Z,85.00,16.00
2026-02-23T13:59:00Z,85.00,16.00
2026-02-23T14:29:00Z,85.00,16.00
2026-02-23T14:32:00Z,85.00,16.00
2026-02-23T14:59:00Z,85.00,16.00
2026-02-23T15:35:00Z,85.00,15.00
2026-02-23T15:43:00Z,86.00,15.00
2026-02-23T15:51:00Z,86.00,15.00
2026-02-23T15:55:00Z,86.00,15.00
2026-02-23T15:56:00Z,86.00,15.00
2026-02-23T15:57:00Z,86.00,15.00
2026-02-23T16:03:00Z,86.00,15.00
2026-02-23T16:11:00Z,86.00,15.00
2026-02-23T16:36:00Z,86.00,15.00
2026-02-23T16:51:00Z,86.00,15.00
2026-02-23T17:09:00Z,86.00,15.00
2026-02-23T17:17:00Z,86.00,15.00
2026-02-23T17:21:00Z,86.00,15.00
2026-02-23T17:27:00Z,85.00,15.00
2026-02-23T17:34:00Z,86.00,15.00
2026-02-23T17:38:00Z,86.00,15.00
2026-02-23T17:41:00Z,86.00,15.00
2026-02-23T18:05:00Z,86.00,15.00
2026-02-23T18:10:00Z,86.00,15.00
2026-02-23T18:33:00Z,86.65,15.00
2026-02-23T18:34:00Z,86.65,15.00
2026-02-23T18:35:00Z,87.00,15.00
2026-02-23T18:44:00Z,87.00,15.00
2026-02-23T18:45:00Z,87.00,15.00
2026-02-23T18:50:00Z,87.00,15.00
2026-02-23T18:51:00Z,87.00,15.00
2026-02-23T18:54:00Z,87.00,15.00
2026-02-23T18:55:00Z,86.00,15.00
2026-02-23T18:59:00Z,86.00,14.00
2026-02-23T19:14:00Z,87.00,14.00
2026-02-23T19:15:00Z,87.00,13.00
2026-02-23T19:26:00Z,87.00,13.00
2026-02-23T19:29:00Z,87.00,14.00
2026-02-23T19:39:00Z,87.00,13.00
2026-02-23T19:41:00Z,87.00,14.00
2026-02-23T19:44:00Z,87.00,14.00
2026-02-23T19:45:00Z,87.00,14.00
2026-02-23T19:53:00Z,87.00,14.00
2026-02-23T20:03:00Z,87.00,14.00
2026-02-23T20:04:00Z,87.00,14.00
2026-02-23T20:08:00Z,87.00,14.00
2026-02-23T20:16:00Z,87.00,14.00
2026-02-23T20:20:00Z,87.00,14.00
2026-02-23T20:24:00Z,87.00,14.00
2026-02-23T20:29:00Z,87.00,14.00
2026-02-23T20:32:00Z,87.00,14.00
2026-02-23T20:41:00Z,87.00,14.00
2026-02-23T20:59:00Z,87.00,14.00
2026-02-23T21:01:00Z,87.00,14.00
2026-02-23T21:03:00Z,87.00,14.00
2026-02-23T21:04:00Z,87.00,12.75
2026-02-23T21:10:00Z,87.00,14.00
2026-02-23T21:14:00Z,87.00,14.00
2026-02-23T21:18:00Z,87.00,14.00
