# event_ticker=KXATPMATCH-25SEP25KECMEN
# final_score=7-5 6-4
# match_winner=Jakub Mensik
# fav_player=Jakub Mensik
# dog_player=Miomir Kecmanovic
# kalshi_date=2025-09-25
timestamp,Jakub Mensik,Miomir Kecmanovic
2025-09-25T19:19:00Z,64.00,
2025-09-25T19:56:00Z,64.00,
2025-09-25T19:57:00Z,64.00,
2025-09-25T19:59:00Z,64.00,
2025-09-25T20:54:00Z,64.00,37.00
2025-09-25T21:36:00Z,63.00,36.00
2025-09-25T21:57:00Z,66.00,36.00
2025-09-25T21:58:00Z,66.00,36.00
2025-09-25T22:09:00Z,66.00,36.00
2025-09-25T22:17:00Z,66.00,36.00
2025-09-25T22:32:00Z,66.00,35.00
2025-09-25T22:35:00Z,66.00,36.00
2025-09-25T22:58:00Z,65.00,36.00
2025-09-25T23:08:00Z,65.00,36.00
2025-09-25T23:16:00Z,65.00,36.00
2025-09-25T23:52:00Z,65.00,36.00
2025-09-26T01:00:00Z,65.00,36.00
2025-09-26T01:02:00Z,65.00,36.00
2025-09-26T01:10:00Z,65.00,36.00
2025-09-26T01:28:00Z,65.00,36.00
2025-09-26T01:45:00Z,65.00,36.00
2025-09-26T01:57:00Z,65.00,36.00
2025-09-26T01:58:00Z,65.00,36.00
2025-09-26T01:59:00Z,65.00,35.00
2025-09-26T02:00:00Z,63.00,36.00
2025-09-26T02:03:00Z,66.00,36.00
2025-09-26T02:10:00Z,66.00,36.00
2025-09-26T02:12:00Z,64.00,36.00
2025-09-26T02:16:00Z,66.00,36.00
2025-09-26T02:19:00Z,66.00,36.00
2025-09-26T02:39:00Z,65.01,36.00
2025-09-26T02:43:00Z,65.50,35.00
2025-09-26T02:48:00Z,66.00,35.00
2025-09-26T02:54:00Z,66.00,35.00
2025-09-26T02:55:00Z,66.00,35.00
2025-09-26T02:56:00Z,66.00,35.00
2025-09-26T02:59:00Z,66.00,35.00
2025-09-26T03:07:00Z,66.00,35.00
2025-09-26T03:09:00Z,67.00,35.00
2025-09-26T03:10:00Z,67.00,35.00
2025-09-26T03:11:00Z,67.00,35.00
2025-09-26T03:12:00Z,67.00,35.00
2025-09-26T03:14:00Z,57.00,42.00
2025-09-26T03:15:00Z,53.31,45.67
2025-09-26T03:16:00Z,49.90,51.00
2025-09-26T03:17:00Z,49.29,51.00
2025-09-26T03:18:00Z,49.29,55.00
2025-09-26T03:19:00Z,46.61,55.98
2025-09-26T03:20:00Z,49.51,54.40
2025-09-26T03:21:00Z,51.49,51.65
2025-09-26T03:22:00Z,52.73,50.63
2025-09-26T03:23:00Z,52.73,47.28
2025-09-26T03:24:00Z,51.05,50.17
2025-09-26T03:25:00Z,54.16,52.58
2025-09-26T03:26:00Z,55.30,46.52
2025-09-26T03:27:00Z,56.97,46.18
2025-09-26T03:28:00Z,65.01,28.50
2025-09-26T03:29:00Z,72.11,31.22
2025-09-26T03:30:00Z,71.72,28.09
2025-09-26T03:31:00Z,71.00,30.00
2025-09-26T03:32:00Z,70.89,30.00
2025-09-26T03:33:00Z,71.36,28.79
2025-09-26T03:34:00Z,74.61,30.00
2025-09-26T03:35:00Z,77.02,26.83
2025-09-26T03:36:00Z,82.29,17.75
2025-09-26T03:37:00Z,84.71,15.93
2025-09-26T03:38:00Z,78.50,21.37
2025-09-26T03:39:00Z,80.07,21.78
2025-09-26T03:40:00Z,80.00,20.13
2025-09-26T03:41:00Z,81.18,19.11
2025-09-26T03:42:00Z,82.21,17.21
2025-09-26T03:43:00Z,83.00,16.00
2025-09-26T03:44:00Z,80.27,20.61
2025-09-26T03:45:00Z,79.50,21.36
2025-09-26T03:46:00Z,80.73,21.57
2025-09-26T03:47:00Z,83.93,16.00
2025-09-26T03:48:00Z,81.92,17.22
2025-09-26T03:49:00Z,78.47,22.50
2025-09-26T03:50:00Z,77.40,23.97
2025-09-26T03:51:00Z,81.03,18.36
2025-09-26T03:52:00Z,76.00,22.65
2025-09-26T03:53:00Z,76.08,22.63
2025-09-26T03:54:00Z,84.00,18.00
2025-09-26T03:55:00Z,84.00,16.00
2025-09-26T03:56:00Z,84.81,16.00
2025-09-26T03:57:00Z,83.99,17.30
2025-09-26T03:58:00Z,86.63,15.72
2025-09-26T03:59:00Z,86.00,16.00
2025-09-26T04:00:00Z,85.00,17.00
2025-09-26T04:01:00Z,86.42,14.00
2025-09-26T04:02:00Z,86.42,14.00
2025-09-26T04:03:00Z,84.81,16.46
2025-09-26T04:04:00Z,85.00,13.93
2025-09-26T04:05:00Z,82.82,17.58
2025-09-26T04:06:00Z,73.28,28.51
2025-09-26T04:07:00Z,67.31,32.92
2025-09-26T04:08:00Z,68.00,33.03
2025-09-26T04:09:00Z,64.02,37.00
2025-09-26T04:10:00Z,59.38,41.47
2025-09-26T04:11:00Z,59.36,40.92
2025-09-26T04:12:00Z,65.66,40.92
2025-09-26T04:13:00Z,66.39,33.66
2025-09-26T04:14:00Z,66.59,35.01
2025-09-26T04:15:00Z,62.10,38.07
2025-09-26T04:16:00Z,60.91,39.00
2025-09-26T04:17:00Z,66.99,37.61
2025-09-26T04:18:00Z,74.38,20.77
2025-09-26T04:19:00Z,81.63,15.06
2025-09-26T04:20:00Z,84.31,17.22
2025-09-26T04:21:00Z,83.01,17.00
2025-09-26T04:22:00Z,87.44,13.02
2025-09-26T04:23:00Z,85.99,14.00
2025-09-26T04:24:00Z,84.13,16.30
2025-09-26T04:25:00Z,81.74,19.00
2025-09-26T04:26:00Z,80.34,19.00
2025-09-26T04:27:00Z,86.30,16.42
2025-09-26T04:28:00Z,87.00,15.00
2025-09-26T04:29:00Z,87.10,11.84
2025-09-26T04:30:00Z,91.58,11.32
2025-09-26T04:31:00Z,94.94,5.00
2025-09-26T04:32:00Z,93.16,8.22
2025-09-26T04:33:00Z,94.79,8.22
2025-09-26T04:34:00Z,95.18,3.66
2025-09-26T04:35:00Z,96.00,3.66
2025-09-26T04:36:00Z,96.00,5.49
2025-09-26T04:37:00Z,95.00,5.49
2025-09-26T04:38:00Z,95.56,5.49
2025-09-26T04:39:00Z,88.27,12.00
2025-09-26T04:40:00Z,88.27,9.12
2025-09-26T04:41:00Z,88.27,5.00
2025-09-26T04:42:00Z,97.00,5.00
2025-09-26T04:43:00Z,96.99,5.00
2025-09-26T04:44:00Z,98.05,3.00
2025-09-26T04:45:00Z,96.95,4.00
2025-09-26T04:46:00Z,97.88,4.01
2025-09-26T04:47:00Z,96.78,3.67
2025-09-26T04:48:00Z,95.09,6.72
2025-09-26T04:49:00Z,90.00,6.72
2025-09-26T04:50:00Z,92.02,7.00
2025-09-26T04:51:00Z,89.86,10.01
2025-09-26T04:52:00Z,86.67,13.32
2025-09-26T04:53:00Z,88.00,13.32
2025-09-26T04:54:00Z,80.00,19.00
2025-09-26T04:55:00Z,79.00,26.70
2025-09-26T04:56:00Z,75.20,24.82
2025-09-26T04:57:00Z,71.12,26.47
2025-09-26T04:58:00Z,83.48,15.10
2025-09-26T04:59:00Z,85.03,13.61
2025-09-26T05:00:00Z,85.03,17.96
2025-09-26T05:01:00Z,85.59,39.00
2025-09-26T05:02:00Z,89.10,15.00
2025-09-26T05:03:00Z,95.99,9.31
2025-09-26T05:04:00Z,99.00,9.31
2025-09-26T05:05:00Z,99.00,9.31
