# event_ticker=KXATPMATCH-26MAY20BUTBUB
# final_score=6-4 6-3
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Edas Butvilas
# kalshi_date=2026-05-20
timestamp,Edas Butvilas,Alexander Bublik
2026-05-20T06:32:00Z,27.00,
2026-05-20T06:40:00Z,28.00,
2026-05-20T06:48:00Z,28.00,74.00
2026-05-20T06:59:00Z,28.00,74.00
2026-05-20T07:00:00Z,28.00,72.36
2026-05-20T07:02:00Z,28.00,72.36
2026-05-20T07:05:00Z,28.00,74.00
2026-05-20T07:15:00Z,28.00,74.00
2026-05-20T07:25:00Z,28.00,74.00
2026-05-20T07:27:00Z,28.00,74.00
2026-05-20T07:28:00Z,28.00,74.00
2026-05-20T07:37:00Z,28.00,74.00
2026-05-20T07:49:00Z,28.00,74.00
2026-05-20T07:59:00Z,27.00,74.00
2026-05-20T08:05:00Z,27.00,74.00
2026-05-20T08:10:00Z,27.00,74.00
2026-05-20T08:14:00Z,27.00,74.00
2026-05-20T08:31:00Z,28.00,74.00
2026-05-20T09:09:00Z,28.00,74.00
2026-05-20T10:18:00Z,28.00,74.00
2026-05-20T11:04:00Z,28.00,73.00
2026-05-20T11:05:00Z,28.00,73.00
2026-05-20T11:10:00Z,28.00,73.00
2026-05-20T11:13:00Z,28.00,73.00
2026-05-20T11:32:00Z,28.00,73.00
2026-05-20T11:34:00Z,28.00,73.00
2026-05-20T11:47:00Z,28.00,73.00
2026-05-20T12:03:00Z,28.00,73.00
2026-05-20T12:07:00Z,28.00,73.00
2026-05-20T12:08:00Z,28.00,73.00
2026-05-20T12:09:00Z,28.00,73.00
2026-05-20T12:13:00Z,28.00,73.00
2026-05-20T12:31:00Z,28.00,73.00
2026-05-20T12:34:00Z,28.00,73.00
2026-05-20T12:41:00Z,28.00,73.00
2026-05-20T12:43:00Z,28.00,73.00
2026-05-20T12:44:00Z,28.00,73.00
2026-05-20T12:45:00Z,28.00,73.00
2026-05-20T12:47:00Z,28.00,73.00
2026-05-20T12:48:00Z,28.00,73.00
2026-05-20T12:49:00Z,28.00,73.00
2026-05-20T12:53:00Z,28.00,73.00
2026-05-20T12:59:00Z,28.00,73.00
2026-05-20T13:01:00Z,28.00,73.00
2026-05-20T13:02:00Z,28.00,73.00
2026-05-20T13:04:00Z,28.00,73.00
2026-05-20T13:08:00Z,28.00,73.00
2026-05-20T13:09:00Z,28.00,73.00
2026-05-20T13:11:00Z,28.00,73.00
2026-05-20T13:14:00Z,28.00,73.00
2026-05-20T13:24:00Z,28.00,73.00
2026-05-20T13:28:00Z,28.00,73.00
