# event_ticker=KXATPCHALLENGERMATCH-26MAR31LAJUS
# final_score=7-6(4) 2-6 6-2
# score_resolution=6-7 6-2 2-6
# match_winner=Juan Manuel La Serna
# fav_player=Guido Ivan Justo
# dog_player=Juan Manuel La Serna
# kalshi_date=2026-03-31
timestamp,Guido Ivan Justo,Juan Manuel La Serna
2026-03-31T05:57:00Z,64.00,
2026-03-31T05:58:00Z,64.00,37.00
2026-03-31T09:27:00Z,64.44,37.00
2026-03-31T11:01:00Z,65.00,37.00
2026-03-31T11:06:00Z,65.00,37.00
2026-03-31T11:25:00Z,64.00,37.00
2026-03-31T11:59:00Z,64.00,37.00
2026-03-31T12:33:00Z,65.97,37.00
2026-03-31T13:17:00Z,65.00,37.00
2026-03-31T13:32:00Z,65.00,35.00
2026-03-31T14:01:00Z,65.00,35.00
2026-03-31T14:25:00Z,65.00,35.00
2026-03-31T14:31:00Z,65.00,35.00
2026-03-31T14:44:00Z,65.92,35.00
2026-03-31T14:50:00Z,66.00,35.00
2026-03-31T14:59:00Z,66.00,35.00
2026-03-31T15:00:00Z,66.00,35.00
2026-03-31T15:01:00Z,64.00,35.00
2026-03-31T15:24:00Z,66.00,35.00
2026-03-31T15:35:00Z,66.00,35.00
2026-03-31T15:37:00Z,66.00,35.00
2026-03-31T15:54:00Z,66.20,35.00
2026-03-31T15:55:00Z,66.00,35.00
2026-03-31T15:57:00Z,66.00,35.00
2026-03-31T15:58:00Z,64.01,37.41
2026-03-31T15:59:00Z,66.00,37.41
2026-03-31T16:08:00Z,63.25,37.41
2026-03-31T16:11:00Z,72.00,37.41
2026-03-31T16:12:00Z,69.99,37.41
2026-03-31T16:13:00Z,75.97,37.41
2026-03-31T16:14:00Z,72.90,36.88
2026-03-31T16:15:00Z,65.00,35.68
2026-03-31T16:16:00Z,64.00,42.27
2026-03-31T16:17:00Z,63.00,42.27
2026-03-31T16:18:00Z,67.00,43.02
2026-03-31T16:19:00Z,56.00,43.02
2026-03-31T16:20:00Z,58.00,45.00
2026-03-31T16:21:00Z,56.00,45.00
2026-03-31T16:22:00Z,60.00,45.00
2026-03-31T16:23:00Z,59.00,45.00
2026-03-31T16:24:00Z,64.00,45.00
2026-03-31T16:25:00Z,64.00,39.00
2026-03-31T16:26:00Z,64.00,33.00
2026-03-31T16:27:00Z,74.42,31.00
2026-03-31T16:28:00Z,73.17,27.09
2026-03-31T16:29:00Z,75.85,27.09
2026-03-31T16:30:00Z,75.85,26.00
2026-03-31T16:31:00Z,75.85,33.00
2026-03-31T16:32:00Z,69.00,33.00
2026-03-31T16:33:00Z,66.14,34.00
2026-03-31T16:34:00Z,72.96,34.00
2026-03-31T16:35:00Z,75.00,34.00
2026-03-31T16:36:00Z,75.00,23.97
2026-03-31T16:37:00Z,76.00,29.00
2026-03-31T16:38:00Z,72.00,32.00
2026-03-31T16:39:00Z,77.85,32.00
2026-03-31T16:40:00Z,78.00,32.00
2026-03-31T16:41:00Z,78.00,21.41
2026-03-31T16:42:00Z,77.00,21.41
2026-03-31T16:43:00Z,77.00,21.00
2026-03-31T16:44:00Z,76.00,25.97
2026-03-31T16:45:00Z,76.00,25.99
2026-03-31T16:47:00Z,76.00,30.00
2026-03-31T16:48:00Z,76.00,33.29
2026-03-31T16:49:00Z,67.00,33.29
