# event_ticker=KXATPCHALLENGERMATCH-26MAR16LLAJOR
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Pablo Llamas Ruiz
# fav_player=David Jorda Sanchis
# dog_player=Pablo Llamas Ruiz
# kalshi_date=2026-03-16
timestamp,David Jorda Sanchis,Pablo Llamas Ruiz
2026-03-17T02:49:00Z,,81.00
2026-03-17T04:38:00Z,19.00,81.00
2026-03-17T05:22:00Z,19.00,81.00
2026-03-17T06:00:00Z,19.00,80.00
2026-03-17T09:44:00Z,21.00,80.00
2026-03-17T11:11:00Z,21.00,81.00
2026-03-17T12:02:00Z,21.00,81.00
2026-03-17T12:30:00Z,21.00,81.00
2026-03-17T12:35:00Z,21.00,81.00
2026-03-17T12:36:00Z,21.00,81.00
2026-03-17T13:20:00Z,21.00,81.00
2026-03-17T13:25:00Z,21.00,81.00
2026-03-17T14:22:00Z,21.00,80.00
2026-03-17T14:23:00Z,21.00,80.00
2026-03-17T14:24:00Z,20.00,80.00
2026-03-17T14:25:00Z,20.00,81.55
2026-03-17T14:26:00Z,21.00,82.00
2026-03-17T14:27:00Z,21.00,80.00
2026-03-17T14:28:00Z,21.00,82.56
2026-03-17T14:29:00Z,21.00,82.11
2026-03-17T14:30:00Z,19.00,82.80
2026-03-17T14:31:00Z,20.00,80.00
2026-03-17T14:32:00Z,21.84,80.33
2026-03-17T14:33:00Z,19.02,84.00
2026-03-17T14:34:00Z,18.51,82.00
2026-03-17T14:35:00Z,22.82,78.00
2026-03-17T14:36:00Z,20.35,79.61
2026-03-17T14:37:00Z,19.00,82.00
2026-03-17T14:38:00Z,15.36,84.91
2026-03-17T14:39:00Z,14.63,86.30
2026-03-17T14:40:00Z,11.12,88.34
2026-03-17T14:41:00Z,11.15,89.88
2026-03-17T14:42:00Z,11.95,90.00
2026-03-17T14:43:00Z,9.95,90.81
2026-03-17T14:44:00Z,11.95,89.88
2026-03-17T14:45:00Z,11.00,90.94
2026-03-17T14:46:00Z,9.01,91.01
2026-03-17T14:47:00Z,11.00,91.73
2026-03-17T14:48:00Z,9.16,90.88
2026-03-17T14:49:00Z,8.00,91.53
2026-03-17T14:50:00Z,6.96,92.71
2026-03-17T14:51:00Z,7.00,93.71
2026-03-17T14:52:00Z,6.02,94.15
2026-03-17T14:53:00Z,6.18,93.97
2026-03-17T14:54:00Z,6.09,94.00
2026-03-17T14:55:00Z,7.37,93.08
2026-03-17T14:56:00Z,7.22,92.19
2026-03-17T14:57:00Z,7.45,92.02
2026-03-17T14:58:00Z,8.00,93.00
2026-03-17T14:59:00Z,9.00,92.46
2026-03-17T15:00:00Z,8.44,93.00
2026-03-17T15:01:00Z,6.92,92.93
2026-03-17T15:02:00Z,6.92,93.00
2026-03-17T15:03:00Z,7.00,93.00
2026-03-17T15:04:00Z,5.79,93.33
2026-03-17T15:05:00Z,4.48,95.64
2026-03-17T15:06:00Z,3.00,97.72
2026-03-17T15:07:00Z,2.95,97.17
2026-03-17T15:08:00Z,3.21,97.01
2026-03-17T15:09:00Z,3.02,97.00
2026-03-17T15:10:00Z,1.70,97.87
2026-03-17T15:11:00Z,2.12,98.42
2026-03-17T15:12:00Z,1.70,99.00
2026-03-17T15:13:00Z,3.00,97.39
2026-03-17T15:14:00Z,2.03,98.00
2026-03-17T15:15:00Z,2.81,98.00
2026-03-17T15:16:00Z,2.00,98.00
2026-03-17T15:17:00Z,2.00,98.77
2026-03-17T15:18:00Z,1.00,99.00
2026-03-17T15:19:00Z,1.16,98.63
2026-03-17T15:20:00Z,1.38,98.63
2026-03-17T15:21:00Z,1.38,99.00
2026-03-17T15:22:00Z,1.00,99.00
2026-03-17T15:23:00Z,1.00,99.00
2026-03-17T15:25:00Z,1.00,99.00
2026-03-17T15:26:00Z,1.00,99.00
2026-03-17T15:27:00Z,1.00,99.00
2026-03-17T15:28:00Z,1.00,99.00
2026-03-17T15:29:00Z,1.00,99.00
2026-03-17T15:30:00Z,1.00,99.00
2026-03-17T15:31:00Z,1.00,99.00
2026-03-17T15:32:00Z,1.00,99.00
