# event_ticker=KXATPCHALLENGERMATCH-26MAY14RIEKEC
# final_score=6-3 6-2
# match_winner=Miomir Kecmanovic
# fav_player=Miomir Kecmanovic
# dog_player=Leandro Riedi
# kalshi_date=2026-05-14
timestamp,Leandro Riedi,Miomir Kecmanovic
2026-05-13T21:26:00Z,,61.00
2026-05-13T21:46:00Z,,62.00
2026-05-13T21:56:00Z,,62.00
2026-05-13T22:01:00Z,,62.00
2026-05-13T22:48:00Z,,62.00
2026-05-13T22:51:00Z,40.00,62.00
2026-05-13T23:35:00Z,40.00,62.00
2026-05-14T00:21:00Z,40.00,62.00
2026-05-14T00:47:00Z,39.00,62.00
2026-05-14T01:11:00Z,39.00,64.00
2026-05-14T01:31:00Z,39.00,64.00
2026-05-14T01:59:00Z,39.00,65.00
2026-05-14T02:16:00Z,39.00,65.00
2026-05-14T02:27:00Z,39.00,65.00
2026-05-14T02:42:00Z,39.00,65.00
2026-05-14T02:43:00Z,39.00,65.00
2026-05-14T02:44:00Z,39.00,65.00
2026-05-14T03:02:00Z,39.00,65.00
2026-05-14T03:03:00Z,36.39,65.00
2026-05-14T03:07:00Z,36.39,65.00
2026-05-14T03:10:00Z,36.39,65.00
2026-05-14T03:11:00Z,36.39,64.00
2026-05-14T03:12:00Z,36.39,65.00
2026-05-14T03:13:00Z,36.39,65.00
2026-05-14T03:14:00Z,36.39,65.00
2026-05-14T03:16:00Z,36.00,65.00
2026-05-14T03:17:00Z,36.00,65.00
2026-05-14T03:18:00Z,36.00,65.00
2026-05-14T03:20:00Z,36.00,65.00
2026-05-14T03:21:00Z,36.00,65.00
2026-05-14T03:25:00Z,36.00,64.00
2026-05-14T03:39:00Z,36.00,64.00
2026-05-14T03:40:00Z,36.00,64.00
2026-05-14T03:41:00Z,37.00,64.00
2026-05-14T03:58:00Z,37.00,64.00
2026-05-14T04:13:00Z,37.00,64.00
2026-05-14T04:20:00Z,37.00,64.00
2026-05-14T04:21:00Z,37.00,63.02
2026-05-14T04:23:00Z,37.00,63.00
2026-05-14T04:29:00Z,37.00,63.00
2026-05-14T04:39:00Z,38.00,63.93
2026-05-14T04:47:00Z,38.00,64.00
2026-05-14T04:59:00Z,38.00,64.00
2026-05-14T05:01:00Z,38.00,64.00
2026-05-14T05:03:00Z,37.00,64.00
2026-05-14T05:07:00Z,37.00,65.00
2026-05-14T05:13:00Z,37.00,65.00
2026-05-14T05:52:00Z,37.00,65.00
2026-05-14T05:57:00Z,37.00,65.00
2026-05-14T06:02:00Z,37.00,65.00
2026-05-14T06:03:00Z,37.00,65.00
2026-05-14T06:05:00Z,37.00,65.00
2026-05-14T06:33:00Z,37.00,65.00
2026-05-14T06:41:00Z,37.00,65.00
2026-05-14T06:53:00Z,37.00,65.00
2026-05-14T09:01:00Z,37.00,68.00
2026-05-14T09:02:00Z,36.96,68.16
2026-05-14T09:03:00Z,36.96,68.89
2026-05-14T09:05:00Z,36.96,68.02
2026-05-14T09:06:00Z,36.96,66.00
2026-05-14T09:07:00Z,35.00,66.00
2026-05-14T09:08:00Z,33.28,66.84
2026-05-14T09:09:00Z,36.84,66.84
2026-05-14T09:10:00Z,34.00,67.41
2026-05-14T09:11:00Z,34.00,70.00
2026-05-14T09:12:00Z,28.00,72.00
2026-05-14T09:13:00Z,29.74,68.35
2026-05-14T09:14:00Z,32.00,68.98
2026-05-14T09:15:00Z,37.34,64.90
2026-05-14T09:16:00Z,38.00,61.66
2026-05-14T09:17:00Z,39.98,60.15
2026-05-14T09:18:00Z,44.00,55.38
2026-05-14T09:19:00Z,42.22,60.21
2026-05-14T09:20:00Z,39.00,61.77
2026-05-14T09:21:00Z,35.00,65.00
2026-05-14T09:22:00Z,35.47,63.73
2026-05-14T09:23:00Z,38.98,62.45
2026-05-14T09:24:00Z,40.26,56.00
2026-05-14T09:25:00Z,42.12,56.08
2026-05-14T09:26:00Z,49.99,51.59
2026-05-14T09:27:00Z,49.99,53.50
2026-05-14T09:28:00Z,40.39,57.23
2026-05-14T09:29:00Z,38.00,60.39
2026-05-14T09:30:00Z,38.00,62.00
2026-05-14T09:31:00Z,36.00,64.01
2026-05-14T09:32:00Z,38.00,64.01
2026-05-14T09:33:00Z,38.00,66.51
2026-05-14T09:34:00Z,30.76,69.88
2026-05-14T09:35:00Z,35.76,65.32
2026-05-14T09:36:00Z,34.48,64.55
2026-05-14T09:37:00Z,33.74,66.06
2026-05-14T09:38:00Z,34.53,67.60
2026-05-14T09:39:00Z,35.44,73.78
2026-05-14T09:40:00Z,20.50,76.34
2026-05-14T09:41:00Z,21.21,79.00
2026-05-14T09:42:00Z,23.04,77.98
2026-05-14T09:43:00Z,19.04,79.98
2026-05-14T09:44:00Z,20.00,80.00
2026-05-14T09:45:00Z,20.00,82.89
2026-05-14T09:46:00Z,18.92,81.16
2026-05-14T09:47:00Z,20.23,78.48
2026-05-14T09:48:00Z,21.00,78.45
2026-05-14T09:49:00Z,21.42,79.56
2026-05-14T09:50:00Z,20.00,80.57
2026-05-14T09:51:00Z,17.27,83.00
2026-05-14T09:52:00Z,18.00,83.00
2026-05-14T09:53:00Z,17.65,83.00
2026-05-14T09:54:00Z,15.00,84.91
2026-05-14T09:55:00Z,18.57,82.74
