# event_ticker=KXATPCHALLENGERMATCH-26APR06MARNAP
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Stefano Napolitano
# fav_player=Andres Martin
# dog_player=Stefano Napolitano
# kalshi_date=2026-04-06
timestamp,Andres Martin,Stefano Napolitano
2026-04-06T13:34:00Z,29.00,
2026-04-06T15:08:00Z,29.00,75.00
2026-04-06T15:10:00Z,29.00,75.00
2026-04-06T15:39:00Z,29.00,73.00
2026-04-06T16:10:00Z,29.00,77.00
2026-04-06T16:28:00Z,29.00,77.00
2026-04-06T16:44:00Z,29.00,77.00
2026-04-06T17:07:00Z,29.00,77.00
2026-04-06T17:17:00Z,29.00,77.00
2026-04-06T17:32:00Z,29.00,77.00
2026-04-06T17:33:00Z,29.00,78.00
2026-04-06T18:02:00Z,25.29,77.00
2026-04-06T18:03:00Z,25.29,78.00
2026-04-06T19:03:00Z,25.29,78.00
2026-04-06T19:13:00Z,25.29,78.00
2026-04-06T20:05:00Z,25.29,78.00
2026-04-06T20:56:00Z,25.29,77.00
2026-04-06T21:37:00Z,24.00,77.00
2026-04-06T21:47:00Z,24.00,77.00
2026-04-06T21:49:00Z,24.00,77.00
2026-04-06T21:59:00Z,24.00,77.00
2026-04-06T22:01:00Z,24.00,77.00
2026-04-06T22:04:00Z,24.00,77.00
2026-04-06T22:10:00Z,23.00,77.00
2026-04-06T22:12:00Z,23.00,77.00
2026-04-06T22:20:00Z,23.00,77.00
2026-04-06T22:26:00Z,24.00,77.00
2026-04-06T22:27:00Z,24.00,77.00
2026-04-06T22:33:00Z,24.00,77.00
2026-04-06T22:40:00Z,25.91,77.00
2026-04-06T22:45:00Z,25.91,77.00
2026-04-06T22:47:00Z,25.92,77.00
2026-04-06T22:48:00Z,25.41,77.00
2026-04-06T22:51:00Z,25.41,77.00
2026-04-06T22:52:00Z,25.41,77.00
2026-04-06T22:54:00Z,25.41,77.00
2026-04-06T22:55:00Z,25.66,77.00
2026-04-06T22:59:00Z,25.00,77.00
2026-04-06T23:06:00Z,25.00,77.00
2026-04-06T23:08:00Z,25.00,77.00
2026-04-06T23:10:00Z,25.00,77.00
2026-04-06T23:15:00Z,25.00,77.00
2026-04-06T23:17:00Z,25.85,77.00
2026-04-06T23:20:00Z,25.97,77.00
2026-04-06T23:23:00Z,25.97,77.00
2026-04-06T23:25:00Z,26.00,77.00
2026-04-06T23:28:00Z,26.00,77.00
2026-04-06T23:29:00Z,26.00,76.78
2026-04-06T23:48:00Z,26.00,74.00
2026-04-06T23:53:00Z,26.67,74.00
2026-04-06T23:54:00Z,27.00,75.51
2026-04-06T23:55:00Z,27.00,76.00
2026-04-06T23:56:00Z,26.81,76.92
2026-04-06T23:57:00Z,26.57,77.00
2026-04-06T23:58:00Z,26.33,77.00
2026-04-06T23:59:00Z,26.33,76.00
2026-04-07T00:00:00Z,27.00,76.00
2026-04-07T00:02:00Z,24.33,76.00
2026-04-07T00:03:00Z,26.00,76.24
2026-04-07T00:04:00Z,26.18,76.24
2026-04-07T00:05:00Z,26.00,76.24
2026-04-07T00:06:00Z,26.00,76.24
2026-04-07T00:07:00Z,26.00,76.00
2026-04-07T00:08:00Z,26.00,76.00
2026-04-07T00:09:00Z,26.00,76.00
2026-04-07T00:10:00Z,25.68,76.33
2026-04-07T00:11:00Z,25.14,74.85
2026-04-07T00:12:00Z,30.66,71.00
2026-04-07T00:13:00Z,30.77,70.13
2026-04-07T00:14:00Z,29.03,73.68
2026-04-07T00:15:00Z,27.18,75.00
2026-04-07T00:16:00Z,23.75,76.71
2026-04-07T00:17:00Z,18.69,80.52
2026-04-07T00:18:00Z,17.85,83.08
2026-04-07T00:19:00Z,16.00,83.08
2026-04-07T00:20:00Z,17.24,83.08
2026-04-07T00:21:00Z,17.27,83.90
2026-04-07T00:22:00Z,15.52,86.00
2026-04-07T00:23:00Z,16.98,85.67
2026-04-07T00:24:00Z,17.42,84.66
2026-04-07T00:25:00Z,15.48,85.47
2026-04-07T00:26:00Z,15.30,86.35
2026-04-07T00:27:00Z,13.25,87.27
2026-04-07T00:28:00Z,14.29,87.03
2026-04-07T00:29:00Z,13.29,87.95
2026-04-07T00:30:00Z,13.01,87.32
2026-04-07T00:31:00Z,11.97,89.41
2026-04-07T00:32:00Z,10.13,90.00
2026-04-07T00:33:00Z,9.30,90.84
2026-04-07T00:34:00Z,12.88,88.98
2026-04-07T00:35:00Z,12.12,88.71
2026-04-07T00:36:00Z,14.81,86.66
2026-04-07T00:37:00Z,17.95,84.97
2026-04-07T00:38:00Z,19.00,82.62
2026-04-07T00:39:00Z,18.53,83.02
2026-04-07T00:40:00Z,15.83,85.86
2026-04-07T00:41:00Z,17.35,84.57
2026-04-07T00:42:00Z,17.65,85.14
