# event_ticker=KXATPMATCH-25JUL21NORHAR
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Cameron Norrie
# fav_player=Billy Harris
# dog_player=Cameron Norrie
# kalshi_date=2025-07-21
timestamp,Billy Harris,Cameron Norrie
2025-07-21T06:54:00Z,29.00,
2025-07-21T12:01:00Z,29.00,83.99
2025-07-21T12:40:00Z,19.00,83.99
2025-07-21T14:30:00Z,19.00,84.00
2025-07-21T14:37:00Z,19.00,84.06
2025-07-21T14:40:00Z,19.00,84.00
2025-07-21T15:11:00Z,19.00,81.00
2025-07-21T15:42:00Z,19.00,81.00
2025-07-21T15:43:00Z,19.00,82.00
2025-07-21T15:49:00Z,19.00,82.00
2025-07-21T16:05:00Z,19.00,82.00
2025-07-21T16:44:00Z,19.00,82.00
2025-07-21T16:50:00Z,19.00,82.00
2025-07-21T17:21:00Z,19.00,82.00
2025-07-21T17:23:00Z,19.00,82.00
2025-07-21T17:24:00Z,19.00,82.00
2025-07-21T17:28:00Z,19.00,82.00
2025-07-21T17:34:00Z,19.00,82.00
2025-07-21T17:43:00Z,19.00,82.00
2025-07-21T18:29:00Z,19.00,85.00
2025-07-21T18:33:00Z,20.00,85.00
2025-07-21T18:34:00Z,20.00,85.00
2025-07-21T18:35:00Z,24.00,76.00
2025-07-21T18:36:00Z,22.57,76.00
2025-07-21T18:37:00Z,19.00,76.00
2025-07-21T18:38:00Z,18.00,76.00
2025-07-21T18:39:00Z,20.53,76.00
2025-07-21T18:40:00Z,19.00,76.00
2025-07-21T18:41:00Z,18.00,82.00
2025-07-21T18:42:00Z,19.00,82.00
2025-07-21T18:43:00Z,19.00,83.00
2025-07-21T18:44:00Z,19.00,86.00
2025-07-21T18:45:00Z,15.00,86.00
2025-07-21T18:46:00Z,15.00,85.00
2025-07-21T18:47:00Z,20.00,83.00
2025-07-21T18:48:00Z,18.00,82.17
2025-07-21T18:49:00Z,20.00,82.00
2025-07-21T18:50:00Z,20.00,82.00
2025-07-21T18:51:00Z,20.00,82.00
2025-07-21T18:53:00Z,19.00,84.00
2025-07-21T18:54:00Z,17.84,85.00
2025-07-21T18:55:00Z,16.29,85.00
2025-07-21T18:57:00Z,12.00,90.95
2025-07-21T18:58:00Z,12.00,89.00
2025-07-21T18:59:00Z,12.00,93.00
2025-07-21T19:00:00Z,12.00,93.00
2025-07-21T19:01:00Z,7.11,93.00
2025-07-21T19:02:00Z,7.00,95.00
2025-07-21T19:03:00Z,6.48,95.00
2025-07-21T19:05:00Z,8.31,95.00
2025-07-21T19:08:00Z,8.31,92.00
2025-07-21T19:09:00Z,8.31,94.00
2025-07-21T19:10:00Z,10.00,93.00
2025-07-21T19:11:00Z,8.00,93.00
2025-07-21T19:12:00Z,8.00,93.00
2025-07-21T19:13:00Z,8.00,94.71
2025-07-21T19:14:00Z,8.86,94.71
2025-07-21T19:15:00Z,9.43,90.00
2025-07-21T19:16:00Z,10.69,90.00
2025-07-21T19:17:00Z,9.02,92.00
2025-07-21T19:20:00Z,8.81,92.00
2025-07-21T19:21:00Z,8.00,93.07
2025-07-21T19:22:00Z,11.00,93.07
2025-07-21T19:23:00Z,12.01,89.70
2025-07-21T19:24:00Z,13.00,89.00
2025-07-21T19:25:00Z,13.00,89.00
2025-07-21T19:27:00Z,13.00,90.00
2025-07-21T19:28:00Z,9.53,90.00
2025-07-21T19:29:00Z,10.00,90.00
2025-07-21T19:30:00Z,10.00,91.00
2025-07-21T19:31:00Z,16.81,91.00
2025-07-21T19:33:00Z,13.00,89.36
2025-07-21T19:35:00Z,17.00,89.36
2025-07-21T19:37:00Z,18.00,86.00
2025-07-21T19:38:00Z,16.31,84.83
2025-07-21T19:39:00Z,15.99,87.00
2025-07-21T19:40:00Z,15.73,87.00
2025-07-21T19:41:00Z,15.93,85.00
2025-07-21T19:42:00Z,12.51,86.00
2025-07-21T19:43:00Z,20.00,83.00
2025-07-21T19:44:00Z,13.58,83.00
2025-07-21T19:45:00Z,13.58,88.00
2025-07-21T19:46:00Z,19.50,87.17
2025-07-21T19:47:00Z,16.00,86.00
2025-07-21T19:49:00Z,17.02,83.60
2025-07-21T19:50:00Z,24.92,81.09
2025-07-21T19:51:00Z,23.67,75.90
2025-07-21T19:52:00Z,28.33,74.03
2025-07-21T19:53:00Z,35.07,65.00
2025-07-21T19:54:00Z,29.00,69.78
2025-07-21T19:55:00Z,23.87,83.93
2025-07-21T19:56:00Z,27.72,75.23
2025-07-21T19:57:00Z,20.40,78.73
2025-07-21T19:58:00Z,20.40,82.00
2025-07-21T19:59:00Z,15.43,86.70
2025-07-21T20:00:00Z,14.26,87.54
2025-07-21T20:01:00Z,16.00,86.53
2025-07-21T20:02:00Z,18.96,83.87
2025-07-21T20:03:00Z,20.00,83.12
2025-07-21T20:04:00Z,20.00,86.00
2025-07-21T20:05:00Z,13.30,82.00
2025-07-21T20:06:00Z,29.00,83.00
2025-07-21T20:07:00Z,19.00,84.25
2025-07-21T20:08:00Z,17.00,90.30
2025-07-21T20:09:00Z,13.86,85.25
2025-07-21T20:10:00Z,6.53,90.20
2025-07-21T20:11:00Z,3.20,96.37
2025-07-21T20:12:00Z,4.02,96.49
2025-07-21T20:13:00Z,2.95,97.23
2025-07-21T20:14:00Z,1.15,98.01
2025-07-21T20:15:00Z,2.48,97.94
2025-07-21T20:16:00Z,4.00,95.34
2025-07-21T20:17:00Z,5.07,94.76
2025-07-21T20:18:00Z,5.07,99.00
2025-07-21T20:20:00Z,1.00,99.00
