# event_ticker=KXATPCHALLENGERMATCH-26MAY14BLACLA
# final_score=6-0 3-6 6-1
# match_winner=Dali Blanch
# fav_player=Dali Blanch
# dog_player=Jay Clarke
# kalshi_date=2026-05-14
timestamp,Dali Blanch,Jay Clarke
2026-05-14T00:09:00Z,43.00,
2026-05-14T00:28:00Z,42.00,
2026-05-14T00:48:00Z,42.00,61.00
2026-05-14T01:22:00Z,41.00,61.00
2026-05-14T02:26:00Z,41.00,61.00
2026-05-14T02:28:00Z,41.00,61.00
2026-05-14T03:03:00Z,41.00,61.00
2026-05-14T03:11:00Z,40.00,61.00
2026-05-14T03:12:00Z,40.00,61.00
2026-05-14T03:54:00Z,40.00,61.00
2026-05-14T04:05:00Z,40.00,61.00
2026-05-14T04:23:00Z,40.00,61.00
2026-05-14T04:27:00Z,41.00,61.00
2026-05-14T04:44:00Z,41.00,61.00
2026-05-14T04:49:00Z,41.00,59.00
2026-05-14T05:02:00Z,41.00,59.00
2026-05-14T05:33:00Z,41.00,59.00
2026-05-14T05:39:00Z,41.00,59.00
2026-05-14T05:41:00Z,40.00,59.00
2026-05-14T05:48:00Z,41.00,59.00
2026-05-14T06:36:00Z,41.00,59.00
2026-05-14T06:46:00Z,41.00,59.00
2026-05-14T09:02:00Z,41.00,59.00
2026-05-14T09:13:00Z,41.00,59.00
2026-05-14T09:26:00Z,41.00,59.00
2026-05-14T09:34:00Z,41.00,59.00
2026-05-14T09:59:00Z,41.00,59.00
2026-05-14T10:04:00Z,42.00,59.00
2026-05-14T10:05:00Z,42.00,59.00
2026-05-14T10:09:00Z,42.00,60.00
2026-05-14T10:10:00Z,45.00,60.00
2026-05-14T10:11:00Z,50.86,55.00
2026-05-14T10:12:00Z,51.11,49.24
2026-05-14T10:13:00Z,47.00,52.97
2026-05-14T10:14:00Z,52.00,52.97
2026-05-14T10:15:00Z,52.18,45.00
2026-05-14T10:16:00Z,56.44,42.00
2026-05-14T10:17:00Z,58.57,42.00
2026-05-14T10:18:00Z,59.93,41.20
2026-05-14T10:19:00Z,61.24,41.42
2026-05-14T10:20:00Z,58.00,41.00
2026-05-14T10:21:00Z,58.34,43.82
2026-05-14T10:22:00Z,63.00,43.82
2026-05-14T10:23:00Z,63.94,43.82
2026-05-14T10:24:00Z,65.79,34.17
2026-05-14T10:25:00Z,68.45,31.99
2026-05-14T10:26:00Z,71.87,28.00
2026-05-14T10:27:00Z,73.00,27.00
2026-05-14T10:28:00Z,73.00,27.00
2026-05-14T10:29:00Z,74.36,26.00
2026-05-14T10:30:00Z,75.04,24.03
2026-05-14T10:31:00Z,78.00,24.03
2026-05-14T10:32:00Z,79.00,24.03
2026-05-14T10:33:00Z,81.00,20.08
