# event_ticker=KXATPMATCH-25OCT18DUCMED
# final_score=6-7(8) 6-3 6-2
# score_resolution=6-7 6-3 6-2
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=James Duckworth
# kalshi_date=2025-10-18
timestamp,Daniil Medvedev,James Duckworth
2025-10-18T00:19:00Z,81.00,25.00
2025-10-18T00:36:00Z,81.00,31.00
2025-10-18T00:53:00Z,81.00,31.00
2025-10-18T01:34:00Z,81.00,31.00
2025-10-18T01:38:00Z,81.00,31.00
2025-10-18T01:46:00Z,73.00,31.00
2025-10-18T01:52:00Z,74.85,31.00
2025-10-18T01:57:00Z,80.00,31.00
2025-10-18T01:59:00Z,80.00,26.00
2025-10-18T02:07:00Z,80.00,26.00
2025-10-18T02:08:00Z,80.00,26.00
2025-10-18T02:09:00Z,80.00,26.00
2025-10-18T02:14:00Z,80.87,20.00
2025-10-18T02:17:00Z,80.87,19.00
2025-10-18T02:24:00Z,82.00,19.00
2025-10-18T02:29:00Z,82.00,19.00
2025-10-18T02:31:00Z,82.00,19.00
2025-10-18T02:35:00Z,82.00,19.78
2025-10-18T02:37:00Z,82.00,19.78
2025-10-18T02:40:00Z,82.00,20.00
2025-10-18T02:41:00Z,82.00,20.00
2025-10-18T02:46:00Z,82.00,20.00
2025-10-18T02:48:00Z,82.00,20.00
2025-10-18T02:50:00Z,82.00,20.00
2025-10-18T02:51:00Z,81.45,19.33
2025-10-18T02:54:00Z,81.45,20.00
2025-10-18T02:56:00Z,81.45,20.00
2025-10-18T02:59:00Z,81.45,19.54
2025-10-18T03:01:00Z,81.45,18.00
2025-10-18T03:02:00Z,81.45,20.00
2025-10-18T03:03:00Z,82.00,19.84
2025-10-18T03:11:00Z,82.00,20.00
2025-10-18T03:12:00Z,82.00,19.00
2025-10-18T03:15:00Z,82.00,20.00
2025-10-18T03:19:00Z,82.00,20.00
2025-10-18T03:21:00Z,82.00,20.00
2025-10-18T03:23:00Z,81.00,20.00
2025-10-18T03:29:00Z,81.00,20.00
2025-10-18T03:33:00Z,81.00,20.00
2025-10-18T03:38:00Z,81.00,20.00
2025-10-18T03:39:00Z,81.00,20.00
2025-10-18T03:40:00Z,81.00,20.00
2025-10-18T03:42:00Z,81.00,20.00
2025-10-18T03:44:00Z,81.00,20.00
2025-10-18T03:45:00Z,81.00,20.00
2025-10-18T03:50:00Z,81.00,20.00
2025-10-18T03:57:00Z,81.00,20.00
2025-10-18T04:00:00Z,81.00,20.00
2025-10-18T04:02:00Z,81.00,20.00
