# event_ticker=KXATPCHALLENGERMATCH-26MAY19SMISUR
# final_score=6-4 2-6 6-2
# score_resolution=4-6 6-2 2-6
# match_winner=Manish Sureshkumar
# fav_player=Keegan Smith
# dog_player=Manish Sureshkumar
# kalshi_date=2026-05-19
timestamp,Keegan Smith,Manish Sureshkumar
2026-05-19T03:55:00Z,84.31,
2026-05-19T04:10:00Z,84.31,16.00
2026-05-19T04:48:00Z,85.00,16.00
2026-05-19T05:16:00Z,85.00,15.00
2026-05-19T05:55:00Z,86.00,15.00
2026-05-19T07:22:00Z,86.69,15.00
2026-05-19T07:38:00Z,86.69,15.00
2026-05-19T07:58:00Z,86.00,15.00
2026-05-19T08:44:00Z,87.00,15.00
2026-05-19T09:09:00Z,87.00,15.00
2026-05-19T09:35:00Z,87.00,15.00
2026-05-19T10:21:00Z,87.00,15.00
2026-05-19T10:24:00Z,87.00,15.00
2026-05-19T10:54:00Z,86.00,15.00
2026-05-19T11:03:00Z,86.00,15.00
2026-05-19T11:04:00Z,85.00,15.00
2026-05-19T11:40:00Z,86.22,15.00
2026-05-19T11:50:00Z,87.00,15.00
2026-05-19T11:54:00Z,87.00,12.00
2026-05-19T11:56:00Z,87.67,10.00
2026-05-19T11:58:00Z,86.00,15.00
2026-05-19T11:59:00Z,79.92,18.00
2026-05-19T12:00:00Z,76.12,23.98
2026-05-19T12:01:00Z,76.12,29.00
2026-05-19T12:03:00Z,76.12,34.41
2026-05-19T12:04:00Z,68.00,34.41
2026-05-19T12:05:00Z,68.00,35.00
2026-05-19T12:06:00Z,69.00,31.18
2026-05-19T12:08:00Z,67.00,31.18
2026-05-19T12:10:00Z,70.44,31.18
2026-05-19T12:11:00Z,73.00,31.18
2026-05-19T12:12:00Z,82.37,17.00
2026-05-19T12:14:00Z,86.00,15.04
2026-05-19T12:15:00Z,87.00,14.00
2026-05-19T12:16:00Z,87.00,14.00
2026-05-19T12:17:00Z,87.00,14.00
2026-05-19T12:18:00Z,84.00,14.00
2026-05-19T12:19:00Z,84.00,18.89
2026-05-19T12:20:00Z,71.00,26.00
2026-05-19T12:21:00Z,63.88,31.00
2026-05-19T12:22:00Z,63.88,39.00
2026-05-19T12:23:00Z,60.96,39.00
2026-05-19T12:24:00Z,59.00,42.32
2026-05-19T12:25:00Z,59.00,46.49
2026-05-19T12:26:00Z,64.76,43.00
2026-05-19T12:27:00Z,68.58,31.67
2026-05-19T12:28:00Z,56.99,42.73
2026-05-19T12:29:00Z,54.88,45.46
2026-05-19T12:30:00Z,54.65,45.46
2026-05-19T12:31:00Z,44.85,56.24
2026-05-19T12:32:00Z,56.85,43.00
2026-05-19T12:33:00Z,57.00,43.00
2026-05-19T12:34:00Z,52.00,50.00
2026-05-19T12:35:00Z,49.97,51.57
2026-05-19T12:36:00Z,49.76,49.30
2026-05-19T12:37:00Z,50.88,48.00
2026-05-19T12:38:00Z,51.89,48.00
2026-05-19T12:39:00Z,52.00,48.00
2026-05-19T12:40:00Z,54.48,48.00
2026-05-19T12:41:00Z,60.42,42.47
2026-05-19T12:42:00Z,65.12,34.55
2026-05-19T12:43:00Z,69.13,30.04
2026-05-19T12:44:00Z,72.69,26.68
2026-05-19T12:45:00Z,73.00,28.00
2026-05-19T12:46:00Z,72.73,28.00
2026-05-19T12:47:00Z,68.01,31.96
2026-05-19T12:48:00Z,70.86,30.06
2026-05-19T12:49:00Z,72.04,30.95
2026-05-19T12:50:00Z,73.31,27.00
2026-05-19T12:51:00Z,73.00,27.00
2026-05-19T12:52:00Z,74.99,26.27
2026-05-19T12:54:00Z,76.00,26.27
2026-05-19T12:55:00Z,75.61,24.00
2026-05-19T12:56:00Z,75.81,20.00
2026-05-19T12:57:00Z,78.98,20.00
2026-05-19T12:58:00Z,78.85,21.00
2026-05-19T12:59:00Z,79.00,22.00
2026-05-19T13:00:00Z,79.00,22.00
2026-05-19T13:01:00Z,78.34,22.00
2026-05-19T13:02:00Z,78.60,21.00
2026-05-19T13:03:00Z,77.35,19.29
2026-05-19T13:04:00Z,79.92,28.71
2026-05-19T13:05:00Z,70.29,30.66
2026-05-19T13:06:00Z,77.90,24.02
2026-05-19T13:07:00Z,73.59,35.67
2026-05-19T13:08:00Z,61.92,48.11
2026-05-19T13:09:00Z,53.94,48.54
2026-05-19T13:10:00Z,52.67,48.54
2026-05-19T13:11:00Z,49.44,49.95
2026-05-19T13:12:00Z,53.87,50.18
2026-05-19T13:13:00Z,44.42,55.44
2026-05-19T13:14:00Z,39.97,59.05
2026-05-19T13:15:00Z,41.84,59.10
2026-05-19T13:16:00Z,51.56,55.00
2026-05-19T13:17:00Z,55.47,55.00
2026-05-19T13:18:00Z,62.06,52.01
2026-05-19T13:19:00Z,62.15,43.49
2026-05-19T13:20:00Z,56.05,50.00
2026-05-19T13:21:00Z,51.18,53.25
2026-05-19T13:22:00Z,49.25,52.76
2026-05-19T13:23:00Z,54.98,45.17
2026-05-19T13:24:00Z,53.94,48.05
2026-05-19T13:25:00Z,66.44,32.88
2026-05-19T13:26:00Z,53.25,46.58
2026-05-19T13:27:00Z,45.07,53.48
2026-05-19T13:28:00Z,45.86,54.77
2026-05-19T13:29:00Z,52.36,48.18
2026-05-19T13:30:00Z,51.74,47.16
2026-05-19T13:31:00Z,45.60,55.86
2026-05-19T13:32:00Z,34.34,66.14
2026-05-19T13:33:00Z,33.34,69.85
2026-05-19T13:34:00Z,22.77,84.66
2026-05-19T13:35:00Z,6.82,93.23
2026-05-19T13:36:00Z,5.75,94.44
2026-05-19T13:37:00Z,5.05,95.60
2026-05-19T13:38:00Z,4.98,95.04
2026-05-19T13:39:00Z,1.90,98.33
2026-05-19T13:40:00Z,1.00,99.00
2026-05-19T13:42:00Z,1.00,99.00
