# event_ticker=KXATPMATCH-26FEB15KECBEL
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Miomir Kecmanovic
# fav_player=Mattia Bellucci
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-02-15
timestamp,Mattia Bellucci,Miomir Kecmanovic
2026-02-17T12:38:00Z,,69.00
2026-02-17T13:06:00Z,,69.00
2026-02-17T13:14:00Z,,69.00
2026-02-17T13:16:00Z,,69.00
2026-02-17T13:17:00Z,,69.00
2026-02-17T13:29:00Z,,69.00
2026-02-17T13:37:00Z,,70.00
2026-02-17T14:12:00Z,,70.00
2026-02-17T14:14:00Z,,70.00
2026-02-17T14:31:00Z,,70.00
2026-02-17T14:49:00Z,30.64,70.00
2026-02-17T15:04:00Z,30.64,69.00
2026-02-17T15:05:00Z,30.64,69.00
2026-02-17T15:12:00Z,30.64,69.00
2026-02-17T15:20:00Z,30.64,69.00
2026-02-17T15:29:00Z,30.64,69.00
2026-02-17T15:31:00Z,30.64,69.00
2026-02-17T15:34:00Z,30.64,69.00
2026-02-17T15:40:00Z,30.64,69.00
2026-02-17T15:50:00Z,32.00,69.00
2026-02-17T15:59:00Z,32.00,69.00
2026-02-17T16:00:00Z,32.00,69.00
2026-02-17T16:01:00Z,32.00,69.00
2026-02-17T16:03:00Z,32.00,69.00
2026-02-17T16:10:00Z,32.00,69.00
2026-02-17T16:17:00Z,32.00,69.00
2026-02-17T16:41:00Z,32.00,69.00
2026-02-17T16:43:00Z,32.00,69.00
2026-02-17T16:49:00Z,32.00,69.00
2026-02-17T16:50:00Z,32.00,67.48
2026-02-17T17:21:00Z,32.00,68.00
2026-02-17T17:23:00Z,32.00,68.00
2026-02-17T17:26:00Z,31.00,68.00
2026-02-17T17:27:00Z,31.00,68.00
2026-02-17T17:28:00Z,31.00,68.67
2026-02-17T17:31:00Z,31.00,69.00
2026-02-17T17:50:00Z,31.00,69.00
2026-02-17T17:52:00Z,32.00,69.00
2026-02-17T17:58:00Z,32.00,69.00
2026-02-17T18:04:00Z,32.00,69.00
2026-02-17T18:08:00Z,32.00,69.00
2026-02-17T18:09:00Z,32.00,69.00
2026-02-17T18:12:00Z,32.00,69.00
2026-02-17T18:20:00Z,31.00,69.00
2026-02-17T18:24:00Z,32.00,69.00
2026-02-17T18:27:00Z,32.00,69.00
2026-02-17T18:34:00Z,32.00,69.00
