# event_ticker=KXATPCHALLENGERMATCH-26MAR10MAEBEL
# final_score=6-1 6-1
# score_resolution=1-6 1-6
# match_winner=Mattia Bellucci
# fav_player=Francesco Maestrelli
# dog_player=Mattia Bellucci
# kalshi_date=2026-03-10
timestamp,Francesco Maestrelli,Mattia Bellucci
2026-03-10T13:26:00Z,49.00,54.00
2026-03-10T13:29:00Z,49.00,59.00
2026-03-10T13:44:00Z,36.00,67.00
2026-03-10T13:53:00Z,36.00,67.00
2026-03-10T14:52:00Z,36.00,65.00
2026-03-10T14:58:00Z,36.00,65.00
2026-03-10T15:12:00Z,38.00,64.00
2026-03-10T15:27:00Z,38.00,65.00
2026-03-10T15:52:00Z,38.00,64.00
2026-03-10T16:24:00Z,37.00,64.00
2026-03-10T16:27:00Z,37.00,64.00
2026-03-10T17:16:00Z,37.00,64.00
2026-03-10T19:24:00Z,37.00,64.00
2026-03-10T20:08:00Z,36.00,64.00
2026-03-10T20:52:00Z,36.00,64.00
2026-03-10T20:54:00Z,38.00,64.00
2026-03-10T20:55:00Z,38.00,64.00
2026-03-10T21:50:00Z,38.00,64.00
2026-03-10T21:53:00Z,38.00,64.00
2026-03-10T22:19:00Z,38.00,64.00
2026-03-10T22:21:00Z,37.00,64.00
2026-03-10T22:37:00Z,36.00,66.12
2026-03-10T22:42:00Z,36.00,66.12
2026-03-10T22:43:00Z,36.00,66.12
2026-03-10T22:44:00Z,37.00,66.12
2026-03-10T22:59:00Z,36.00,66.00
2026-03-10T23:00:00Z,36.00,66.00
2026-03-10T23:08:00Z,37.00,66.00
2026-03-10T23:29:00Z,36.00,66.00
2026-03-10T23:40:00Z,37.00,66.00
2026-03-10T23:42:00Z,36.00,66.00
2026-03-10T23:45:00Z,34.00,66.00
2026-03-10T23:48:00Z,34.00,67.00
2026-03-10T23:50:00Z,34.00,67.00
2026-03-10T23:51:00Z,34.00,67.28
2026-03-10T23:56:00Z,34.00,67.00
2026-03-10T23:57:00Z,34.00,67.00
2026-03-10T23:59:00Z,34.00,67.00
2026-03-11T00:14:00Z,35.00,67.00
2026-03-11T00:15:00Z,35.00,67.00
2026-03-11T00:17:00Z,35.00,67.00
2026-03-11T00:18:00Z,35.00,67.00
2026-03-11T00:21:00Z,35.00,67.00
2026-03-11T00:22:00Z,35.00,67.00
2026-03-11T00:23:00Z,35.00,67.00
2026-03-11T00:25:00Z,35.00,67.00
2026-03-11T00:26:00Z,35.00,67.00
2026-03-11T00:27:00Z,35.00,67.00
2026-03-11T00:28:00Z,35.00,67.00
2026-03-11T00:29:00Z,36.17,67.00
2026-03-11T00:30:00Z,36.50,67.00
2026-03-11T00:31:00Z,36.28,64.00
2026-03-11T00:32:00Z,37.00,64.00
2026-03-11T00:33:00Z,37.00,65.66
2026-03-11T00:34:00Z,37.30,65.00
2026-03-11T00:35:00Z,37.00,65.00
2026-03-11T00:36:00Z,37.00,65.94
2026-03-11T00:37:00Z,37.00,66.00
2026-03-11T00:38:00Z,37.30,66.00
2026-03-11T00:39:00Z,34.09,66.00
2026-03-11T00:40:00Z,35.63,68.00
2026-03-11T00:41:00Z,36.86,67.00
2026-03-11T00:42:00Z,33.99,68.69
2026-03-11T00:43:00Z,29.70,70.75
2026-03-11T00:44:00Z,25.29,76.70
2026-03-11T00:45:00Z,22.10,78.80
2026-03-11T00:46:00Z,20.00,80.00
2026-03-11T00:47:00Z,18.67,79.00
2026-03-11T00:48:00Z,19.55,81.08
2026-03-11T00:49:00Z,19.44,82.00
2026-03-11T00:50:00Z,20.96,78.00
2026-03-11T00:51:00Z,22.17,79.00
2026-03-11T00:52:00Z,22.21,78.34
2026-03-11T00:53:00Z,20.46,81.00
2026-03-11T00:54:00Z,21.23,79.91
2026-03-11T00:55:00Z,21.23,80.26
2026-03-11T00:56:00Z,17.00,82.14
2026-03-11T00:57:00Z,13.50,85.45
2026-03-11T00:58:00Z,17.31,84.00
2026-03-11T00:59:00Z,17.34,85.53
2026-03-11T01:00:00Z,16.34,85.05
2026-03-11T01:01:00Z,13.04,86.00
2026-03-11T01:02:00Z,17.24,86.00
2026-03-11T01:03:00Z,15.49,85.03
2026-03-11T01:04:00Z,14.16,85.00
2026-03-11T01:05:00Z,14.00,85.48
2026-03-11T01:06:00Z,13.53,86.02
2026-03-11T01:07:00Z,11.66,88.97
2026-03-11T01:08:00Z,11.64,90.00
2026-03-11T01:09:00Z,11.26,89.00
2026-03-11T01:10:00Z,13.00,87.69
2026-03-11T01:11:00Z,13.95,88.00
2026-03-11T01:12:00Z,12.02,87.38
2026-03-11T01:13:00Z,10.65,89.70
2026-03-11T01:14:00Z,10.98,91.00
2026-03-11T01:15:00Z,9.01,92.27
2026-03-11T01:16:00Z,9.23,91.00
2026-03-11T01:18:00Z,9.23,89.88
2026-03-11T01:19:00Z,9.77,91.73
2026-03-11T01:20:00Z,7.18,93.00
2026-03-11T01:21:00Z,4.19,95.34
2026-03-11T01:22:00Z,3.05,96.53
2026-03-11T01:23:00Z,3.13,98.13
2026-03-11T01:24:00Z,3.01,97.76
2026-03-11T01:25:00Z,1.00,98.83
2026-03-11T01:26:00Z,1.03,98.04
2026-03-11T01:28:00Z,2.00,98.70
2026-03-11T01:30:00Z,1.12,98.70
2026-03-11T01:31:00Z,1.00,99.00
2026-03-11T01:34:00Z,1.00,99.00
2026-03-11T01:35:00Z,1.00,99.00
2026-03-11T01:39:00Z,1.00,99.00
2026-03-11T01:40:00Z,1.00,99.00
2026-03-11T01:41:00Z,1.00,99.00
2026-03-11T01:44:00Z,1.00,99.00
2026-03-11T01:45:00Z,1.00,99.00
