# event_ticker=KXATPMATCH-25OCT03NARMPE
# final_score=6-3 7-6(4)
# score_resolution=6-3 7-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Luca Nardi
# kalshi_date=2025-10-03
timestamp,Giovanni Mpetshi Perricard,Luca Nardi
2025-10-02T21:17:00Z,,38.00
2025-10-02T21:33:00Z,64.00,38.00
2025-10-02T22:08:00Z,63.00,38.00
2025-10-02T22:12:00Z,63.00,38.00
2025-10-02T22:58:00Z,63.00,36.00
2025-10-02T23:20:00Z,65.00,36.00
2025-10-02T23:23:00Z,65.00,36.00
2025-10-02T23:41:00Z,65.00,36.00
2025-10-02T23:43:00Z,64.00,36.00
2025-10-02T23:52:00Z,64.00,37.00
2025-10-03T00:21:00Z,64.00,37.00
2025-10-03T01:01:00Z,64.00,37.00
2025-10-03T01:14:00Z,64.00,37.00
2025-10-03T01:15:00Z,64.00,37.00
2025-10-03T01:28:00Z,64.00,37.00
2025-10-03T01:30:00Z,64.00,37.00
2025-10-03T02:06:00Z,64.00,37.00
2025-10-03T02:20:00Z,64.00,37.00
2025-10-03T02:55:00Z,64.00,37.00
2025-10-03T03:07:00Z,63.00,37.00
2025-10-03T03:16:00Z,64.00,37.00
2025-10-03T03:22:00Z,64.00,37.00
2025-10-03T03:33:00Z,64.00,37.00
2025-10-03T03:36:00Z,64.00,37.00
2025-10-03T03:42:00Z,64.00,37.00
2025-10-03T03:43:00Z,64.00,37.00
2025-10-03T03:44:00Z,64.00,37.00
2025-10-03T03:45:00Z,64.00,37.00
2025-10-03T03:50:00Z,64.00,37.00
2025-10-03T03:56:00Z,64.00,37.00
2025-10-03T03:57:00Z,64.00,37.00
2025-10-03T04:00:00Z,64.00,37.00
2025-10-03T04:04:00Z,64.00,37.00
2025-10-03T04:05:00Z,64.00,37.00
2025-10-03T04:07:00Z,64.00,38.00
2025-10-03T04:15:00Z,64.00,38.00
2025-10-03T04:16:00Z,64.00,38.00
2025-10-03T04:20:00Z,64.00,38.00
2025-10-03T04:21:00Z,64.00,38.00
2025-10-03T04:24:00Z,64.00,38.00
2025-10-03T04:30:00Z,64.00,38.00
2025-10-03T04:31:00Z,64.00,38.00
2025-10-03T04:33:00Z,64.00,38.00
2025-10-03T04:40:00Z,64.00,38.00
2025-10-03T04:41:00Z,64.00,38.00
2025-10-03T04:46:00Z,64.00,38.00
2025-10-03T05:09:00Z,64.00,37.00
2025-10-03T05:25:00Z,64.00,37.00
2025-10-03T05:29:00Z,64.00,37.00
2025-10-03T05:33:00Z,64.00,36.00
