# event_ticker=KXATPCHALLENGERMATCH-26APR30SAFDRO
# final_score=6-2 4-6 6-4
# match_winner=Roman Safiullin
# fav_player=Roman Safiullin
# dog_player=Titouan Droguet
# kalshi_date=2026-04-30
timestamp,Roman Safiullin,Titouan Droguet
2026-04-30T02:24:00Z,44.00,
2026-04-30T02:27:00Z,44.00,57.00
2026-04-30T02:56:00Z,44.00,57.00
2026-04-30T03:14:00Z,44.00,57.00
2026-04-30T03:22:00Z,44.00,57.00
2026-04-30T03:26:00Z,44.00,58.00
2026-04-30T03:44:00Z,44.00,58.00
2026-04-30T03:48:00Z,44.00,58.00
2026-04-30T03:52:00Z,44.00,58.00
2026-04-30T04:07:00Z,44.00,58.00
2026-04-30T04:18:00Z,44.00,58.00
2026-04-30T04:28:00Z,44.00,58.00
2026-04-30T04:38:00Z,44.00,58.00
2026-04-30T04:41:00Z,44.00,58.00
2026-04-30T05:03:00Z,44.00,57.00
2026-04-30T05:04:00Z,44.00,57.00
2026-04-30T05:15:00Z,44.00,57.00
2026-04-30T05:19:00Z,44.00,57.63
2026-04-30T05:25:00Z,44.00,57.63
2026-04-30T05:33:00Z,44.00,58.00
2026-04-30T05:48:00Z,44.00,58.00
2026-04-30T06:15:00Z,44.00,56.00
2026-04-30T06:35:00Z,44.00,57.00
2026-04-30T06:41:00Z,44.00,57.00
2026-04-30T06:42:00Z,44.00,57.00
2026-04-30T06:50:00Z,44.00,57.00
2026-04-30T06:52:00Z,44.00,57.00
2026-04-30T09:03:00Z,44.00,57.90
2026-04-30T09:04:00Z,44.00,58.00
2026-04-30T09:10:00Z,44.00,58.00
2026-04-30T09:14:00Z,44.00,58.00
2026-04-30T09:17:00Z,44.00,58.00
2026-04-30T09:46:00Z,44.00,57.00
2026-04-30T09:55:00Z,44.00,57.56
2026-04-30T10:21:00Z,44.00,58.00
2026-04-30T10:44:00Z,44.00,58.00
2026-04-30T11:01:00Z,44.00,58.00
2026-04-30T11:05:00Z,44.00,58.00
2026-04-30T11:10:00Z,44.00,58.00
2026-04-30T11:25:00Z,43.00,58.00
2026-04-30T11:35:00Z,43.00,58.00
2026-04-30T11:46:00Z,44.00,58.00
2026-04-30T11:48:00Z,44.00,58.00
2026-04-30T11:49:00Z,44.00,58.00
2026-04-30T11:50:00Z,44.69,58.00
2026-04-30T11:56:00Z,44.69,58.00
2026-04-30T11:57:00Z,44.00,58.00
2026-04-30T12:02:00Z,44.00,58.00
2026-04-30T12:03:00Z,44.00,56.00
2026-04-30T12:04:00Z,44.00,56.00
2026-04-30T12:09:00Z,44.00,56.00
2026-04-30T12:11:00Z,44.00,56.00
2026-04-30T12:12:00Z,44.00,56.00
2026-04-30T12:18:00Z,45.00,56.00
2026-04-30T12:19:00Z,45.00,56.00
2026-04-30T12:26:00Z,45.00,56.00
2026-04-30T12:28:00Z,45.00,56.71
2026-04-30T12:30:00Z,45.00,56.71
2026-04-30T12:33:00Z,45.00,56.71
2026-04-30T12:41:00Z,45.00,57.00
2026-04-30T12:43:00Z,45.00,57.00
2026-04-30T12:57:00Z,45.00,57.00
2026-04-30T12:58:00Z,45.00,57.00
2026-04-30T13:00:00Z,45.00,57.00
2026-04-30T13:01:00Z,45.00,57.00
2026-04-30T13:03:00Z,45.00,57.00
2026-04-30T13:08:00Z,45.00,57.00
2026-04-30T13:12:00Z,45.00,57.00
2026-04-30T13:16:00Z,45.00,57.00
2026-04-30T13:17:00Z,45.00,57.00
2026-04-30T13:18:00Z,44.00,57.00
2026-04-30T13:19:00Z,45.00,57.00
2026-04-30T13:21:00Z,45.00,57.00
2026-04-30T13:23:00Z,45.00,57.00
2026-04-30T13:24:00Z,45.00,57.00
2026-04-30T13:26:00Z,45.00,57.00
2026-04-30T13:28:00Z,45.00,57.00
2026-04-30T13:32:00Z,45.00,57.00
2026-04-30T13:36:00Z,45.00,57.00
2026-04-30T13:41:00Z,45.00,57.00
2026-04-30T13:42:00Z,45.00,57.00
2026-04-30T13:43:00Z,45.00,57.00
2026-04-30T13:47:00Z,45.00,57.00
2026-04-30T13:48:00Z,45.96,57.00
2026-04-30T13:49:00Z,45.96,57.00
2026-04-30T13:51:00Z,45.96,56.00
2026-04-30T13:52:00Z,46.00,56.00
2026-04-30T13:54:00Z,46.00,56.00
2026-04-30T13:55:00Z,45.00,56.00
2026-04-30T13:56:00Z,45.00,56.00
2026-04-30T13:57:00Z,45.00,57.67
2026-04-30T13:58:00Z,45.00,59.00
2026-04-30T14:00:00Z,45.00,59.00
2026-04-30T14:02:00Z,41.42,57.99
2026-04-30T14:03:00Z,39.10,61.15
2026-04-30T14:04:00Z,38.10,61.98
2026-04-30T14:05:00Z,41.00,60.00
2026-04-30T14:06:00Z,42.00,59.79
2026-04-30T14:07:00Z,43.67,57.00
2026-04-30T14:08:00Z,47.52,50.78
2026-04-30T14:09:00Z,54.37,47.17
2026-04-30T14:10:00Z,57.00,44.04
2026-04-30T14:11:00Z,58.00,42.00
2026-04-30T14:12:00Z,58.00,43.85
2026-04-30T14:13:00Z,58.00,43.81
2026-04-30T14:15:00Z,58.00,43.00
2026-04-30T14:16:00Z,55.04,43.00
2026-04-30T14:17:00Z,59.00,43.00
2026-04-30T14:18:00Z,62.00,43.00
2026-04-30T14:19:00Z,61.00,43.00
2026-04-30T14:20:00Z,64.00,37.48
2026-04-30T14:21:00Z,69.30,33.11
2026-04-30T14:22:00Z,67.49,33.37
2026-04-30T14:23:00Z,72.80,28.00
2026-04-30T14:24:00Z,72.80,27.26
2026-04-30T14:25:00Z,74.93,26.00
2026-04-30T14:26:00Z,76.00,24.98
2026-04-30T14:27:00Z,75.00,25.24
2026-04-30T14:28:00Z,75.46,25.22
2026-04-30T14:29:00Z,75.00,26.00
2026-04-30T14:30:00Z,74.00,27.18
2026-04-30T14:31:00Z,72.00,28.00
2026-04-30T14:32:00Z,73.00,27.63
2026-04-30T14:33:00Z,74.30,26.00
2026-04-30T14:34:00Z,76.00,24.72
2026-04-30T14:35:00Z,76.00,25.00
2026-04-30T14:36:00Z,76.00,25.00
2026-04-30T14:37:00Z,76.00,25.87
2026-04-30T14:38:00Z,75.00,26.00
2026-04-30T14:39:00Z,74.05,26.72
2026-04-30T14:40:00Z,75.61,26.85
2026-04-30T14:41:00Z,75.61,27.88
2026-04-30T14:42:00Z,73.21,29.09
2026-04-30T14:43:00Z,65.42,34.12
2026-04-30T14:44:00Z,68.09,34.31
2026-04-30T14:45:00Z,73.00,28.91
2026-04-30T14:46:00Z,73.00,27.41
2026-04-30T14:47:00Z,72.02,28.55
2026-04-30T14:48:00Z,79.87,19.76
2026-04-30T14:49:00Z,80.60,25.02
2026-04-30T14:50:00Z,88.13,11.47
2026-04-30T14:51:00Z,88.74,10.00
2026-04-30T14:52:00Z,83.75,13.53
2026-04-30T14:53:00Z,83.75,19.05
2026-04-30T14:54:00Z,78.11,21.42
2026-04-30T14:55:00Z,85.15,23.04
