# event_ticker=KXATPCHALLENGERMATCH-26MAR16BRASAN
# final_score=7-6(4) 6-2
# score_resolution=6-7 2-6
# match_winner=Raul Brancaccio
# fav_player=Alejo Sanchez Quilez
# dog_player=Raul Brancaccio
# kalshi_date=2026-03-16
timestamp,Alejo Sanchez Quilez,Raul Brancaccio
2026-03-16T03:33:00Z,,61.00
2026-03-16T04:29:00Z,,59.00
2026-03-16T04:39:00Z,,61.00
2026-03-16T04:54:00Z,41.00,61.00
2026-03-16T05:49:00Z,41.00,61.00
2026-03-16T05:55:00Z,41.00,61.00
2026-03-16T05:56:00Z,41.00,61.00
2026-03-16T06:30:00Z,41.00,61.00
2026-03-16T07:11:00Z,41.00,61.98
2026-03-16T07:12:00Z,41.00,62.00
2026-03-16T07:37:00Z,41.00,62.00
2026-03-16T08:37:00Z,41.00,61.00
2026-03-16T10:25:00Z,41.00,61.00
2026-03-16T11:36:00Z,41.00,58.00
2026-03-16T12:23:00Z,41.00,60.00
2026-03-16T12:29:00Z,41.00,60.00
2026-03-16T12:32:00Z,41.72,60.00
2026-03-16T12:40:00Z,42.00,60.00
2026-03-16T13:01:00Z,42.00,60.00
2026-03-16T13:18:00Z,41.00,60.00
2026-03-16T13:31:00Z,40.00,62.00
2026-03-16T13:34:00Z,40.00,62.00
2026-03-16T13:41:00Z,41.00,62.00
2026-03-16T13:42:00Z,41.00,62.00
2026-03-16T13:46:00Z,40.00,62.00
2026-03-16T13:54:00Z,40.00,62.00
2026-03-16T13:55:00Z,40.00,62.00
2026-03-16T14:01:00Z,40.00,62.00
2026-03-16T14:20:00Z,40.00,56.00
2026-03-16T14:21:00Z,47.75,56.95
2026-03-16T14:31:00Z,47.75,57.98
2026-03-16T14:44:00Z,47.75,58.00
2026-03-16T14:54:00Z,48.00,58.00
2026-03-16T14:57:00Z,48.91,58.00
2026-03-16T15:00:00Z,48.91,61.96
2026-03-16T15:02:00Z,40.00,61.44
2026-03-16T15:12:00Z,54.25,50.07
2026-03-16T15:17:00Z,45.00,50.07
2026-03-16T15:18:00Z,41.95,60.67
2026-03-16T15:19:00Z,42.00,59.05
