# event_ticker=KXATPCHALLENGERMATCH-26FEB16VANRIE
# final_score=3-6 7-6(2) 6-4
# score_resolution=6-3 6-7 4-6
# match_winner=Luca Van Assche
# fav_player=Leandro Riedi
# dog_player=Luca Van Assche
# kalshi_date=2026-02-16
timestamp,Leandro Riedi,Luca Van Assche
2026-02-16T08:37:00Z,,62.00
2026-02-16T11:19:00Z,40.00,62.00
2026-02-16T11:52:00Z,40.00,62.00
2026-02-16T12:06:00Z,40.00,62.00
2026-02-16T12:11:00Z,40.00,62.00
2026-02-16T13:14:00Z,40.00,62.00
2026-02-16T13:49:00Z,40.00,60.00
2026-02-16T13:52:00Z,40.00,60.00
2026-02-16T13:53:00Z,40.00,60.00
2026-02-16T14:33:00Z,40.00,60.00
2026-02-16T14:43:00Z,40.00,60.00
2026-02-16T14:48:00Z,40.00,60.00
2026-02-16T14:49:00Z,40.00,60.94
2026-02-16T14:52:00Z,40.00,61.00
2026-02-16T14:58:00Z,40.00,61.00
2026-02-16T15:05:00Z,40.00,60.00
2026-02-16T15:17:00Z,41.00,60.00
2026-02-16T15:24:00Z,41.00,61.00
2026-02-16T15:31:00Z,41.00,61.00
2026-02-16T15:37:00Z,41.00,60.00
2026-02-16T15:42:00Z,41.00,60.00
2026-02-16T15:49:00Z,41.00,59.00
2026-02-16T15:50:00Z,41.00,59.00
2026-02-16T15:52:00Z,41.00,58.00
2026-02-16T15:57:00Z,41.00,60.00
2026-02-16T16:06:00Z,41.00,60.00
2026-02-16T16:07:00Z,41.00,60.00
2026-02-16T16:14:00Z,41.00,60.00
2026-02-16T16:17:00Z,41.00,61.00
2026-02-16T16:18:00Z,41.00,61.00
2026-02-16T16:22:00Z,41.00,61.00
2026-02-16T16:24:00Z,41.00,61.00
2026-02-16T16:26:00Z,41.00,61.00
2026-02-16T16:27:00Z,41.00,61.00
2026-02-16T16:33:00Z,41.00,61.00
2026-02-16T16:34:00Z,41.00,61.00
2026-02-16T16:39:00Z,41.00,61.00
2026-02-16T16:40:00Z,41.00,61.00
2026-02-16T16:44:00Z,41.00,61.00
2026-02-16T16:47:00Z,41.00,61.00
2026-02-16T16:48:00Z,41.00,61.00
2026-02-16T16:50:00Z,41.00,61.00
2026-02-16T16:51:00Z,41.00,61.00
2026-02-16T16:52:00Z,41.00,61.00
2026-02-16T16:53:00Z,39.00,61.00
2026-02-16T16:56:00Z,39.00,61.00
2026-02-16T16:57:00Z,39.00,61.00
2026-02-16T16:58:00Z,39.00,61.00
2026-02-16T16:59:00Z,39.00,61.00
2026-02-16T17:03:00Z,39.00,61.00
2026-02-16T17:04:00Z,39.00,61.00
2026-02-16T17:06:00Z,41.00,61.00
2026-02-16T17:07:00Z,41.00,61.00
2026-02-16T17:08:00Z,41.00,61.00
2026-02-16T17:12:00Z,40.00,61.56
2026-02-16T17:14:00Z,40.00,62.23
2026-02-16T17:15:00Z,40.00,63.00
2026-02-16T17:16:00Z,40.00,63.00
2026-02-16T17:17:00Z,40.00,63.00
2026-02-16T17:19:00Z,37.67,65.24
2026-02-16T17:20:00Z,38.00,63.00
2026-02-16T17:21:00Z,38.00,63.30
2026-02-16T17:22:00Z,38.00,64.00
