# event_ticker=KXATPCHALLENGERMATCH-26MAR23BERGUE
# final_score=6-1 6-0
# score_resolution=1-6 0-6
# match_winner=Sascha Gueymard Wayenburg
# fav_player=Jacopo Berrettini
# dog_player=Sascha Gueymard Wayenburg
# kalshi_date=2026-03-23
timestamp,Jacopo Berrettini,Sascha Gueymard Wayenburg
2026-03-23T04:32:00Z,,55.00
2026-03-23T04:35:00Z,,54.00
2026-03-23T05:45:00Z,47.00,54.00
2026-03-23T06:32:00Z,47.00,54.00
2026-03-23T07:54:00Z,47.00,54.00
2026-03-23T08:29:00Z,47.00,54.00
2026-03-23T10:00:00Z,47.00,53.00
2026-03-23T10:37:00Z,49.00,53.00
2026-03-23T11:27:00Z,49.00,53.00
2026-03-23T11:53:00Z,49.00,53.00
2026-03-23T11:56:00Z,49.00,53.00
2026-03-23T12:31:00Z,49.00,53.00
2026-03-23T12:33:00Z,49.00,53.00
2026-03-23T12:34:00Z,49.00,53.00
2026-03-23T12:37:00Z,48.00,53.00
2026-03-23T12:42:00Z,48.00,53.00
2026-03-23T12:50:00Z,48.00,54.00
2026-03-23T12:51:00Z,48.00,54.42
2026-03-23T12:53:00Z,48.00,55.00
2026-03-23T12:54:00Z,48.00,55.00
2026-03-23T12:56:00Z,48.00,55.00
2026-03-23T12:59:00Z,48.00,55.00
2026-03-23T13:00:00Z,48.00,56.00
2026-03-23T13:02:00Z,48.00,58.00
2026-03-23T13:04:00Z,48.00,57.00
2026-03-23T13:05:00Z,43.00,58.68
2026-03-23T13:06:00Z,43.00,59.00
2026-03-23T13:07:00Z,43.00,59.59
2026-03-23T13:08:00Z,43.00,59.22
2026-03-23T13:10:00Z,48.00,59.22
2026-03-23T13:14:00Z,43.59,57.69
2026-03-23T13:15:00Z,43.00,59.00
2026-03-23T13:17:00Z,43.00,56.67
2026-03-23T13:18:00Z,47.00,56.67
2026-03-23T13:19:00Z,47.00,56.67
2026-03-23T13:20:00Z,47.00,56.67
2026-03-23T13:21:00Z,47.00,55.95
2026-03-23T13:22:00Z,47.27,56.00
2026-03-23T13:23:00Z,47.00,56.00
2026-03-23T13:24:00Z,50.40,48.68
2026-03-23T13:25:00Z,48.66,52.00
2026-03-23T13:26:00Z,49.00,54.87
2026-03-23T13:27:00Z,48.05,54.53
2026-03-23T13:28:00Z,48.05,54.13
2026-03-23T13:29:00Z,48.00,51.04
2026-03-23T13:30:00Z,48.00,57.00
2026-03-23T13:31:00Z,45.00,57.92
2026-03-23T13:32:00Z,45.66,55.17
2026-03-23T13:33:00Z,44.89,54.87
2026-03-23T13:34:00Z,43.49,62.15
2026-03-23T13:35:00Z,33.03,67.82
2026-03-23T13:36:00Z,38.42,64.03
2026-03-23T13:37:00Z,36.97,67.00
2026-03-23T13:38:00Z,36.97,65.68
2026-03-23T13:39:00Z,40.50,62.00
2026-03-23T13:40:00Z,45.00,62.00
2026-03-23T13:41:00Z,43.18,59.89
2026-03-23T13:42:00Z,32.00,67.87
2026-03-23T13:43:00Z,33.97,66.18
2026-03-23T13:44:00Z,30.00,70.00
2026-03-23T13:45:00Z,31.00,72.00
2026-03-23T13:46:00Z,27.00,72.84
2026-03-23T13:47:00Z,30.03,70.48
2026-03-23T13:48:00Z,26.90,72.04
2026-03-23T13:49:00Z,27.00,74.85
2026-03-23T13:50:00Z,27.00,74.13
2026-03-23T13:51:00Z,25.00,77.48
2026-03-23T13:52:00Z,25.00,79.11
2026-03-23T13:53:00Z,25.35,75.99
2026-03-23T13:54:00Z,25.98,73.93
2026-03-23T13:55:00Z,25.94,76.38
2026-03-23T13:56:00Z,25.98,75.46
2026-03-23T13:57:00Z,26.00,76.56
2026-03-23T13:58:00Z,25.00,78.00
2026-03-23T13:59:00Z,24.49,77.70
2026-03-23T14:00:00Z,26.00,76.78
2026-03-23T14:01:00Z,26.00,76.75
2026-03-23T14:02:00Z,26.00,76.07
2026-03-23T14:03:00Z,27.44,75.60
2026-03-23T14:04:00Z,26.90,74.65
2026-03-23T14:05:00Z,25.00,74.40
2026-03-23T14:06:00Z,28.00,71.85
2026-03-23T14:07:00Z,28.00,72.63
2026-03-23T14:08:00Z,28.00,71.13
2026-03-23T14:09:00Z,28.91,72.00
2026-03-23T14:10:00Z,28.91,72.00
2026-03-23T14:11:00Z,28.65,72.01
2026-03-23T14:12:00Z,29.00,71.53
2026-03-23T14:13:00Z,28.57,72.00
